Seq. number,Date,Daily Zoo Attendance,Log attendance,Revenue,Average Ticket Price,MaxTemp,Gas price,Total Ad Stock,Ad,Weather Condition,Weather Condition refined,Holiday/Events,Month,Season,day of the week,Weekend?,Events_recode,Weather_recode_2
1,04/01/2004,686,6.53087763,4116,6,56,1.84,1,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
2,04/02/2004,544,6.29894925,3340.16,6.14,49,1.85,1,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
3,04/03/2004,1786,7.48773376,10858.88,6.08,51,1.85,1,no,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,APR,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
4,04/04/2004,1321,7.1861443,11981.47,9.07,52,1.85,1,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Sun,Yes,NONE,NOT GOOD WEATHER
5,04/05/2004,1029,6.93634274,9363.9,9.1,44,1.85,1,no,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,APR,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
6,04/06/2004,2843,7.95261511,25899.73,9.11,56,1.86,1,no,SUNNY/CLOUDY,Sunny,NONE,APR,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
7,04/07/2004,21124,9.95816511,2112.4,0.1,67,1.86,1,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
8,04/08/2004,10036,9.21393391,90926.16,9.06,55,1.86,1,no,SUNNY/CLOUDY,MOSTLY CLOUDY,EASTER,APR,HIGH SEASON,Thu,No,Have Events,GOOD WEATHER
9,04/09/2004,7126,8.87150535,64704.08,9.08,62,1.86,1,no,RAIN,RAIN,EASTER,APR,HIGH SEASON,Fri,No,Have Events,NOT GOOD WEATHER
10,04/10/2004,8431,9.03967067,76469.17,9.07,62,1.87,1,no,SUNNY/CLOUDY,PARTLY CLOUDY,EASTER,APR,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
11,04/11/2004,1824,7.50878717,16488.96,9.04,50,1.87,1,no,RAIN,RAIN,EASTER,APR,HIGH SEASON,Sun,Yes,Have Events,NOT GOOD WEATHER
