Make/Model,MPG_City,MPG_Hwy,Weight(lb),Seating,Horsepower,HP/Pound,Displacement,Cylinders,Origin,Transmission,EPA_Class,Length,Fuel,HEV,Turbocharger,Make,Model,GP1000M_City,GP1000M_Hwy
Acura_RL,16,24,4014,5,290,0.07224714,3.5,6,3,AS,midsize,193.6,gas,no,no,Acura,RL,62.5,41.6666667
Acura_TL,17,26,3674,5,286,0.07784431,3.5,6,3,AS,midsize,189.3,gas,no,no,Acura,TL,58.8235294,38.4615385
Acura_TL,18,27,3559,5,286,0.08035965,3.5,6,3,M,midsize,189.3,gas,no,no,Acura,TL,55.5555556,37.037037
Acura_TSX,20,28,3345,5,205,0.0612855,2.4,4,3,AS,compact,186.2,gas,no,no,Acura,TSX,50,35.7142857
Acura_TSX,19,28,3257,5,205,0.06294136,2.4,4,3,M,compact,186.2,gas,no,no,Acura,TSX,52.6315789,35.7142857
Acura_MDX,15,20,4588,7,300,0.06538797,3.7,6,3,AS,suv4,190.7,gas,no,no,Acura,MDX,66.6666667,50
Acura_RDX,17,22,3935,5,240,0.06099111,2.3,4,3,AS,suv4,180.7,gas,no,yes,Acura,RDX,58.8235294,45.4545455
Aston_Martin_V8_Vantage,12,19,3770,2,420,0.11140584,4.3,8,2,M,2-seater,172.5,gas,no,no,Aston_Martin,V8_Vantage,83.3333333,52.6315789
Aston_Martin_DB9_Coupe,11,18,3880,4,470,0.12113402,5.9,12,2,AS,minicompact,185.5,gas,no,no,Aston_Martin,DB9_Vantage,90.9090909,55.5555556
Aston_Martin_DB9_Coupe,10,16,3880,4,470,0.12113402,5.9,12,2,M,minicompact,185.5,gas,no,no,Aston_Martin,DB9_Vantage,100,62.5
Audi_R8,13,20,3616,2,420,0.11615044,4.2,8,2,M,2-seater,174.4,gas,no,no,Audi,R8,76.9230769,50
Audi_TT_Roadster,22,29,2965,2,200,0.06745363,2,4,2,AS,2-seater,164.5,gas,no,yes,Audi,TT_Roadster,45.4545455,34.4827586
Audi_TT_Roadster_Quattro,18,24,3218,2,250,0.077688,3.2,6,2,AS,2-seater,164.5,gas,no,no,Audi,TT_Roadster_Quattro,55.5555556,41.6666667
Audi_A4_Cabriolet,21,30,3428,4,200,0.05834306,2,4,2,AV,subcompact,180,gas,no,yes,Audi,A4_Cabriolet,47.6190476,33.3333333
Audi_A5_Quattro,18,27,3913,5,265,0.06772297,3.2,6,2,AS,subcompact,182.1,gas,no,no,Audi,A5_Quattro,55.5555556,37.037037
Audi_A5_Quattro,16,27,3737,5,265,0.0709125,3.2,6,2,M,subcompact,182.1,gas,no,no,Audi,A5_Quattro,62.5,37.037037
Audi_S5_Quattro,14,21,4067,5,354,0.08704205,4.2,8,2,AS,subcompact,182.5,gas,no,no,Audi,S5_Quattro,71.4285714,47.6190476
Audi_S5_Quattro,14,21,3891,5,354,0.09097918,4.2,8,2,M,subcompact,182.5,gas,no,no,Audi,S5_Quattro,71.4285714,47.6190476
Audi_A4_Quattro,19,27,3660,5,200,0.05464481,2,4,2,AS,compact,180.6,gas,no,yes,Audi,A4_Quattro,52.6315789,37.037037
Audi_A4_Quattro,20,28,3549,5,200,0.0563539,2,4,2,M,compact,180.6,gas,no,yes,Audi,A4_Quattro,50,35.7142857
Audi_A6,18,27,3858,5,255,0.06609642,3.1,6,2,AV,midsize,193.5,gas,no,no,Audi,A6,55.5555556,37.037037
Audi_A8,16,23,4321,5,350,0.08099977,4.2,8,2,AS,midsize,199.3,gas,no,no,Audi,A8,62.5,43.4782609
Audi_S6,14,19,4486,5,435,0.09696835,5.2,10,2,AS,midsize,193.5,gas,no,no,Audi,S6,71.4285714,52.6315789
Audi_A3,22,29,3307,5,200,0.06047777,2,4,2,AS,smallwagon,168.7,gas,no,yes,Audi,A3,45.4545455,34.4827586
Audi_A3,20,29,3263,5,200,0.06129329,2,4,2,M,smallwagon,168.7,gas,no,yes,Audi,A3,50,34.4827586
Audi_Q7,14,20,5027,6,280,0.05569922,3.6,6,2,AS,suv4,200.2,gas,no,no,Audi,Q7,71.4285714,50
Bentley_Azure,9,15,5929,5,450,0.07589813,6.7,8,2,AS,compact,212.6,gas,no,yes,Bentley,Azure,111.111111,66.6666667
Bentley_Continental_GT,10,17,5170,4,552,0.10676983,6,12,2,AS,compact,189.1,gas,no,yes,Bentley,Continental_GT,100,58.8235294
Bentley_Arnage_T,10,15,5687,4,500,0.08791982,6.7,8,2,AS,midsize,212.6,gas,no,yes,Bentley,Arnage_T,100,66.6666667
Bentley_Continental_Flying_Spur,10,17,5368,5,552,0.10283159,6,12,2,AS,midsize,208.3,gas,no,yes,Bentley,Continental_Flying_Spur,100,58.8235294
BMW_Z4,19,28,3086,2,215,0.06966948,3,6,2,AS,2-seater,161.1,gas,no,no,BMW,Z4,52.6315789,35.7142857
BMW_Z4,18,28,3020,2,215,0.07119205,3,6,2,M,2-seater,161.1,gas,no,no,BMW,Z4,55.5555556,35.7142857
BMW_135i,18,26,3384,4,300,0.08865248,3,6,2,AS,subcompact,172.2,gas,no,yes,BMW,135i,55.5555556,38.4615385
BMW_135i,17,25,3373,4,300,0.0889416,3,6,2,M,subcompact,172.2,gas,no,yes,BMW,135i,58.8235294,40
BMW_328ci,19,28,3417,4,230,0.06731051,3,6,2,AS,subcompact,181.1,gas,no,no,BMW,328ci,52.6315789,35.7142857
BMW_328ci,18,28,3351,4,230,0.06863623,3,6,2,M,subcompact,181.1,gas,no,no,BMW,328ci,55.5555556,35.7142857
BMW_650i_Coupe,15,22,3814,4,360,0.09438909,4.8,8,2,M,subcompact,190.2,gas,no,no,BMW,650i_Coupe,66.6666667,45.4545455
BMW_M3_Coupe,14,20,3704,4,414,0.11177106,4,8,2,M,subcompact,181.6,gas,no,no,BMW,M3_Coupe,71.4285714,50
BMW_M3,14,20,3726,4,414,0.11111111,4,8,2,M,compact,180.3,gas,no,no,BMW,M3,71.4285714,50
BMW_328i,19,28,3406,5,230,0.06752789,3,6,2,AS,compact,178.2,gas,no,no,BMW,328i,52.6315789,35.7142857
BMW_328i,18,28,3340,5,230,0.06886228,3,6,2,M,compact,178.2,gas,no,no,BMW,328i,55.5555556,35.7142857
BMW_535i,17,26,3703,5,300,0.08101539,3,6,2,AS,midsize,191.1,gas,no,yes,BMW,535i,58.8235294,38.4615385
BMW_535i,17,26,3660,5,300,0.08196721,3,6,2,M,midsize,191.1,gas,no,yes,BMW,535i,58.8235294,38.4615385
BMW_M5,11,17,4012,5,500,0.12462612,5,10,2,M,midsize,191.5,gas,no,no,BMW,M5,90.9090909,58.8235294
BMW_750i,15,23,4486,5,360,0.08024967,4.8,8,2,AS,large,198.4,gas,no,no,BMW,750i,66.6666667,43.4782609
BMW_328i_Sport_Wagon,18,27,3593,5,230,0.06401336,3,6,2,AS,smallwagon,178.2,gas,no,no,BMW,328i_Sport_Wagon,55.5555556,37.037037
BMW_328i_Sport_Wagon,17,27,3527,5,230,0.06521123,3,6,2,M,smallwagon,178.2,gas,no,no,BMW,328i_Sport_Wagon,58.8235294,37.037037
BMW_535xi_Sport_Wagon,16,24,4145,5,300,0.07237636,3,6,2,AS,midsizewagon,191.2,gas,no,yes,BMW,535xi_Sport_Wagon,62.5,41.6666667
BMW_535xi_Sport_Wagon,16,23,4100,5,300,0.07317073,3,6,2,M,midsizewagon,191.2,gas,no,yes,BMW,535xi_Sport_Wagon,62.5,43.4782609
BMW_X3_3.0si,17,24,4067,5,260,0.06392919,3,6,2,AS,suv4,179.9,gas,no,no,BMW,X3_3.0si,58.8235294,41.6666667
BMW_X3_3.0si,16,23,4012,5,260,0.06480558,3,6,2,M,suv4,179.9,gas,no,no,BMW,X3_3.0si,62.5,43.4782609
BMW_X5_3.0si,15,21,4982,5,260,0.05218788,3,6,2,AS,suv4,191.1,gas,no,no,BMW,X5_3.0si,66.6666667,47.6190476
BMW_X6,13,18,4894,4,300,0.06129955,4.4,8,2,AS,suv4,192,gas,no,yes,BMW,X6,76.9230769,55.5555556
Bugatti_Veyron,8,14,4154,2,1001,0.24097256,8,16,2,AS,2-seater,175.6,gas,no,yes,Bugatti,Veyron,125,71.4285714
Buick_Lacrosse_CX,17,28,3552,5,200,0.05630631,3.8,6,1,A,midsize,198.1,gas,no,no,Buick,Lacrosse_CX,58.8235294,35.7142857
Buick_Lucerne_CX,16,25,3764,5,197,0.05233794,3.8,6,1,A,large,203.2,gas,no,no,Buick,Lucerne_CX,62.5,40
Buick_Enclave_CX,16,24,4780,7,275,0.05753138,3.6,6,1,A,suv2,201.8,gas,no,no,Buick,Enclave_CX,62.5,41.6666667
Buick_Enclave_CX,16,22,4985,7,275,0.0551655,3.6,6,1,A,suv4,201.8,gas,no,no,Buick,Enclave_CX,62.5,45.4545455
Cadillac_XLR,15,24,3647,2,320,0.08774335,4.6,8,1,AS,2-seater,177.7,gas,no,no,Cadillac,XLR,66.6666667,41.6666667
Cadillac_CTS,18,26,3872,5,304,0.0785124,3.6,6,1,AS,midsize,191.6,gas,no,no,Cadillac,CTS,55.5555556,38.4615385
Cadillac_CTS,16,25,3861,5,304,0.07873608,3.6,6,1,M,midsize,191.6,gas,no,no,Cadillac,CTS,62.5,40
