Date,Price,Apple Daily Return,Market Return,Equal-Weighted Return
20070103,83.8,-0.012258,-0.001356,-0.000159
20070104,85.66,0.022196,0.000607,0.000591
20070105,85.05,-0.007121,-0.007247,-0.009809
20070108,85.47,0.004938,0.002557,0.001731
20070109,92.57,0.08307,-0.000018,0.000262
20070110,97,0.047856,0.002094,0.001338
20070111,95.8,-0.012371,0.007298,0.00776
20070112,94.62,-0.012317,0.006144,0.006821
20070116,97.1,0.02621,0.000329,0.000561
20070117,94.95,-0.022142,-0.000606,-0.000106
20070118,89.07,-0.061927,-0.00478,-0.007338
20070119,88.5,-0.006399,0.004369,0.005339
20070122,86.79,-0.019322,-0.005419,-0.004337
20070123,85.7,-0.012559,0.005237,0.0062
20070124,86.7,0.011669,0.008694,0.006918
20070125,86.25,-0.00519,-0.010806,-0.007872
20070126,85.38,-0.010087,0.000139,0.003034
20070129,85.94,0.006559,0.000128,0.003428
20070130,85.55,-0.004538,0.005736,0.005123
20070131,85.73,0.002104,0.006309,0.00352
20070201,84.74,-0.011548,0.006272,0.006416
20070202,84.75,0.000118,0.001217,0.002299
20070205,83.94,-0.009557,-0.00057,-0.001074
20070206,84.15,0.002502,0.001549,0.003197
20070207,86.15,0.023767,0.002245,0.003716
20070208,86.18,0.000348,-0.000457,0.001075
20070209,83.27,-0.033767,-0.006879,-0.004901
20070212,84.88,0.019335,-0.00391,-0.002915
20070213,84.63,-0.002945,0.008057,0.005359
20070214,85.3,0.007917,0.00726,0.004639
20070215,85.21,-0.001055,0.001731,0.001444
20070216,84.83,-0.00446,0.000477,0.00264
20070220,85.9,0.012613,0.003606,0.005982
20070221,89.2,0.038417,-0.000274,0.001667
20070222,89.51,0.003475,-0.000362,0.002277
20070223,89.07,-0.004916,-0.002576,0.000068
20070226,88.65,-0.004715,-0.001326,-0.00108
20070227,83.93,-0.053243,-0.034103,-0.031232
20070228,84.61,0.008102,0.004685,0.003802
20070301,87.06,0.028956,-0.00285,-0.004932
20070302,85.41,-0.018952,-0.012476,-0.011435
20070305,86.3199,0.010653,-0.012014,-0.017184
20070306,88.19,0.021665,0.016743,0.017683
20070307,87.72,-0.005329,-0.001346,0.000064
20070308,88,0.003192,0.007243,0.005598
20070309,87.97,-0.000341,0.001628,0.001708
20070312,89.87,0.021598,0.003146,0.004002
20070313,88.4,-0.016357,-0.020152,-0.017483
20070314,90,0.0181,0.005427,0.00228
20070315,89.57,-0.004778,0.004783,0.006076
20070316,89.59,0.000223,-0.003609,-0.003144
20070319,91.13,0.017189,0.011054,0.007394
20070320,91.48,0.003841,0.006793,0.005634
20070321,93.87,0.026126,0.016755,0.012048
20070322,93.96,0.000959,-0.000142,0.002375
20070323,93.52,-0.004683,0.001714,0.002268
20070326,95.85,0.024914,0.000552,0.00005
20070327,95.46,-0.004069,-0.005695,-0.004883
20070328,93.24,-0.023256,-0.006998,-0.004442
20070329,93.75,0.00547,0.003514,0.00198
20070330,92.91,-0.00896,-0.000367,0.002461
20070402,93.65,0.007965,0.003036,0.002025
20070403,94.5,0.009076,0.008919,0.006778
20070404,94.27,-0.002434,0.001489,0.001204
20070405,94.68,0.004349,0.003627,0.003187
20070409,93.65,-0.010879,0.000587,0.000858
20070410,94.25,0.006407,0.002692,0.002476
20070411,92.59,-0.017613,-0.005862,-0.004224
20070412,92.19,-0.00432,0.006381,0.00578
20070413,90.24,-0.021152,0.003734,0.005191
20070416,91.43,0.013187,0.010487,0.009227
20070417,90.35,-0.011812,0.001029,-0.000892
20070418,90.4,0.000553,0.000314,-0.000862
20070419,90.27,-0.001438,-0.0028,-0.004174
20070420,90.97,0.007755,0.009335,0.00788
20070423,93.51,0.027921,-0.001728,-0.000693
20070424,93.24,-0.002887,-0.000743,-0.001111
20070425,95.348,0.022608,0.009474,0.005081
20070426,98.84,0.036624,-0.000575,-0.00009
20070427,99.92,0.010927,-0.000787,-0.001686
20070430,99.8,-0.001201,-0.009285,-0.008639
20070501,99.47,-0.003307,0.001748,-0.000804
20070502,100.39,0.009249,0.008281,0.00914
20070503,100.4,0.0001,0.003888,0.001993
20070504,100.81,0.004084,0.002887,0.00265
20070507,103.92,0.03085,0.002603,0.000893
20070508,105.06,0.01097,-0.001402,-0.002055
20070509,106.88,0.017323,0.003685,0.003003
20070510,107.34,0.004304,-0.013744,-0.013007
20070511,108.74,0.013043,0.010358,0.008263
20070514,109.36,0.005702,-0.0027,-0.004631
20070515,107.52,-0.016825,-0.001858,-0.006056
20070516,107.34,-0.001674,0.007334,0.002548
20070517,109.44,0.019564,-0.000504,-0.002035
20070518,110.02,0.0053,0.006784,0.005646
20070521,111.98,0.017815,0.003246,0.00599
20070522,113.54,0.013931,0.000937,0.004045
20070523,112.89,-0.005725,-0.000939,-0.000894
20070524,110.69,-0.019488,-0.011322,-0.011304
20070525,113.62,0.02647,0.006379,0.006418
20070529,114.35,0.006425,0.003061,0.004874
20070530,118.77,0.038653,0.008236,0.004318
20070531,121.191,0.020384,0.001608,0.004507
20070601,118.4,-0.02303,0.005132,0.005396
20070604,121.33,0.024747,0.002108,0.002545
20070605,122.67,0.011044,-0.005316,-0.00357
20070606,123.64,0.007907,-0.009361,-0.007294
20070607,124.069,0.00347,-0.018107,-0.01422
20070608,124.49,0.003393,0.010776,0.006328
20070611,120.19,-0.034541,0.001117,0.000193
20070612,120.38,0.001581,-0.010829,-0.010319
20070613,117.5,-0.023924,0.014168,0.008852
20070614,118.75,0.010638,0.005361,0.004925
20070615,120.5,0.014737,0.007417,0.007951
20070618,125.09,0.038091,-0.000898,0.000237
20070619,123.66,-0.011432,0.001778,0.002899
20070620,121.55,-0.017063,-0.012711,-0.008315
20070621,123.9,0.019334,0.005389,0.002338
20070622,123,-0.007264,-0.010741,-0.005932
20070625,122.34,-0.005366,-0.004826,-0.006476
20070626,119.65,-0.021988,-0.004023,-0.003078
20070627,121.89,0.018721,0.009352,0.008031
20070628,120.56,-0.010911,0.000737,0.002357
20070629,122.04,0.012276,-0.000728,0.000124
20070702,121.26,-0.006391,0.01141,0.008541
20070703,127.17,0.048738,0.003445,0.002199
20070705,132.75,0.043878,0.001211,0.001641
20070706,132.3,-0.00339,0.004461,0.003896
20070709,130.33009,-0.01489,0.001557,0.002156
20070710,132.35001,0.015498,-0.01359,-0.010451
20070711,132.39,0.000302,0.005066,0.002479
20070712,134.0699,0.012689,0.017507,0.010693
20070713,137.73,0.0273,0.003172,0.001082
20070716,138.10001,0.002686,-0.003051,-0.004465
20070717,138.9099,0.005865,-0.000087,0.00006
20070718,138.12,-0.005686,-0.001547,-0.003549
20070719,140,0.013611,0.004876,0.005587
20070720,143.75,0.026786,-0.011674,-0.009234
20070723,143.7,-0.000348,0.003035,-0.000493
20070724,134.88989,-0.061309,-0.020115,-0.019044
20070725,137.25999,0.017571,0.002673,-0.002476
20070726,146,0.063675,-0.023867,-0.021884
20070727,143.85001,-0.014726,-0.014742,-0.010659
20070730,141.42999,-0.016823,0.0093,0.004439
20070731,131.75999,-0.068373,-0.010135,-0.003866
20070801,135,0.02459,0.004121,-0.005684
20070802,136.49001,0.011037,0.00597,0.004093
20070803,131.8499,-0.033996,-0.025937,-0.022608
20070806,135.25,0.025788,0.018014,0.000292
20070807,135.03011,-0.001626,0.006584,0.005444
20070808,134.00999,-0.007555,0.015618,0.01773
20070809,126.39,-0.056861,-0.026897,-0.015539
20070810,125,-0.010998,-0.000482,-0.000983
20070813,127.79,0.02232,-0.000566,-0.001632
20070814,124.03,-0.029423,-0.019061,-0.017482
20070815,119.9,-0.033298,-0.015664,-0.016756
20070816,117.05,-0.02377,0.001857,-0.003934
20070817,122.06,0.042802,0.02441,0.021044
20070820,122.22,0.001311,0.001614,0.004
20070821,127.57,0.043774,0.002165,0.003189
20070822,132.50999,0.038724,0.013029,0.013399
20070823,131.07001,-0.010867,-0.001612,-0.002708
20070824,135.3,0.032273,0.012341,0.009734
20070827,132.25,-0.022543,-0.008306,-0.004717
20070828,126.82,-0.041059,-0.023434,-0.018346
20070829,134.08,0.057247,0.021825,0.016636
20070830,136.25,0.016184,-0.003795,-0.002015
20070831,138.48,0.016367,0.012291,0.012035
20070904,144.16,0.041017,0.011107,0.008003
20070905,136.75999,-0.051332,-0.010076,-0.007605
20070906,135.00999,-0.012796,0.004426,0.003937
20070907,131.77,-0.023998,-0.016224,-0.012456
20070910,136.71001,0.03749,-0.002901,-0.005696
20070911,135.49001,-0.008924,0.013512,0.009619
20070912,136.85001,0.010038,0.000217,-0.001838
20070913,137.2,0.002557,0.00739,0.001737
20070914,138.81,0.011735,0.001268,0.00202
20070917,138.41,-0.002882,-0.005812,-0.007233
20070918,140.92,0.018134,0.029284,0.023126
20070919,140.7699,-0.001065,0.00578,0.008313
20070920,140.31,-0.003267,-0.005201,-0.004042
20070921,144.14999,0.027368,0.004909,0.004343
20070924,148.28,0.028651,-0.004463,-0.004006
20070925,153.17999,0.033046,-0.000439,-0.002189
20070926,152.77,-0.002677,0.005503,0.005468
20070927,154.5,0.011324,0.005353,0.006289
20070928,153.47,-0.006667,-0.002693,-0.001759
20071001,156.339,0.018694,0.013721,0.01251
20071002,158.45,0.013503,0.000501,0.004613
20071003,157.9201,-0.003344,-0.00515,-0.003678
20071004,156.24001,-0.010639,0.002715,0.003147
20071005,161.44991,0.033345,0.011821,0.012578
20071008,167.91,0.040013,-0.003014,-0.00233
20071009,167.86,-0.000298,0.008053,0.006015
20071010,166.78999,-0.006374,-0.000231,0.001133
20071011,162.23,-0.02734,-0.005192,-0.007075
20071012,167.25369,0.030967,0.005326,0.005038
20071015,166.98,-0.001636,-0.00859,-0.008211
20071016,169.58,0.015571,-0.007025,-0.006445
20071017,172.75,0.018693,0.002858,0.001282
20071018,173.5,0.004342,0.000369,0.000275
20071019,170.42,-0.017752,-0.024578,-0.020862
20071022,174.36,0.023119,0.003271,0.003888
20071023,186.16,0.067676,0.010251,0.007452
20071024,185.92999,-0.001236,-0.00323,-0.004885
20071025,182.78,-0.016942,-0.001013,-0.002178
20071026,184.7,0.010504,0.013812,0.010359
20071029,185.09,0.002112,0.00538,0.002905
20071030,187,0.010319,-0.006902,-0.005777
20071031,189.95,0.015775,0.013184,0.009573
20071101,187.44,-0.013214,-0.025891,-0.02411
20071102,187.87,0.002294,0.002065,-0.000496
20071105,186.17999,-0.008996,-0.006617,-0.009896
20071106,191.78999,0.030132,0.012828,0.006438
20071107,186.2999,-0.028626,-0.026867,-0.022753
20071108,175.46629,-0.058151,-0.00059,-0.001326
20071109,165.37,-0.05754,-0.015042,-0.010192
20071112,153.75999,-0.070206,-0.014019,-0.011189
20071113,169.96001,0.105359,0.027895,0.018369
20071114,166.11,-0.022652,-0.005795,-0.004734
20071115,164.3,-0.010896,-0.014102,-0.011762
20071116,166.39,0.012721,0.004588,-0.001511
20071119,163.95,-0.014664,-0.018689,-0.020127
20071120,168.85001,0.029887,0.003993,-0.003493
20071121,168.46001,-0.00231,-0.015273,-0.01139
20071123,171.53999,0.018283,0.01633,0.015283
20071126,172.5419,0.005841,-0.020443,-0.016998
20071127,174.81,0.013145,0.012299,0.003986
20071128,180.22,0.030948,0.029414,0.024263
20071129,184.28999,0.022583,-0.00034,-0.000088
20071130,182.22,-0.011232,0.0071,0.00704
20071203,178.86,-0.018439,-0.005526,-0.006714
20071204,179.81,0.005311,-0.007238,-0.007345
20071205,185.5,0.031645,0.014452,0.010811
20071206,189.9528,0.024004,0.015719,0.016994
20071207,194.3,0.022886,-0.000223,0.002029
20071210,194.21001,-0.000463,0.007772,0.005163
20071211,188.54041,-0.029193,-0.025429,-0.020362
20071212,190.86,0.012303,0.005691,0.002328
20071213,191.83,0.005082,-0.000987,-0.005211
20071214,190.39,-0.007507,-0.013464,-0.013185
