y,x
0.296105176,0
0.019676312,1
0.441736094,2
0.144848928,3
0.36581964,4
0.118247309,5
0.546004723,6
0.301607863,7
-0.263792131,8
0.75394492,9
0.534113388,10
0.592315617,11
0.848895044,12
0.78224888,13
0.666781645,14
0.806381099,15
0.980481206,16
1.269596388,17
0.910143838,18
0.919951941,19
0.739159331,20
1.21220842,21
1.425706373,22
1.039261735,23
0.717205712,24
0.918118648,25
0.892339952,26
0.629315927,27
0.586209809,28
1.035344171,29
1.09064216,30
0.740886815,31
1.018137273,32
0.567267937,33
0.884333801,34
0.643536349,35
1.123695516,36
0.781831193,37
0.684017355,38
0.918605232,39
0.458635597,40
0.847379102,41
0.82803636,42
0.378444368,43
0.58324774,44
0.351464428,45
-0.012481814,46
-0.170002368,47
-0.294345801,48
0.605236868,49
-0.012635792,50
-0.232955977,51
0.19382539,52
-0.107240545,53
-0.219439561,54
-0.599646079,55
-0.043707599,56
-0.08913728,57
0.083003155,58
-0.733356071,59
-0.837939196,60
-0.305392189,61
-0.60910806,62
-1.14875066,63
-1.488556348,64
-0.438855638,65
-0.813395958,66
-1.03764502,67
-0.704879044,68
-1.290113302,69
-0.974595052,70
-0.822476989,71
-1.089095326,72
-1.30761794,73
-1.294789475,74
-0.700225236,75
-0.730393275,76
-0.661409668,77
-0.603140898,78
-0.967697968,79
-1.025876125,80
-1.147539056,81
-0.71364266,82
-0.612460293,83
-0.517421355,84
-0.633911098,85
-0.867417808,86
-0.434931369,87
-0.363592032,88
-0.848840738,89
-0.41553592,90
-0.482309066,91
-0.887055188,92
-0.416634605,93
-0.06766719,94
-0.13658869,95
-0.086881925,96
0.017161332,97
-0.409118915,98
-0.25237898,99
0.398747928,100
