wait,daynumber
11.0,1.0
20.0,1.0
10.0,1.0
5.0,1.0
15.0,1.0
42.0,1.0
19.0,1.0
14.0,1.0
12.0,2.0
7.0,2.0
51.0,2.0
12.0,2.0
11.0,2.0
40.0,2.0
10.0,2.0
21.0,2.0
16.0,3.0
8.0,3.0
17.0,3.0
18.0,3.0
11.0,3.0
6.0,3.0
5.0,3.0
8.0,3.0
23.0,4.0
26.0,4.0
5.0,4.0
10.0,4.0
5.0,4.0
5.0,4.0
5.0,4.0
12.0,4.0
21.0,5.0
58.0,5.0
12.0,5.0
52.0,5.0
29.0,5.0
13.0,5.0
15.0,5.0
8.0,5.0
37.0,6.0
14.0,6.0
11.0,6.0
57.0,6.0
6.0,6.0
53.0,6.0
7.0,6.0
36.0,6.0
14.0,7.0
20.0,7.0
54.0,7.0
10.0,7.0
16.0,7.0
6.0,7.0
36.0,7.0
7.0,7.0
31.0,8.0
56.0,8.0
29.0,8.0
15.0,8.0
7.0,8.0
27.0,8.0
25.0,8.0
6.0,8.0
9.0,9.0
11.0,9.0
40.0,9.0
8.0,9.0
98.0,9.0
26.0,9.0
12.0,9.0
17.0,9.0
27.0,10.0
19.0,10.0
25.0,10.0
31.0,10.0
30.0,10.0
8.0,10.0
14.0,10.0
55.0,10.0
28.0,11.0
11.0,11.0
7.0,11.0
21.0,11.0
10.0,11.0
6.0,11.0
9.0,11.0
6.0,11.0
23.0,12.0
5.0,12.0
78.0,12.0
5.0,12.0
41.0,12.0
25.0,12.0
24.0,12.0
24.0,12.0
23.0,13.0
15.0,13.0
12.0,13.0
19.0,13.0
66.0,13.0
65.0,13.0
30.0,13.0
11.0,13.0
17.0,14.0
6.0,14.0
6.0,14.0
7.0,14.0
23.0,14.0
56.0,14.0
5.0,14.0
15.0,14.0
10.0,15.0
46.0,15.0
69.0,15.0
10.0,15.0
20.0,15.0
19.0,15.0
13.0,15.0
15.0,15.0
5.0,16.0
18.0,16.0
17.0,16.0
49.0,16.0
11.0,16.0
43.0,16.0
11.0,16.0
34.0,16.0
18.0,17.0
5.0,17.0
24.0,17.0
17.0,17.0
6.0,17.0
35.0,17.0
19.0,17.0
6.0,17.0
19.0,18.0
16.0,18.0
11.0,18.0
14.0,18.0
30.0,18.0
42.0,18.0
21.0,18.0
11.0,18.0
8.0,19.0
29.0,19.0
23.0,19.0
22.0,19.0
8.0,19.0
5.0,19.0
22.0,19.0
20.0,19.0
24.0,20.0
38.0,20.0
7.0,20.0
7.0,20.0
6.0,20.0
11.0,20.0
14.0,20.0
14.0,20.0
12.0,21.0
15.0,21.0
10.0,21.0
21.0,21.0
7.0,21.0
7.0,21.0
15.0,21.0
26.0,21.0
17.0,22.0
9.0,22.0
42.0,22.0
14.0,22.0
12.0,22.0
13.0,22.0
11.0,22.0
25.0,22.0
61.0,23.0
7.0,23.0
25.0,23.0
11.0,23.0
32.0,23.0
11.0,23.0
6.0,23.0
23.0,23.0
13.0,24.0
14.0,24.0
9.0,24.0
45.0,24.0
21.0,24.0
6.0,24.0
18.0,24.0
7.0,24.0
55.0,25.0
20.0,25.0
8.0,25.0
13.0,25.0
9.0,25.0
20.0,25.0
48.0,25.0
5.0,25.0
39.0,26.0
27.0,26.0
28.0,26.0
21.0,26.0
47.0,26.0
18.0,26.0
10.0,26.0
22.0,26.0
19.0,27.0
12.0,27.0
14.0,27.0
7.0,27.0
24.0,27.0
5.0,27.0
41.0,27.0
5.0,27.0
20.0,28.0
32.0,28.0
10.0,28.0
12.0,28.0
22.0,28.0
16.0,28.0
10.0,28.0
19.0,28.0
6.0,29.0
6.0,29.0
22.0,29.0
33.0,29.0
19.0,29.0
16.0,29.0
6.0,29.0
5.0,29.0
11.0,30.0
18.0,30.0
19.0,30.0
13.0,30.0
69.0,30.0
10.0,30.0
11.0,30.0
8.0,30.0
