day,hardness
1.0,16.3
1.0,15.3
1.0,16.4
1.0,15.6
1.0,15.9
2.0,16.5
2.0,16.3
2.0,16.8
2.0,15.8
2.0,15.5
3.0,16.4
3.0,15.9
3.0,16.7
3.0,15.7
3.0,15.7
4.0,16.3
4.0,16.3
4.0,15.8
4.0,16.5
4.0,15.9
5.0,15.5
5.0,15.6
5.0,16.4
5.0,15.8
5.0,15.3
6.0,15.5
6.0,15.5
6.0,16.2
6.0,15.5
6.0,16.5
7.0,15.5
7.0,15.2
7.0,15.8
7.0,16.2
7.0,15.9
8.0,15.5
8.0,15.2
8.0,15.7
8.0,15.7
8.0,15.8
9.0,16.1
9.0,15.8
9.0,15.6
9.0,15.6
9.0,16.0
10.0,15.3
10.0,15.4
10.0,16.2
10.0,15.9
10.0,15.7
11.0,16.1
11.0,15.3
11.0,15.7
11.0,15.8
11.0,15.7
12.0,15.9
12.0,14.9
12.0,15.9
12.0,15.5
12.0,15.5
13.0,16.2
13.0,15.9
13.0,15.6
13.0,15.3
13.0,16.0
14.0,15.8
14.0,15.8
14.0,15.4
14.0,15.9
14.0,15.2
15.0,16.0
15.0,16.4
15.0,15.9
15.0,15.8
15.0,15.9
16.0,16.0
16.0,14.6
16.0,16.2
16.0,16.0
16.0,15.8
17.0,15.9
17.0,15.9
17.0,16.0
17.0,15.6
17.0,16.0
18.0,15.3
18.0,15.8
18.0,16.3
18.0,15.8
18.0,15.2
19.0,15.7
19.0,15.6
19.0,15.6
19.0,16.2
19.0,15.7
20.0,15.1
20.0,15.3
20.0,14.9
20.0,15.4
20.0,15.5
21.0,15.2
21.0,15.6
21.0,14.8
21.0,14.9
21.0,15.7
22.0,14.8
22.0,15.7
22.0,14.9
22.0,15.6
22.0,15.0
23.0,15.4
23.0,15.2
23.0,14.7
23.0,14.8
23.0,15.0
24.0,14.9
24.0,15.2
24.0,14.8
24.0,15.7
24.0,15.1
25.0,15.0
25.0,15.2
25.0,15.3
25.0,15.6
25.0,16.0
26.0,14.8
26.0,14.9
26.0,15.0
26.0,14.4
26.0,14.8
27.0,15.1
27.0,15.2
27.0,15.5
27.0,14.8
27.0,14.3
28.0,15.7
28.0,15.3
28.0,15.1
28.0,15.6
28.0,15.5
29.0,15.5
29.0,15.6
29.0,14.6
29.0,14.7
29.0,15.0
30.0,14.6
30.0,15.1
30.0,14.8
30.0,15.2
30.0,14.2
