Deliveries,Daynumber
3.57,1.0
3.02,2.0
3.02,3.0
3.47,4.0
3.55,5.0
3.08,6.0
2.97,7.0
3.58,8.0
3.07,9.0
2.96,10.0
2.82,11.0
3.31,12.0
3.34,13.0
2.73,14.0
2.89,15.0
3.03,16.0
3.17,17.0
3.25,18.0
3.3,19.0
3.35,20.0
3.4,21.0
3.14,22.0
2.9,23.0
2.65,24.0
2.84,25.0
2.87,26.0
2.95,27.0
3.17,28.0
3.29,29.0
3.49,30.0
3.56,31.0
3.9,32.0
3.82,33.0
3.99,34.0
3.91,35.0
3.65,36.0
3.48,37.0
3.09,38.0
3.2,39.0
2.97,40.0
2.97,41.0
2.76,42.0
2.86,43.0
3.04,44.0
3.18,45.0
3.11,46.0
3.04,47.0
2.9,48.0
3.03,49.0
3.15,50.0
2.98,51.0
3.1,52.0
2.93,53.0
3.06,54.0
3.41,55.0
3.44,56.0
3.41,57.0
3.54,58.0
3.16,59.0
3.08,60.0
3.23,61.0
3.11,62.0
3.23,63.0
