btf,daynumber
40640.0,1.0
41148.0,1.0
50744.0,1.0
42265.0,1.0
41676.0,1.0
44006.0,1.0
34621.0,1.0
50031.0,1.0
35463.0,2.0
47375.0,2.0
46802.0,2.0
43511.0,2.0
54737.0,2.0
42498.0,2.0
44433.0,2.0
41529.0,2.0
38438.0,3.0
37170.0,3.0
46922.0,3.0
45499.0,3.0
38111.0,3.0
48104.0,3.0
33914.0,3.0
36807.0,3.0
37929.0,4.0
45826.0,4.0
33212.0,4.0
41211.0,4.0
47242.0,4.0
32300.0,4.0
38056.0,4.0
42295.0,4.0
41133.0,5.0
35454.0,5.0
50589.0,5.0
40955.0,5.0
44196.0,5.0
44083.0,5.0
44375.0,5.0
39780.0,5.0
50835.0,6.0
39922.0,6.0
38739.0,6.0
33381.0,6.0
38660.0,6.0
31823.0,6.0
40534.0,6.0
40699.0,6.0
39420.0,7.0
50557.0,7.0
51537.0,7.0
41307.0,7.0
40648.0,7.0
43498.0,7.0
43770.0,7.0
43321.0,7.0
48846.0,8.0
37372.0,8.0
37235.0,8.0
37212.0,8.0
40183.0,8.0
44129.0,8.0
44035.0,8.0
43952.0,8.0
42608.0,9.0
37099.0,9.0
32890.0,9.0
31848.0,9.0
42729.0,9.0
44562.0,9.0
35561.0,9.0
41036.0,9.0
42158.0,10.0
32121.0,10.0
44367.0,10.0
42010.0,10.0
37899.0,10.0
37632.0,10.0
39825.0,10.0
35319.0,10.0
48005.0,11.0
39368.0,11.0
40660.0,11.0
37679.0,11.0
50464.0,11.0
41671.0,11.0
39259.0,11.0
42434.0,11.0
53964.0,12.0
33973.0,12.0
47553.0,12.0
50337.0,12.0
33962.0,12.0
38216.0,12.0
50622.0,12.0
41212.0,12.0
29565.0,13.0
38454.0,13.0
39027.0,13.0
42630.0,13.0
32705.0,13.0
38243.0,13.0
35801.0,13.0
44927.0,13.0
36052.0,14.0
39791.0,14.0
42810.0,14.0
44160.0,14.0
43950.0,14.0
41242.0,14.0
43265.0,14.0
41454.0,14.0
37777.0,15.0
43360.0,15.0
44211.0,15.0
37832.0,15.0
40318.0,15.0
36072.0,15.0
36059.0,15.0
48916.0,15.0
38137.0,16.0
33832.0,16.0
32258.0,16.0
33453.0,16.0
44496.0,16.0
40926.0,16.0
56231.0,16.0
42539.0,16.0
49699.0,17.0
40682.0,17.0
35993.0,17.0
50173.0,17.0
31260.0,17.0
43604.0,17.0
42036.0,17.0
46603.0,17.0
41608.0,18.0
51614.0,18.0
33142.0,18.0
37819.0,18.0
47352.0,18.0
35292.0,18.0
34088.0,18.0
33033.0,18.0
42881.0,19.0
48652.0,19.0
48340.0,19.0
44096.0,19.0
43881.0,19.0
50551.0,19.0
42031.0,19.0
40601.0,19.0
39752.0,20.0
35369.0,20.0
42221.0,20.0
46474.0,20.0
43478.0,20.0
45223.0,20.0
40522.0,20.0
37971.0,20.0
