return,fundnumber
8.32,1.0
7.41,2.0
7.65,3.0
7.8,4.0
8.12,5.0
9.8,6.0
9.31,7.0
8.62,8.0
7.9,9.0
8.37,10.0
7.35,11.0
8.03,12.0
7.74,13.0
7.71,14.0
9.18,15.0
8.22,16.0
7.87,17.0
8.68,18.0
8.17,19.0
9.66,20.0
8.78,21.0
8.39,22.0
8.96,23.0
10.02,24.0
7.17,25.0
9.91,26.0
10.17,27.0
7.94,28.0
8.84,29.0
9.47,30.0
9.15,31.0
8.62,32.0
8.25,33.0
8.25,34.0
8.18,35.0
8.4,36.0
8.66,37.0
7.62,38.0
10.01,39.0
8.8,40.0
8.33,41.0
9.99,42.0
8.67,43.0
8.77,44.0
8.09,45.0
9.24,46.0
7.44,47.0
9.57,48.0
8.12,49.0
7.64,50.0
7.74,51.0
9.18,52.0
9.1,53.0
8.43,54.0
7.72,55.0
7.94,56.0
9.04,57.0
7.43,58.0
8.3,59.0
8.15,60.0
8.25,61.0
8.18,62.0
8.07,63.0
8.32,64.0
9.44,65.0
7.7,66.0
9.65,67.0
7.44,68.0
9.64,69.0
9.08,70.0
7.62,71.0
7.43,72.0
9.95,73.0
7.79,74.0
8.87,75.0
7.29,76.0
7.98,77.0
8.16,78.0
10.18,79.0
7.53,80.0
8.43,81.0
9.12,82.0
9.51,83.0
7.68,84.0
8.44,85.0
8.55,86.0
7.83,87.0
8.41,88.0
8.45,89.0
8.85,90.0
8.7,91.0
6.9,92.0
9.82,93.0
9.8,94.0
9.15,95.0
9.06,96.0
7.89,97.0
6.82,98.0
8.88,99.0
8.54,100.0
7.71,101.0
7.22,102.0
7.82,103.0
8.01,104.0
8.03,105.0
7.61,106.0
8.13,107.0
8.81,108.0
9.06,109.0
10.17,110.0
10.05,111.0
9.13,112.0
8.59,113.0
8.03,114.0
8.29,115.0
7.35,116.0
8.04,117.0
8.96,118.0
9.47,119.0
8.72,120.0
9.0,121.0
7.99,122.0
8.28,123.0
8.76,124.0
7.3,125.0
9.68,126.0
7.54,127.0
9.01,128.0
8.27,129.0
9.12,130.0
8.8,131.0
9.07,132.0
10.74,133.0
7.71,134.0
8.73,135.0
7.82,136.0
9.89,137.0
7.86,138.0
9.03,139.0
7.94,140.0
7.66,141.0
7.8,142.0
8.73,143.0
