policy,cost
1.0,179.0
1.0,361.0
1.0,135.0
1.0,1124.0
1.0,122.0
1.0,101.0
1.0,385.0
1.0,138.0
1.0,331.0
1.0,557.0
1.0,108.0
1.0,108.0
1.0,544.0
1.0,155.0
1.0,152.0
1.0,105.0
1.0,311.0
1.0,182.0
1.0,142.0
1.0,122.0
1.0,142.0
1.0,101.0
1.0,122.0
1.0,105.0
1.0,375.0
1.0,179.0
1.0,159.0
1.0,395.0
1.0,159.0
1.0,108.0
1.0,321.0
1.0,230.0
1.0,111.0
1.0,111.0
1.0,462.0
1.0,692.0
1.0,155.0
1.0,128.0
1.0,122.0
1.0,712.0
1.0,412.0
1.0,118.0
1.0,105.0
1.0,159.0
2.0,655.0
2.0,304.0
2.0,71.0
2.0,861.0
2.0,567.0
2.0,135.0
2.0,91.0
2.0,122.0
2.0,371.0
2.0,81.0
2.0,88.0
2.0,95.0
2.0,770.0
2.0,91.0
2.0,230.0
2.0,91.0
2.0,71.0
2.0,81.0
2.0,192.0
2.0,142.0
2.0,189.0
2.0,179.0
2.0,273.0
2.0,71.0
2.0,209.0
2.0,368.0
2.0,30.0
2.0,182.0
2.0,182.0
2.0,186.0
2.0,71.0
2.0,118.0
2.0,837.0
2.0,71.0
2.0,74.0
2.0,165.0
2.0,115.0
2.0,81.0
2.0,71.0
2.0,71.0
2.0,273.0
2.0,95.0
2.0,101.0
2.0,68.0
2.0,142.0
2.0,138.0
2.0,81.0
2.0,118.0
2.0,176.0
2.0,159.0
2.0,74.0
2.0,378.0
2.0,196.0
2.0,584.0
2.0,253.0
2.0,159.0
2.0,152.0
2.0,108.0
2.0,378.0
2.0,105.0
2.0,145.0
2.0,74.0
2.0,290.0
2.0,84.0
2.0,105.0
2.0,68.0
2.0,408.0
2.0,189.0
2.0,68.0
2.0,101.0
2.0,560.0
2.0,91.0
2.0,78.0
2.0,182.0
2.0,71.0
2.0,402.0
2.0,108.0
2.0,128.0
2.0,408.0
2.0,196.0
2.0,88.0
2.0,91.0
2.0,125.0
2.0,668.0
2.0,648.0
2.0,351.0
2.0,68.0
2.0,74.0
2.0,78.0
2.0,71.0
2.0,84.0
2.0,216.0
2.0,98.0
2.0,233.0
