purchase,typecoupon
11.25,1.0
40.36,1.0
29.73,1.0
6.78,1.0
42.77,1.0
9.79,1.0
15.41,1.0
1.71,1.0
11.17,1.0
22.25,1.0
30.97,1.0
5.07,1.0
58.36,1.0
6.59,1.0
4.5,1.0
52.84,1.0
12.52,1.0
12.96,1.0
25.4,1.0
41.78,1.0
7.5,1.0
5.26,1.0
23.32,1.0
46.49,1.0
87.34,1.0
7.63,1.0
27.77,1.0
84.5,1.0
19.15,1.0
101.83,1.0
4.33,1.0
8.04,1.0
70.2,1.0
19.18,1.0
2.4,1.0
101.45,1.0
2.32,1.0
34.26,1.0
82.74,1.0
89.14,1.0
31.83,1.0
18.13,1.0
31.96,1.0
31.66,1.0
6.77,1.0
42.2,1.0
32.37,1.0
9.36,1.0
3.29,1.0
14.43,1.0
21.45,1.0
110.84,1.0
13.67,1.0
21.59,1.0
10.14,1.0
18.6,1.0
39.55,1.0
34.99,1.0
79.61,1.0
126.03,1.0
44.16,1.0
36.12,1.0
18.5,1.0
22.13,1.0
15.59,1.0
21.81,1.0
39.51,1.0
31.4,1.0
47.29,1.0
35.7,1.0
65.9,1.0
18.6,1.0
39.75,1.0
70.47,1.0
26.52,1.0
44.58,1.0
4.05,1.0
6.8,1.0
55.68,1.0
15.7,1.0
46.02,1.0
21.97,1.0
2.26,1.0
18.66,1.0
62.12,1.0
17.88,1.0
3.01,1.0
12.77,1.0
1.54,1.0
30.65,1.0
32.0,1.0
36.69,1.0
6.84,1.0
90.4,1.0
79.47,1.0
87.68,1.0
11.06,1.0
6.31,1.0
7.18,1.0
3.5,1.0
5.95,1.0
80.71,1.0
13.66,1.0
19.56,1.0
67.49,1.0
8.43,1.0
5.51,1.0
16.98,1.0
78.56,1.0
32.8,1.0
61.48,1.0
2.8,1.0
22.69,1.0
23.19,1.0
23.23,1.0
27.94,1.0
8.95,1.0
49.54,1.0
33.8,1.0
11.4,1.0
6.42,1.0
24.66,1.0
14.09,1.0
29.3,1.0
21.16,1.0
14.72,1.0
10.39,1.0
7.46,1.0
163.08,1.0
12.96,1.0
25.15,1.0
10.74,1.0
8.47,1.0
10.97,1.0
71.26,1.0
71.23,1.0
68.58,1.0
40.48,1.0
42.2,1.0
32.35,1.0
7.82,1.0
7.21,1.0
6.83,1.0
85.61,1.0
43.07,1.0
26.41,1.0
26.01,1.0
58.71,1.0
16.02,1.0
26.38,1.0
22.74,1.0
30.61,1.0
26.81,1.0
10.28,1.0
58.47,1.0
9.26,1.0
45.27,1.0
47.42,1.0
49.74,1.0
54.03,1.0
7.95,1.0
30.51,1.0
17.22,1.0
22.43,1.0
115.42,1.0
56.85,1.0
7.04,1.0
32.17,1.0
85.92,1.0
55.01,1.0
72.62,1.0
20.25,1.0
16.72,1.0
11.7,1.0
273.9,1.0
123.78,1.0
28.14,1.0
26.17,1.0
5.42,1.0
4.17,1.0
31.01,1.0
7.14,1.0
106.18,1.0
42.77,1.0
9.7,1.0
4.03,1.0
4.19,1.0
38.77,1.0
42.65,1.0
4.95,1.0
18.99,1.0
31.05,1.0
9.82,1.0
20.59,1.0
5.97,1.0
1.24,1.0
17.36,1.0
55.84,1.0
21.58,1.0
9.3,1.0
60.88,1.0
39.05,1.0
3.41,1.0
56.12,1.0
36.43,1.0
55.03,1.0
78.24,1.0
24.76,1.0
24.93,1.0
59.59,1.0
83.57,1.0
7.36,1.0
36.49,1.0
76.07,1.0
47.32,1.0
38.77,1.0
43.29,1.0
49.08,1.0
10.33,1.0
170.3,1.0
20.19,1.0
10.86,1.0
28.13,1.0
25.23,1.0
17.42,1.0
99.29,1.0
36.69,1.0
6.51,1.0
57.52,1.0
31.07,1.0
10.71,1.0
5.09,1.0
82.79,1.0
98.76,1.0
28.76,1.0
28.98,1.0
100.31,1.0
60.65,1.0
27.09,1.0
45.4,1.0
73.25,1.0
39.68,1.0
54.6,1.0
30.11,1.0
46.66,1.0
4.3,1.0
4.55,1.0
1.15,1.0
2.72,1.0
8.39,1.0
1.91,1.0
2.91,1.0
