error,source
1.19,1.0
5.93,1.0
-2.49,1.0
4.52,1.0
0.51,1.0
-1.48,1.0
-4.95,1.0
3.73,1.0
7.09,1.0
5.67,1.0
1.75,1.0
-0.85,1.0
0.68,1.0
-2.29,1.0
3.24,1.0
-0.29,1.0
-2.39,1.0
-5.3,1.0
-4.01,1.0
2.57,1.0
5.18,1.0
4.87,1.0
0.16,1.0
-1.91,1.0
1.8,1.0
-4.58,1.0
-0.79,1.0
-6.75,1.0
2.7,1.0
-0.04,1.0
-2.79,1.0
-2.58,1.0
1.66,1.0
-0.08,1.0
0.13,1.0
2.8,1.0
-1.67,1.0
-2.68,1.0
-2.63,1.0
-7.66,1.0
-5.5,1.0
-3.5,1.0
0.51,1.0
-5.43,2.0
4.46,2.0
-0.18,2.0
11.28,2.0
-11.73,2.0
3.46,2.0
-0.34,2.0
-3.86,2.0
10.23,2.0
0.94,2.0
-3.17,2.0
-0.75,2.0
1.03,2.0
-1.53,2.0
1.64,2.0
3.66,2.0
-0.33,2.0
8.69,2.0
-7.26,2.0
-8.77,2.0
12.96,2.0
0.76,2.0
-12.57,2.0
-15.53,2.0
-0.16,2.0
3.01,2.0
