Index,Date,Daily Zoo Attendance,Log attendance,Revenue,Average Ticket Price,MaxTemp,Gas price,Total Ad Stock,Ad,Weather Condition,Weather Condition refined,Holiday/Events,Month,Season,day of the week,Weekend?,Events_recode,Weather_recode_2
1.0,2004-04-01,686.0,6.530877627725885,4116.0,6.0,56.0,1.84,1.0,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
2.0,2004-04-02,544.0,6.298949246855942,3340.16,6.14,49.0,1.85,1.0,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Fri,No,NONE,NOT GOOD WEATHER
3.0,2004-04-03,1786.0,7.487733761436444,10858.880000000001,6.08,51.0,1.85,1.0,no,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,APR,HIGH SEASON,Sat,Yes,NONE,GOOD WEATHER
4.0,2004-04-04,1321.0,7.186144304522325,11981.470000000001,9.07,52.0,1.85,1.0,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Sun,Yes,NONE,NOT GOOD WEATHER
5.0,2004-04-05,1029.0,6.9363427358340495,9363.9,9.1,44.0,1.85,1.0,no,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,APR,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
6.0,2004-04-06,2843.0,7.952615111651,25899.73,9.11,56.0,1.86,1.0,no,SUNNY/CLOUDY,Sunny,NONE,APR,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
7.0,2004-04-07,21124.0,9.958165113826825,2112.4,0.1,67.0,1.86,1.0,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
8.0,2004-04-08,10036.0,9.213933907486313,90926.16,9.06,55.0,1.86,1.0,no,SUNNY/CLOUDY,MOSTLY CLOUDY,EASTER,APR,HIGH SEASON,Thu,No,Have Events,GOOD WEATHER
9.0,2004-04-09,7126.0,8.871505346165781,64704.08,9.08,62.0,1.86,1.0,no,RAIN,RAIN,EASTER,APR,HIGH SEASON,Fri,No,Have Events,NOT GOOD WEATHER
10.0,2004-04-10,8431.0,9.039670667922676,76469.17,9.07,62.0,1.87,1.0,no,SUNNY/CLOUDY,PARTLY CLOUDY,EASTER,APR,HIGH SEASON,Sat,Yes,Have Events,GOOD WEATHER
11.0,2004-04-11,1824.0,7.508787170634276,16488.96,9.04,50.0,1.87,1.0,no,RAIN,RAIN,EASTER,APR,HIGH SEASON,Sun,Yes,Have Events,NOT GOOD WEATHER
12.0,2004-04-12,2412.0,7.788211557847076,21900.96,9.08,55.0,1.87,1.0,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Mon,No,NONE,NOT GOOD WEATHER
13.0,2004-04-13,658.0,6.489204931325317,5981.22,9.09,56.0,1.88,1.0,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Tue,No,NONE,NOT GOOD WEATHER
14.0,2004-04-14,3484.0,8.155936337972394,348.40000000000003,0.1,57.0,1.88,1.0,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Wed,No,NONE,NOT GOOD WEATHER
15.0,2004-04-15,3511.0,8.163656176168432,31914.989999999998,9.09,61.0,1.88,1.0,no,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,APR,HIGH SEASON,Thu,No,NONE,GOOD WEATHER
16.0,2004-04-16,7067.0,8.863191340690854,64168.36,9.08,64.0,1.88,1.0,no,SUNNY/CLOUDY,Sunny,NONE,APR,HIGH SEASON,Fri,No,NONE,GOOD WEATHER
17.0,2004-04-17,8710.0,9.072227069846548,79086.8,9.08,70.0,1.89,1.0,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Sat,Yes,NONE,NOT GOOD WEATHER
18.0,2004-04-18,13030.0,9.47500967011889,118182.1,9.07,72.0,1.89,1.0,no,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,APR,HIGH SEASON,Sun,Yes,NONE,GOOD WEATHER
19.0,2004-04-19,5208.0,8.557951183888406,47288.64,9.08,82.0,1.89,1.0,no,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,APR,HIGH SEASON,Mon,No,NONE,GOOD WEATHER
20.0,2004-04-20,9316.0,9.139488631004232,85893.52,9.22,74.0,1.9,1.0,no,SUNNY/CLOUDY,PARTLY CLOUDY,NONE,APR,HIGH SEASON,Tue,No,NONE,GOOD WEATHER
21.0,2004-04-21,10534.0,9.262363400043334,1053.4,0.1,57.0,1.9,1.0,no,SUNNY/CLOUDY,MOSTLY CLOUDY,NONE,APR,HIGH SEASON,Wed,No,NONE,GOOD WEATHER
22.0,2004-04-22,6216.0,8.734881892047483,57125.03999999999,9.19,74.0,1.9,1.0,no,RAIN,RAIN,NONE,APR,HIGH SEASON,Thu,No,NONE,NOT GOOD WEATHER
