TotalComp,Log10 TotalComp,Name,Company,Industry,Net Sales,Net income ($ Million),Percent stock owned,Full Title,Sex,Age,SP Industry Code,SP Code,SIC,SIC Desc
,,Richard Roscitt,ADC TELECOMMUNICATIONS INC,IT,773200000.0,-76.7,,"chairman, president & CEO",MALE,,4520.0,45.0,3661.0,TELE & TELEGRAPH APPARATUS
2901854.0,6.462675558139821,Ingrid Wiik,ALPHARMA INC  -CL A,Health,1297285000.0,16.936,,president & CEO,FEMALE,59.0,3520.0,35.0,2834.0,PHARMACEUTICAL PREPARATIONS
686295.0,5.836510834851155,Gerald Arpey,AMR CORP/DE,Industrial,17440000000.0,-1228.0,,president & CEO,MALE,45.0,2030.0,20.0,4512.0,"AIR TRANSPORT, SCHEDULED"
779222.0,5.891661205605316,Harvey Blau,AEROFLEX INC,IT,291780000.0,6.395,0.21,chairman & CEO,MALE,67.0,4520.0,45.0,3825.0,ELEC MEAS & TEST INSTRUMENTS
1438539.0,6.157921640473962,William Post,PINNACLE WEST CAPITAL,Utility,2817852000.0,240.579,,chairman & CEO; chairman-APS,MALE,53.0,5510.0,55.0,4911.0,ELECTRIC SERVICES
1774182.0,6.248998168788506,"R. Loudermilk, Sr.",AARON RENTS INC,Discretionary,766797000.0,36.426,7.44,chairman & CEO,MALE,76.0,2550.0,25.0,7359.0,"EQUIP RENTAL & LEASING, NEC"
9833416.0,6.992704412261171,Miles White,ABBOTT LABORATORIES,Health,19680561000.0,2753.233,,chairman & CEO,MALE,48.0,3520.0,35.0,2834.0,PHARMACEUTICAL PREPARATIONS
3908636.0,6.592025227722576,Hector Ruiz,ADVANCED MICRO DEVICES,IT,3519168000.0,-274.49,,president & CEO,MALE,58.0,4530.0,45.0,3674.0,"SEMICONDUCTOR,RELATED DEVICE"
17953233.0,7.254142667266999,John Rowe,AETNA INC,Health,17976400000.0,933.8,,chairman & CEO,MALE,59.0,3510.0,35.0,6324.0,HOSPITAL & MEDICAL SVC PLANS
6328179.0,6.801278755194548,John Jones III,AIR PRODUCTS & CHEMICALS INC,Materials,6297300000.0,397.3,,"chairman, president & CEO",MALE,53.0,1510.0,15.0,2810.0,INDL INORGANIC CHEMICALS
