Make/Model,MPG_City,MPG_Hwy,Weight(lb),Seating,Horsepower,HP/Pound,Displacement,Cylinders,Origin,Transmission,EPA_Class,Length,Fuel,HEV,Turbocharger,Make,Model,GP1000M_City,GP1000M_Hwy,h GP1000M_City,Residual GP1000M_City,Residual GP1000M_City 2,Residual GP1000M_City 3
Acura_RL,16.0,24.0,4014.0,5.0,290.0,0.07224713502740408,3.5,6.0,3.0,A-S,midsize,193.6,gas,no,no,Acura,RL,62.5,41.666666666666664,0.009014286569825176,-0.5324811457713281,-0.4883782016091587,-0.27868137248417924
Acura_TL,17.0,26.0,3674.0,5.0,286.0,0.07784431137724551,3.5,6.0,3.0,A-S,midsize,189.3,gas,no,no,Acura,TL,58.8235294117647,38.46153846153846,0.009579469351925822,-1.4407699987026987,-1.2919936757253794,-1.0238922866802227
Acura_TL,18.0,27.0,3559.0,5.0,286.0,0.08035965158752459,3.5,6.0,3.0,M,midsize,189.3,gas,no,no,Acura,TL,55.55555555555556,37.03703703703704,0.011179849421888283,-5.017500504792395,-4.510458065230004,-3.8353925836449676
Acura_TSX,20.0,28.0,3345.0,5.0,205.0,0.061285500747384154,2.4,4.0,3.0,A-S,compact,186.2,gas,no,no,Acura,TSX,50.0,35.714285714285715,0.010817531871521763,-1.1940185038114777,-1.3641823306360337,-1.4679021906285854
Acura_TSX,19.0,28.0,3257.0,5.0,205.0,0.06294135707706479,2.4,4.0,3.0,M,compact,186.2,gas,no,no,Acura,TSX,52.63157894736842,35.714285714285715,0.01066433741237028,0.8891787225368049,1.0683290203098181,1.3664526963625718
Acura_MDX,15.0,20.0,4588.0,7.0,300.0,0.06538796861377506,3.7,6.0,3.0,A-S,suv4,190.7,gas,no,no,Acura,MDX,66.66666666666667,50.0,0.009362704306065226,-2.6571665569982486,-2.740178776710465,-2.573570253340023
Acura_RDX,17.0,22.0,3935.0,5.0,240.0,0.060991105463786534,2.3,4.0,3.0,A-S,suv4,180.7,gas,no,yes,Acura,RDX,58.8235294117647,45.45454545454545,0.00897797026562259,-1.1764568844439722,-1.3357153339573102,-1.338360995372085
Aston_Martin_V8_Vantage,12.0,19.0,3770.0,2.0,420.0,0.11140583554376658,4.3,8.0,2.0,M,2-seater,172.5,gas,no,no,Aston_Martin,V8_Vantage,83.33333333333333,52.63157894736842,0.022272581366775734,7.788481441540341,9.002824511640853,10.437461678461716
Aston_Martin_DB9_Coupe,11.0,18.0,3880.0,4.0,470.0,0.1211340206185567,5.9,12.0,2.0,A-S,minicompact,185.5,gas,no,no,Aston_Martin,DB9_Vantage,90.9090909090909,55.55555555555556,0.02387953471347263,13.39933729144326,14.486310829591176,15.741886467894531
Aston_Martin_DB9_Coupe,10.0,16.0,3880.0,4.0,470.0,0.1211340206185567,5.9,12.0,2.0,M,minicompact,185.5,gas,no,no,Aston_Martin,DB9_Vantage,100.0,62.5,0.025005867740921447,21.160864429469896,22.567975229441302,
Audi_R8,13.0,20.0,3616.0,2.0,420.0,0.1161504424778761,4.2,8.0,2.0,M,2-seater,174.4,gas,no,no,Audi,R8,76.92307692307692,50.0,0.02153076374843683,2.9983642346249013,4.257773249723073,5.714576165854737
Audi_TT_Roadster,22.0,29.0,2965.0,2.0,200.0,0.06745362563237774,2.0,4.0,2.0,A-S,2-seater,164.5,gas,no,yes,Audi,TT_Roadster,45.45454545454545,34.48275862068966,0.01530110247885088,-4.855764220030693,-4.858508969829465,-4.83726563825558
Audi_TT_Roadster_Quattro,18.0,24.0,3218.0,2.0,250.0,0.07768800497203232,3.2,6.0,2.0,A-S,2-seater,164.5,gas,no,no,Audi,TT_Roadster_Quattro,55.55555555555556,41.666666666666664,0.01606655450261622,-1.051876000094282,-0.8682568203770487,-0.619869612881466
Audi_A4_Cabriolet,21.0,30.0,3428.0,4.0,200.0,0.058343057176196034,2.0,4.0,2.0,AV,subcompact,180.0,gas,no,yes,Audi,A4_Cabriolet,47.61904761904762,33.333333333333336,0.05429875953690958,-1.536402409182486,-1.4328312902498297,-1.3040369443163442
Audi_A5_Quattro,18.0,27.0,3913.0,5.0,265.0,0.06772297469971889,3.2,6.0,2.0,A-S,subcompact,182.1,gas,no,no,Audi,A5_Quattro,55.55555555555556,37.03703703703704,0.008271719941304108,-6.088346254861946,-6.109603094633279,-5.975701411485566
Audi_A5_Quattro,16.0,27.0,3737.0,5.0,265.0,0.0709124966550709,3.2,6.0,2.0,M,subcompact,182.1,gas,no,no,Audi,A5_Quattro,62.5,37.03703703703704,0.009008646349667424,1.0887167004246834,1.4459508480249994,1.9983852883855846
Audi_S5_Quattro,14.0,21.0,4067.0,5.0,354.0,0.08704204573395623,4.2,8.0,2.0,A-S,subcompact,182.5,gas,no,no,Audi,S5_Quattro,71.42857142857143,47.61904761904762,0.010725839888145764,1.2591559606563436,1.6666181976874554,2.259554745366515
Audi_S5_Quattro,14.0,21.0,3891.0,5.0,354.0,0.09097918272937548,4.2,8.0,2.0,M,subcompact,182.5,gas,no,no,Audi,S5_Quattro,71.42857142857143,47.61904761904762,0.012373649110574576,1.4917744714985304,2.277727695901305,3.289197000793223
Audi_A4_Quattro,19.0,27.0,3660.0,5.0,200.0,0.0546448087431694,2.0,4.0,2.0,A-S,compact,180.6,gas,no,yes,Audi,A4_Quattro,52.63157894736842,37.03703703703704,0.009419862567505282,-1.699720905199193,-1.9836841357547783,-2.153905743720898
Audi_A4_Quattro,20.0,28.0,3549.0,5.0,200.0,0.05635390250774866,2.0,4.0,2.0,M,compact,180.6,gas,no,yes,Audi,A4_Quattro,50.0,35.714285714285715,0.00927644037108309,-4.67555651298737,-4.602579847993056,-4.366595964381453
Audi_A6,18.0,27.0,3858.0,5.0,255.0,0.0660964230171073,3.1,6.0,2.0,AV,midsize,193.5,gas,no,no,Audi,A6,55.55555555555556,37.03703703703704,0.05712066977621548,-0.07267235347276824,0.14301629960532836,0.4428751599901304
Audi_A8,16.0,23.0,4321.0,5.0,350.0,0.08099976857208979,4.2,8.0,2.0,A-S,midsize,199.3,gas,no,no,Audi,A8,62.5,43.47826086956522,0.011034000409743894,-7.359036019272395,-7.110404342141862,-6.649900835926005
Audi_S6,14.0,19.0,4486.0,5.0,435.0,0.09696834596522515,5.2,10.0,2.0,A-S,midsize,193.5,gas,no,no,Audi,S6,71.42857142857143,52.63157894736842,0.014259549878706498,-7.556311235291005,-6.88466943352347,-5.966253349553341
Audi_A3,22.0,29.0,3307.0,5.0,200.0,0.06047777441790142,2.0,4.0,2.0,A-S,smallwagon,168.7,gas,no,yes,Audi,A3,45.45454545454545,34.48275862068966,0.012857752792089241,-7.330892515950978,-7.460278097099838,-7.519458110146722
Audi_A3,20.0,29.0,3263.0,5.0,200.0,0.06129328838492185,2.0,4.0,2.0,M,smallwagon,168.7,gas,no,yes,Audi,A3,50.0,34.48275862068966,0.010172215566956681,-3.7243198074477277,-3.518979695386058,-3.1846607829714415
Audi_Q7,14.0,20.0,5027.0,6.0,280.0,0.05569922418937736,3.6,6.0,2.0,A-S,suv4,200.2,gas,no,no,Audi,Q7,71.42857142857143,50.0,0.014063790665830293,1.0962545219269657,0.7296227553216568,0.6677227297212482
Bentley_Azure,9.0,15.0,5929.0,5.0,450.0,0.07589812784617979,6.7,8.0,2.0,A-S,compact,212.6,gas,no,yes,Bentley,Azure,111.11111111111111,66.66666666666667,0.022018678835131467,20.651300009215916,20.865330696186007,
Bentley_Continental_GT,10.0,17.0,5170.0,4.0,552.0,0.10676982591876209,6.0,12.0,2.0,A-S,compact,189.1,gas,no,yes,Bentley,Continental_GT,100.0,58.8235294117647,0.029696729712790006,4.876734281886641,5.967851060423172,7.4166438407265645
