Make/Model,MPG City,Weight(lb),Cargo,Seating,Horsepower,Displacement,HP/Pound,Type,cylinders,origin,length,width,turndiam,headroom,legroom,price,make,model,mpg_hwy,GPM City,GP1000M City
Acura_Integra,25.0,2390.0,16.0,5.0,118.0,97.0,0.049372384937238493,5HB,4.0,3.0,171.3,65.6,32.1,37.5,40.7,12670.0,Acura,Integra,30.0,0.04,40.0
Acura_Legend,18.0,3077.0,16.6,5.0,161.0,163.0,0.05232369190770231,4NB,6.0,3.0,189.4,68.3,36.1,37.2,42.3,23400.0,Acura,Legend,22.0,0.05555555555555555,55.55555555555555
Audi_80,23.0,2568.0,10.2,5.0,108.0,121.0,0.04205607476635514,4NB,4.0,2.0,176.3,66.7,33.8,,,19685.0,Audi,80,27.0,0.043478260869565216,43.47826086956522
Audi_100,19.0,2932.0,16.8,5.0,130.0,141.0,0.04433833560709413,4NB,5.0,2.0,192.7,71.4,34.2,37.5,,28030.0,Audi,100,22.0,0.05263157894736842,52.63157894736842
BMW_325i,18.0,2855.0,14.3,5.0,168.0,152.0,0.05884413309982487,4NB,6.0,2.0,170.2,64.8,34.4,37.7,,26095.0,BMW,325i,22.0,0.05555555555555555,55.55555555555555
BMW_525i,18.0,3395.0,16.2,5.0,168.0,152.0,0.049484536082474224,4NB,6.0,2.0,185.8,68.9,37.7,,,37000.0,BMW,525i,23.0,0.05555555555555555,55.55555555555555
BMW_735i,14.0,3835.0,17.6,5.0,208.0,209.0,0.05423728813559322,4NB,6.0,2.0,193.3,72.6,38.1,,,54000.0,BMW,735i,19.0,0.07142857142857142,71.42857142857143
Buick_Century,23.0,2764.0,15.8,6.0,110.0,151.0,0.03979739507959479,4NB,4.0,1.0,190.3,69.5,38.1,38.6,42.1,13356.0,Buick,Century,30.0,0.043478260869565216,43.47826086956522
Buick_Electra,19.0,3289.0,16.4,6.0,165.0,231.0,0.05016722408026756,4NB,6.0,1.0,196.9,72.4,39.4,39.3,42.4,18525.0,Buick,Electra,28.0,0.05263157894736842,52.63157894736842
Buick_Estate,17.0,4209.0,87.9,8.0,140.0,307.0,0.03326205749584224,5WGN,8.0,1.0,220.5,79.3,41.4,39.6,42.2,19860.0,Buick,Estate,24.0,0.058823529411764705,58.8235294117647
Buick_LeSabre,19.0,3267.0,16.4,6.0,165.0,231.0,0.050505050505050504,4NB,6.0,1.0,196.5,72.4,40.0,38.9,42.4,16730.0,Buick,LeSabre,28.0,0.05263157894736842,52.63157894736842
Buick_Reatta,19.0,3394.0,10.3,2.0,165.0,231.0,0.048615203299941075,2NB,6.0,1.0,183.5,73.0,38.0,36.9,43.1,26700.0,Buick,Reatta,28.0,0.05263157894736842,52.63157894736842
Buick_Regal,20.0,3144.0,15.5,6.0,130.0,173.0,0.041348600508905854,2NB,6.0,1.0,192.2,72.5,39.0,37.8,42.3,14739.0,Buick,Regal,29.0,0.05,50.0
Buick_Riviera,19.0,3436.0,13.9,5.0,165.0,231.0,0.0480209545983702,2NB,6.0,1.0,198.3,71.7,37.5,37.8,42.7,22540.0,Buick,Riviera,28.0,0.05263157894736842,52.63157894736842
Buick_Skyhawk,25.0,2469.0,13.5,5.0,90.0,121.0,0.03645200486026731,4NB,4.0,1.0,181.7,65.0,34.3,38.2,42.2,9700.0,Buick,Skyhawk,32.0,0.04,40.0
Buick_Skylark,23.0,2640.0,13.4,6.0,110.0,151.0,0.041666666666666664,4NB,4.0,1.0,180.0,66.6,37.8,37.7,42.9,12345.0,Buick,Skylark,30.0,0.043478260869565216,43.47826086956522
Cadillac_Allante,15.0,3492.0,16.2,2.0,200.0,273.0,0.0572737686139748,2CONV,8.0,1.0,178.6,73.5,36.1,37.3,43.1,57183.0,Cadillac,Allante,23.0,0.06666666666666667,66.66666666666667
Cadillac_Brougham,17.0,4190.0,19.5,6.0,140.0,307.0,0.03341288782816229,4NB,8.0,1.0,221.0,76.5,40.5,39.0,42.0,25699.0,Cadillac,Brougham,24.0,0.058823529411764705,58.8235294117647
Cadillac_Fleetwood,17.0,3470.0,18.4,6.0,155.0,273.0,0.0446685878962536,4NB,8.0,1.0,205.3,72.5,42.6,39.3,42.4,34230.0,Cadillac,Fleetwood,25.0,0.058823529411764705,58.8235294117647
Cadillac_Seville,17.0,3422.0,14.1,5.0,155.0,273.0,0.04529514903565167,4NB,8.0,1.0,191.4,71.7,40.3,37.8,42.5,29750.0,Cadillac,Seville,25.0,0.058823529411764705,58.8235294117647
Chevrolet_Astro,17.0,3084.0,151.8,8.0,155.0,262.0,0.05025940337224384,5VAN,6.0,1.0,176.8,77.0,40.2,,,14754.0,Chevrolet,Astro,22.0,0.058823529411764705,58.8235294117647
Chevrolet_Camaro,16.0,3083.0,34.8,4.0,220.0,305.0,0.07135906584495622,IROC-Z,8.0,1.0,190.3,72.4,36.9,37.0,43.0,14635.0,Chevrolet,Camaro,25.0,0.0625,62.5
Chevrolet_Caprice,17.0,3693.0,20.9,6.0,170.0,305.0,0.04603303547251557,4NB,8.0,1.0,212.2,75.4,38.7,39.5,42.2,16835.0,Chevrolet,Caprice,24.0,0.058823529411764705,58.8235294117647
Chevrolet_Cavalier,25.0,2423.0,13.7,5.0,90.0,121.0,0.03714403631861329,4NB,4.0,1.0,178.4,66.3,34.7,39.7,42.2,9010.0,Chevrolet,Cavalier,32.0,0.04,40.0
Chevrolet_Celebrity,23.0,2751.0,16.2,6.0,98.0,151.0,0.035623409669211195,4NB,4.0,1.0,188.3,69.3,38.7,38.6,42.1,11495.0,Chevrolet,Celebrity,30.0,0.043478260869565216,43.47826086956522
Chevrolet_Corsica,24.0,2595.0,13.5,5.0,90.0,121.0,0.03468208092485549,4NB,4.0,1.0,183.4,68.2,34.8,38.1,43.4,10475.0,Chevrolet,Corsica,31.0,0.041666666666666664,41.666666666666664
Chevrolet_Corvette,17.0,3229.0,17.9,2.0,245.0,350.0,0.07587488386497368,3HB,8.0,1.0,176.5,71.0,40.4,36.4,42.6,31545.0,Chevrolet,Corvette,25.0,0.058823529411764705,58.8235294117647
Chrysler_Conquest,18.0,2822.0,,4.0,188.0,156.0,0.0666194188518781,3HB,4.0,1.0,173.2,66.3,31.5,36.6,40.7,19692.0,Chrysler,Conquest,24.0,0.05555555555555555,55.55555555555555
Chrysler_Fifth_Ave,16.0,3556.0,15.6,6.0,140.0,318.0,0.03937007874015748,4NB,8.0,1.0,206.7,72.4,40.7,39.3,42.5,18345.0,Chrysler,Fifth_Ave,22.0,0.0625,62.5
Chrysler_LeBaron,24.0,2659.0,42.6,5.0,93.0,135.0,0.03497555471981948,5HB,4.0,1.0,180.4,68.3,36.2,38.3,41.1,12031.0,Chrysler,LeBaron,28.0,0.041666666666666664,41.666666666666664
Chrysler_New_Yorker,18.0,3214.0,16.5,6.0,141.0,181.0,0.04387056627255756,4NB,6.0,1.0,193.6,68.5,40.5,38.3,41.9,17416.0,Chrysler,New_Yorker,26.0,0.05555555555555555,55.55555555555555
Daihatsu_Charade,38.0,1775.0,33.0,4.0,53.0,61.0,0.029859154929577466,3HB,3.0,3.0,144.9,63.6,31.5,37.5,41.1,6397.0,Daihatsu,Charade,42.0,0.02631578947368421,26.31578947368421
Dodge_Aries,24.0,2323.0,15.0,6.0,93.0,135.0,0.04003443822643134,4NB,4.0,1.0,178.9,67.9,34.8,38.6,42.2,8371.0,Dodge,Aries,30.0,0.041666666666666664,41.666666666666664
Dodge_Caravan,21.0,3304.0,150.0,8.0,100.0,153.0,0.03026634382566586,4VAN,4.0,1.0,190.5,69.6,43.2,39.0,38.2,11877.0,Dodge,Caravan,23.0,0.047619047619047616,47.61904761904761
Dodge_Colt,27.0,2195.0,34.7,5.0,81.0,90.0,0.03690205011389522,3HBGT,4.0,1.0,158.7,65.5,32.4,38.3,41.9,9362.0,Dodge,Colt,29.0,0.037037037037037035,37.03703703703704
Dodge_Colt,22.0,2888.0,63.9,7.0,96.0,122.0,0.0332409972299169,5WGN2WD,4.0,1.0,174.6,64.6,34.8,38.3,38.8,13327.0,Dodge,Colt_Vista,23.0,0.045454545454545456,45.45454545454545
Dodge_Daytona,23.0,2676.0,33.0,4.0,100.0,153.0,0.03736920777279522,3HB,4.0,1.0,175.0,69.3,34.3,37.1,42.4,9831.0,Dodge,Daytona,29.0,0.043478260869565216,43.47826086956522
Dodge_Dynasty,22.0,3000.0,16.0,6.0,141.0,181.0,0.047,4NB,4.0,1.0,192.0,68.5,40.5,37.6,41.9,12295.0,Dodge,Dynasty,28.0,0.045454545454545456,45.45454545454545
Dodge_Lancer,24.0,2643.0,42.6,5.0,93.0,139.0,0.03518728717366629,5HB,4.0,1.0,180.4,68.3,36.2,38.3,41.1,11731.0,Dodge,Lancer,28.0,0.041666666666666664,41.666666666666664
Dodge_Omni,24.0,2237.0,33.0,5.0,93.0,135.0,0.041573535985695124,5HB,4.0,1.0,163.2,66.8,38.1,38.1,42.1,7371.0,Dodge,Omni,30.0,0.041666666666666664,41.666666666666664
Dodge_Shadow,24.0,2558.0,33.0,5.0,93.0,135.0,0.03635652853792025,5HB,4.0,1.0,171.7,67.3,36.2,38.3,41.5,9131.0,Dodge,Shadow,28.0,0.041666666666666664,41.666666666666664
0.0434783,23.0,2770.0,14.4,6.0,100.0,153.0,0.036101083032490974,4NB,4.0,1.0,181.2,68.1,37.6,38.4,41.8,1.0,Dodge,Spirit,29.0,0.043478260869565216,43.47826086956522
Eagle_Medallion,21.0,2588.0,15.2,5.0,103.0,132.0,0.039799072642967545,4NB_DL,4.0,1.0,183.2,67.5,,37.8,42.2,10895.0,Eagle,Medallion,27.0,0.047619047619047616,47.61904761904761
Eagle_Premier,22.0,2862.0,16.3,5.0,150.0,182.0,0.05241090146750524,4NB_LX,4.0,1.0,192.7,69.8,36.9,38.5,43.7,13276.0,Eagle,Premier,31.0,0.045454545454545456,45.45454545454545
