NumberOfCrews,RoomsClean
16.0,51.0
10.0,37.0
12.0,37.0
16.0,46.0
16.0,45.0
4.0,11.0
2.0,6.0
4.0,19.0
6.0,29.0
2.0,14.0
12.0,47.0
8.0,37.0
16.0,60.0
2.0,6.0
2.0,11.0
2.0,10.0
6.0,19.0
10.0,33.0
16.0,46.0
16.0,69.0
10.0,41.0
6.0,19.0
2.0,6.0
6.0,27.0
10.0,35.0
12.0,55.0
4.0,15.0
4.0,18.0
16.0,72.0
8.0,22.0
10.0,55.0
16.0,65.0
6.0,26.0
10.0,52.0
12.0,55.0
8.0,33.0
10.0,38.0
8.0,23.0
8.0,38.0
2.0,10.0
16.0,65.0
8.0,31.0
8.0,33.0
12.0,47.0
10.0,42.0
16.0,78.0
2.0,6.0
2.0,6.0
8.0,40.0
12.0,39.0
4.0,9.0
4.0,22.0
12.0,41.0
