Thickness,Day,AfterDay20?
250.167,1.0,no
250.478,1.0,no
248.867,1.0,no
250.43,1.0,no
249.538,1.0,no
251.294,1.0,no
250.717,1.0,no
249.158,1.0,no
249.634,1.0,no
248.369,1.0,no
249.371,1.0,no
250.418,1.0,no
250.95,2.0,no
250.363,2.0,no
250.168,2.0,no
248.148,2.0,no
249.352,2.0,no
249.943,2.0,no
249.859,2.0,no
248.927,2.0,no
250.85,2.0,no
249.523,2.0,no
249.062,2.0,no
248.493,2.0,no
250.819,3.0,no
249.348,3.0,no
251.182,3.0,no
250.4,3.0,no
246.891,3.0,no
250.154,3.0,no
250.203,3.0,no
249.994,3.0,no
250.057,3.0,no
248.903,3.0,no
251.231,3.0,no
250.566,3.0,no
250.153,4.0,no
249.932,4.0,no
249.404,4.0,no
250.509,4.0,no
250.729,4.0,no
249.18,4.0,no
252.312,4.0,no
248.181,4.0,no
250.587,4.0,no
249.656,4.0,no
248.643,4.0,no
251.6,4.0,no
250.608,5.0,no
248.946,5.0,no
250.547,5.0,no
249.345,5.0,no
249.297,5.0,no
248.325,5.0,no
250.86,5.0,no
246.527,5.0,no
250.824,5.0,no
251.328,5.0,no
248.817,5.0,no
252.393,5.0,no
249.849,6.0,no
250.795,6.0,no
247.925,6.0,no
250.094,6.0,no
251.135,6.0,no
248.62,6.0,no
249.847,6.0,no
250.642,6.0,no
250.139,6.0,no
252.632,6.0,no
251.049,6.0,no
249.326,6.0,no
250.589,7.0,no
251.257,7.0,no
248.761,7.0,no
248.422,7.0,no
248.046,7.0,no
249.977,7.0,no
249.035,7.0,no
249.84,7.0,no
250.078,7.0,no
250.81,7.0,no
248.067,7.0,no
251.352,7.0,no
249.067,8.0,no
249.17,8.0,no
249.545,8.0,no
252.343,8.0,no
248.358,8.0,no
250.319,8.0,no
250.587,8.0,no
249.443,8.0,no
249.235,8.0,no
248.146,8.0,no
250.798,8.0,no
249.611,8.0,no
250.624,9.0,no
250.989,9.0,no
252.603,9.0,no
251.752,9.0,no
249.312,9.0,no
251.347,9.0,no
251.343,9.0,no
249.72,9.0,no
248.448,9.0,no
251.559,9.0,no
246.885,9.0,no
248.115,9.0,no
251.587,10.0,no
250.808,10.0,no
249.662,10.0,no
251.839,10.0,no
250.98,10.0,no
249.059,10.0,no
247.904,10.0,no
250.842,10.0,no
252.748,10.0,no
249.968,10.0,no
249.573,10.0,no
249.513,10.0,no
250.383,11.0,no
249.076,11.0,no
249.941,11.0,no
248.71,11.0,no
248.833,11.0,no
250.106,11.0,no
249.362,11.0,no
251.85,11.0,no
249.835,11.0,no
250.174,11.0,no
251.362,11.0,no
251.736,11.0,no
248.835,12.0,no
249.409,12.0,no
250.468,12.0,no
251.894,12.0,no
251.009,12.0,no
247.185,12.0,no
251.191,12.0,no
251.067,12.0,no
248.615,12.0,no
248.446,12.0,no
250.891,12.0,no
249.78,12.0,no
251.862,13.0,no
248.304,13.0,no
250.264,13.0,no
253.813,13.0,no
249.673,13.0,no
250.578,13.0,no
250.186,13.0,no
249.629,13.0,no
249.977,13.0,no
247.138,13.0,no
252.73,13.0,no
250.99,13.0,no
248.924,14.0,no
248.223,14.0,no
252.659,14.0,no
248.557,14.0,no
250.8,14.0,no
248.092,14.0,no
251.309,14.0,no
251.72,14.0,no
250.68,14.0,no
251.236,14.0,no
252.78,14.0,no
252.848,14.0,no
249.265,15.0,no
251.162,15.0,no
252.424,15.0,no
249.095,15.0,no
251.877,15.0,no
250.622,15.0,no
249.421,15.0,no
248.973,15.0,no
249.741,15.0,no
248.576,15.0,no
250.355,15.0,no
249.113,15.0,no
251.539,16.0,no
247.58,16.0,no
252.528,16.0,no
245.773,16.0,no
249.602,16.0,no
249.355,16.0,no
252.608,16.0,no
252.646,16.0,no
251.726,16.0,no
250.782,16.0,no
249.701,16.0,no
249.861,16.0,no
249.714,17.0,no
248.909,17.0,no
245.622,17.0,no
251.611,17.0,no
251.607,17.0,no
249.628,17.0,no
251.305,17.0,no
250.089,17.0,no
249.744,17.0,no
250.409,17.0,no
252.833,17.0,no
253.036,17.0,no
249.489,18.0,no
253.501,18.0,no
249.974,18.0,no
251.978,18.0,no
251.245,18.0,no
249.912,18.0,no
250.147,18.0,no
248.755,18.0,no
252.458,18.0,no
250.134,18.0,no
253.191,18.0,no
250.485,18.0,no
249.293,19.0,no
250.349,19.0,no
248.665,19.0,no
249.56,19.0,no
252.328,19.0,no
248.755,19.0,no
250.812,19.0,no
250.655,19.0,no
246.026,19.0,no
249.767,19.0,no
248.041,19.0,no
248.699,19.0,no
249.727,20.0,no
252.206,20.0,no
248.392,20.0,no
248.347,20.0,no
247.224,20.0,no
247.254,20.0,no
250.145,20.0,no
248.757,20.0,no
248.552,20.0,no
251.032,20.0,no
246.604,20.0,no
250.898,20.0,no
250.367,21.0,yes
249.603,21.0,yes
248.883,21.0,yes
247.768,21.0,yes
251.269,21.0,yes
250.494,21.0,yes
250.669,21.0,yes
250.775,21.0,yes
243.942,21.0,yes
249.724,21.0,yes
247.49,21.0,yes
250.737,21.0,yes
246.924,22.0,yes
250.646,22.0,yes
250.357,22.0,yes
250.377,22.0,yes
249.139,22.0,yes
252.02,22.0,yes
246.643,22.0,yes
250.563,22.0,yes
249.697,22.0,yes
249.075,22.0,yes
249.615,22.0,yes
249.461,22.0,yes
246.189,23.0,yes
251.24,23.0,yes
251.152,23.0,yes
252.823,23.0,yes
250.034,23.0,yes
254.252,23.0,yes
249.734,23.0,yes
249.948,23.0,yes
255.972,23.0,yes
251.955,23.0,yes
252.278,23.0,yes
251.32,23.0,yes
248.682,24.0,yes
249.924,24.0,yes
247.021,24.0,yes
251.091,24.0,yes
248.681,24.0,yes
248.118,24.0,yes
250.299,24.0,yes
252.499,24.0,yes
249.395,24.0,yes
250.908,24.0,yes
247.145,24.0,yes
246.411,24.0,yes
251.181,25.0,yes
256.764,25.0,yes
250.047,25.0,yes
255.824,25.0,yes
246.745,25.0,yes
249.903,25.0,yes
246.615,25.0,yes
253.589,25.0,yes
248.386,25.0,yes
251.16,25.0,yes
250.059,25.0,yes
246.814,25.0,yes
251.559,26.0,yes
247.298,26.0,yes
245.451,26.0,yes
250.979,26.0,yes
246.691,26.0,yes
251.016,26.0,yes
250.351,26.0,yes
251.342,26.0,yes
254.002,26.0,yes
248.739,26.0,yes
248.599,26.0,yes
252.415,26.0,yes
251.635,27.0,yes
250.673,27.0,yes
247.67,27.0,yes
250.909,27.0,yes
250.318,27.0,yes
251.237,27.0,yes
253.974,27.0,yes
251.064,27.0,yes
248.249,27.0,yes
246.892,27.0,yes
251.494,27.0,yes
250.171,27.0,yes
250.137,28.0,yes
251.076,28.0,yes
249.046,28.0,yes
253.248,28.0,yes
251.494,28.0,yes
250.882,28.0,yes
248.848,28.0,yes
253.079,28.0,yes
250.961,28.0,yes
249.636,28.0,yes
249.357,28.0,yes
248.24,28.0,yes
249.739,29.0,yes
249.821,29.0,yes
248.907,29.0,yes
251.404,29.0,yes
251.02,29.0,yes
248.322,29.0,yes
248.014,29.0,yes
248.62,29.0,yes
250.819,29.0,yes
245.857,29.0,yes
244.994,29.0,yes
250.103,29.0,yes
253.74,30.0,yes
253.33,30.0,yes
250.553,30.0,yes
250.933,30.0,yes
251.448,30.0,yes
251.51,30.0,yes
249.39,30.0,yes
251.97,30.0,yes
252.312,30.0,yes
250.938,30.0,yes
250.701,30.0,yes
249.242,30.0,yes
250.927,31.0,yes
256.145,31.0,yes
249.949,31.0,yes
243.568,31.0,yes
252.487,31.0,yes
247.988,31.0,yes
250.676,31.0,yes
249.85,31.0,yes
247.393,31.0,yes
248.68,31.0,yes
250.357,31.0,yes
246.385,31.0,yes
249.337,32.0,yes
257.04,32.0,yes
246.634,32.0,yes
247.496,32.0,yes
250.95,32.0,yes
249.022,32.0,yes
250.981,32.0,yes
247.717,32.0,yes
253.661,32.0,yes
250.607,32.0,yes
255.0,32.0,yes
247.571,32.0,yes
252.192,33.0,yes
251.803,33.0,yes
245.506,33.0,yes
251.852,33.0,yes
253.663,33.0,yes
248.62,33.0,yes
253.491,33.0,yes
252.163,33.0,yes
251.56,33.0,yes
245.202,33.0,yes
249.937,33.0,yes
248.512,33.0,yes
252.613,34.0,yes
251.731,34.0,yes
246.89,34.0,yes
248.709,34.0,yes
245.663,34.0,yes
251.234,34.0,yes
247.758,34.0,yes
254.483,34.0,yes
248.791,34.0,yes
249.381,34.0,yes
251.892,34.0,yes
252.141,34.0,yes
252.514,35.0,yes
250.344,35.0,yes
249.518,35.0,yes
248.565,35.0,yes
250.569,35.0,yes
247.017,35.0,yes
246.77,35.0,yes
247.91,35.0,yes
250.401,35.0,yes
250.951,35.0,yes
247.601,35.0,yes
246.469,35.0,yes
249.526,36.0,yes
250.61,36.0,yes
252.131,36.0,yes
249.886,36.0,yes
250.43,36.0,yes
251.641,36.0,yes
251.229,36.0,yes
252.617,36.0,yes
252.569,36.0,yes
248.604,36.0,yes
253.458,36.0,yes
251.674,36.0,yes
250.149,37.0,yes
246.33,37.0,yes
248.131,37.0,yes
247.55,37.0,yes
242.871,37.0,yes
249.628,37.0,yes
252.435,37.0,yes
251.601,37.0,yes
250.34,37.0,yes
250.191,37.0,yes
254.767,37.0,yes
250.174,37.0,yes
252.647,38.0,yes
254.172,38.0,yes
249.099,38.0,yes
250.169,38.0,yes
254.821,38.0,yes
250.431,38.0,yes
249.72,38.0,yes
249.46,38.0,yes
250.726,38.0,yes
252.48,38.0,yes
251.402,38.0,yes
247.473,38.0,yes
252.489,39.0,yes
251.203,39.0,yes
243.702,39.0,yes
249.981,39.0,yes
249.183,39.0,yes
254.013,39.0,yes
249.44,39.0,yes
251.412,39.0,yes
247.228,39.0,yes
250.702,39.0,yes
251.996,39.0,yes
246.147,39.0,yes
247.713,40.0,yes
251.805,40.0,yes
245.401,40.0,yes
249.372,40.0,yes
250.61,40.0,yes
249.4,40.0,yes
250.291,40.0,yes
252.392,40.0,yes
245.528,40.0,yes
247.308,40.0,yes
243.552,40.0,yes
247.371,40.0,yes
