Intend_to_Purchase,Intend?
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
Yes,1.0
Yes,1.0
Yes,1.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
Yes,1.0
No,0.0
Yes,1.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
Yes,1.0
No,0.0
No,0.0
No,0.0
Yes,1.0
No,0.0
No,0.0
No,0.0
Yes,1.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
Yes,1.0
No,0.0
No,0.0
No,0.0
Yes,1.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
Yes,1.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
Yes,1.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
Yes,1.0
No,0.0
No,0.0
No,0.0
No,0.0
No,0.0
Yes,1.0
