Sales,Titles,Footage,IBMbase,AppBase,ResidualSales,LagResids,DiffSales,DiffTitles,DiffFootage,DiffIBM,DiffApple,Period,ResidualDiffSales,LagSales,QuickFit
86.7,116.0,78.0,362.0,179.0,-2.2901284386136354,,,,,,,1.0,,,
86.0,122.0,89.0,318.0,197.0,-5.7892304615444345,-2.2901284386136354,-0.7000000000000028,6.0,11.0,-44.0,18.0,2.0,-2.6340731103808968,86.7,85.65195273434786
76.6,112.0,70.0,306.0,154.0,-4.546091844528675,-5.7892304615444345,-9.400000000000006,-10.0,-19.0,-12.0,-43.0,3.0,0.7462216915806774,86.0,85.98501142493573
87.6,116.0,79.0,337.0,166.0,-0.12317119781556585,-4.546091844528675,11.0,4.0,9.0,31.0,12.0,4.0,3.4553245409773146,76.6,82.38979985116998
90.4,122.0,90.0,354.0,184.0,-4.365734447709457,-0.12317119781556585,2.8000000000000114,6.0,11.0,17.0,18.0,5.0,-4.505161062738519,87.6,88.00570475933685
91.7,115.0,77.0,349.0,168.0,4.233106013554988,-4.365734447709457,1.2999999999999972,-7.0,-13.0,-5.0,-16.0,6.0,7.850284394113081,90.4,89.91910206202101
80.7,110.0,66.0,330.0,153.0,0.0034586662914364297,4.233106013554988,-11.0,-5.0,-11.0,-19.0,-15.0,7.0,-4.210201209602759,91.7,91.15521138809247
85.2,113.0,72.0,360.0,182.0,-0.4156315020710224,0.0034586662914364297,4.5,3.0,6.0,30.0,29.0,8.0,-1.466833365713379,80.7,86.83755930593985
106.6,129.0,93.0,354.0,206.0,8.04241489487329,-0.4156315020710224,21.39999999999999,16.0,21.0,-6.0,24.0,9.0,11.15403167670177,85.2,89.51854964878505
91.4,124.0,82.0,381.0,183.0,-3.688025866222901,8.04241489487329,-15.199999999999989,-5.0,-11.0,27.0,-23.0,10.0,-12.460529829413424,106.6,99.83031786146661
105.0,125.0,85.0,387.0,201.0,8.347187641564943,-3.688025866222901,13.599999999999994,1.0,3.0,6.0,18.0,11.0,11.23617303750126,91.4,93.61625944479844
102.3,131.0,96.0,387.0,203.0,-0.4143841779782349,8.347187641564943,-2.700000000000003,6.0,11.0,0.0,2.0,12.0,-8.50830048585198,105.0,100.40613017909399
94.0,125.0,85.0,346.0,201.0,0.19935010558933186,-0.4143841779782349,-8.299999999999997,-6.0,-11.0,-41.0,-2.0,13.0,0.42691247813278466,102.3,99.83613823419827
93.6,122.0,78.0,339.0,173.0,3.439403520837189,0.19935010558933186,-0.4000000000000057,-3.0,-7.0,-7.0,-28.0,14.0,3.346802696173655,94.0,96.7376045099485
109.6,140.0,101.0,418.0,211.0,-0.7541565962985715,3.439403520837189,16.0,18.0,23.0,79.0,38.0,15.0,-2.723465521824,93.6,97.2061207958589
108.2,136.0,92.0,409.0,211.0,3.043703506366114,-0.7541565962985715,-1.3999999999999915,-4.0,-9.0,-9.0,0.0,16.0,3.51609825460627,109.6,105.07965229273475
107.9,139.0,99.0,414.0,210.0,-1.1226427217296333,3.043703506366114,-0.29999999999999716,3.0,7.0,5.0,-1.0,17.0,-4.562164968514947,108.2,105.09664326090338
108.4,138.0,96.0,440.0,226.0,-0.8555076491566638,-1.1226427217296333,0.5,-1.0,-3.0,26.0,16.0,18.0,-0.6452564636156628,107.9,105.61031207858797
89.2,127.0,75.0,382.0,188.0,-5.0835230610954625,-0.8555076491566638,-19.200000000000003,-11.0,-21.0,-58.0,-38.0,19.0,-4.010255374515637,108.4,106.485201150466
92.6,134.0,88.0,383.0,211.0,-8.615898293082765,-5.0835230610954625,3.3999999999999915,7.0,13.0,1.0,23.0,20.0,-3.4895454221147872,89.2,98.46504146283064
104.4,129.0,80.0,397.0,213.0,6.947956575693979,-8.615898293082765,11.800000000000011,-5.0,-8.0,14.0,2.0,21.0,14.194336787654432,92.6,100.64935395615986
107.6,134.0,88.0,384.0,227.0,6.516149286917482,6.947956575693979,3.1999999999999886,5.0,8.0,-13.0,14.0,22.0,0.026149073494887265,104.4,106.6264791185202
107.2,141.0,91.0,407.0,242.0,0.6360995754313166,6.516149286917482,-0.3999999999999915,7.0,3.0,23.0,15.0,23.0,-4.26068753938528,107.6,108.72048654830107
102.6,141.0,89.0,434.0,217.0,-5.540461230379478,0.6360995754313166,-4.6000000000000085,0.0,-2.0,27.0,-25.0,24.0,-6.329904242831971,107.2,109.18900283421146
104.7,138.0,84.0,424.0,211.0,0.06879212800012624,-5.540461230379478,2.1000000000000085,-3.0,-5.0,-10.0,-6.0,25.0,5.117760248590055,102.6,107.76111278560633
112.2,145.0,98.0,428.0,245.0,0.25797464591747143,0.06879212800012624,7.5,7.0,14.0,4.0,34.0,26.0,-0.1502944456706743,104.7,109.35844236587123
115.9,145.0,99.0,415.0,237.0,4.453156540873309,0.25797464591747143,3.700000000000003,0.0,1.0,-13.0,-8.0,27.0,4.002329172820423,112.2,113.39400866194184
113.3,147.0,103.0,443.0,251.0,-2.049960582592888,4.453156540873309,-2.6000000000000085,2.0,4.0,28.0,14.0,28.0,-7.397537807280788,115.9,115.7137787505936
109.1,142.0,91.0,414.0,217.0,1.2849826281938732,-2.049960582592888,-4.200000000000003,-5.0,-12.0,-29.0,-34.0,29.0,3.9669021691417132,113.3,115.18893933747206
112.8,145.0,98.0,412.0,250.0,2.0340175681894266,1.2849826281938732,3.700000000000003,3.0,7.0,-2.0,33.0,30.0,0.05418938667363449,109.1,113.94165941596364
111.1,142.0,92.0,424.0,217.0,2.2809772048437793,2.0340175681894266,-1.7000000000000028,-3.0,-6.0,12.0,-33.0,31.0,-0.12275628209899425,112.8,116.26142950461542
120.8,148.0,104.0,441.0,251.0,4.831670431216338,2.2809772048437793,9.700000000000003,6.0,12.0,17.0,34.0,32.0,1.8982417802149705,111.1,116.1429628774615
125.9,161.0,104.0,500.0,270.0,0.2278972779959787,4.831670431216338,5.1000000000000085,13.0,0.0,59.0,19.0,33.0,-0.4407184663584749,120.8,121.17188487256404
128.4,164.0,111.0,501.0,277.0,-0.7593829384384492,0.2278972779959787,2.5,3.0,7.0,1.0,7.0,34.0,-1.4099624798357606,125.9,124.12379040605433
127.9,163.0,109.0,471.0,274.0,1.8556177631824085,-0.7593829384384492,-0.5,-1.0,-2.0,-30.0,-3.0,35.0,2.7889812208464835,128.4,125.90173011341594
126.7,164.0,110.0,483.0,282.0,-0.83585409799187,1.8556177631824085,-1.2000000000000028,1.0,1.0,12.0,8.0,36.0,-3.098936381424515,127.9,126.32509386755218
120.2,163.0,107.0,494.0,261.0,-6.99147390143024,-0.83585409799187,-6.5,-1.0,-3.0,11.0,-21.0,37.0,-6.3244971310687035,126.7,126.43238989926914
115.1,162.0,105.0,456.0,253.0,-8.48295760655489,-6.99147390143024,-5.1000000000000085,-1.0,-2.0,-38.0,-8.0,38.0,-1.1066138017951466,120.2,124.1466017469546
115.9,167.0,117.0,474.0,275.0,-14.603895886335721,-8.48295760655489,0.8000000000000114,5.0,12.0,18.0,22.0,39.0,-7.089808841954818,115.1,122.49294903947856
134.1,172.0,125.0,512.0,275.0,-3.759925973984764,-14.603895886335721,18.19999999999999,5.0,8.0,38.0,0.0,40.0,10.535567342835225,115.9,123.50329570667913
131.8,174.0,117.0,520.0,296.0,-4.783266355254057,-3.759925973984764,-2.299999999999983,2.0,-8.0,8.0,21.0,41.0,0.6226405206732211,134.1,132.37018290258695
140.1,170.0,111.0,507.0,275.0,7.803168944288018,-4.783266355254057,8.299999999999983,-4.0,-6.0,-13.0,-21.0,42.0,12.078509272145924,131.8,131.98080108478794
157.1,175.0,119.0,517.0,264.0,19.256348518527005,7.803168944288018,17.0,5.0,8.0,10.0,-11.0,43.0,11.800984763589561,140.1,136.37758763505198
152.7,178.0,124.0,499.0,297.0,13.635134552635009,19.256348518527005,-4.400000000000006,3.0,5.0,-18.0,33.0,44.0,-5.643806344516611,157.1,144.70264444966963
136.5,173.0,115.0,474.0,278.0,3.9557616209548314,13.635134552635009,-16.19999999999999,-5.0,-9.0,-25.0,-19.0,45.0,-9.87509179067697,152.7,143.36505946461284
140.4,170.0,109.0,515.0,296.0,8.427977952942172,3.9557616209548314,3.9000000000000057,-3.0,-6.0,41.0,18.0,46.0,2.923775674976892,136.5,136.6994757302029
130.8,171.0,112.0,482.0,274.0,-0.5278072469074004,8.427977952942172,-9.599999999999994,1.0,3.0,-33.0,-22.0,47.0,-8.529852697876635,140.4,139.109550882403
