Sales,Color,TypeStyle,Combination
138.0,Red,Script,RedScrip
166.0,Red,Script,RedScrip
194.0,Red,Script,RedScrip
86.0,Red,Script,RedScrip
131.0,Red,Script,RedScrip
172.0,Red,Script,RedScrip
227.0,Red,Script,RedScrip
160.0,Red,Script,RedScrip
147.0,Red,Script,RedScrip
145.0,Red,Script,RedScrip
191.0,Red,Script,RedScrip
180.0,Red,Script,RedScrip
160.0,Red,Block,RedBlock
147.0,Red,Block,RedBlock
107.0,Red,Block,RedBlock
170.0,Red,Block,RedBlock
183.0,Red,Block,RedBlock
142.0,Red,Block,RedBlock
132.0,Red,Block,RedBlock
111.0,Red,Block,RedBlock
75.0,Red,Block,RedBlock
111.0,Red,Block,RedBlock
218.0,Red,Block,RedBlock
221.0,Red,Block,RedBlock
160.0,Green,Script,GreenScr
135.0,Green,Script,GreenScr
178.0,Green,Script,GreenScr
218.0,Green,Script,GreenScr
146.0,Green,Script,GreenScr
161.0,Green,Script,GreenScr
101.0,Green,Script,GreenScr
148.0,Green,Script,GreenScr
184.0,Green,Script,GreenScr
125.0,Green,Script,GreenScr
102.0,Green,Script,GreenScr
151.0,Green,Script,GreenScr
134.0,Green,Block,GreenBlo
175.0,Green,Block,GreenBlo
62.0,Green,Block,GreenBlo
85.0,Green,Block,GreenBlo
95.0,Green,Block,GreenBlo
144.0,Green,Block,GreenBlo
130.0,Green,Block,GreenBlo
115.0,Green,Block,GreenBlo
181.0,Green,Block,GreenBlo
139.0,Green,Block,GreenBlo
88.0,Green,Block,GreenBlo
85.0,Green,Block,GreenBlo
