Shape,Carat,Cut,Color,Clarity,Polish,Symmetry,L/W Ratio,Report,Depth,Table,Fluorescence,Culet,Date Loose,Price,ln price,ln carat
Princess,0.23,Very Good,I,VS1,VG,VG,1.04,GIA,74.2,75.0,Faint,None,2008-12-10,270.0,5.598421958998375,-1.4696759700589417
Round,0.3,Very Good,H,SI1,G,VG,1.01,GIA,62.3,59.0,Medium Blue,None,2008-12-12,278.0,5.627621113690637,-1.2039728043259361
Round,0.23,Very Good,I,SI1,G,G,1.02,GIA,59.9,61.0,None,None,2008-12-10,289.0,5.666426688112432,-1.4696759700589417
Round,0.3,Very Good,I,SI2,VG,VG,1.01,GIA,63.4,56.0,None,Very Small,2008-12-10,289.0,5.666426688112432,-1.2039728043259361
Round,0.23,Good,I,SI1,VG,VG,1.01,GIA,62.9,64.0,Faint,None,2008-12-10,291.0,5.673323267171493,-1.4696759700589417
Round,0.27,Ideal,J,VS2,VG,VG,1.01,GIA,61.9,55.0,Faint,None,2008-12-10,293.0,5.680172609017068,-1.3093333199837622
Round,0.32,Good,J,SI2,VG,G,1.01,GIA,58.5,60.0,None,None,2008-12-10,294.0,5.683579767338681,-1.1394342831883648
Round,0.28,Ideal,J,VS1,ID,ID,1.01,AGSL,61.7,56.0,None,None,2008-12-10,298.0,5.697093486505405,-1.2729656758128873
Round,0.28,Ideal,J,VS1,ID,ID,1.01,AGSL,61.4,56.0,None,None,2008-12-10,298.0,5.697093486505405,-1.2729656758128873
Round,0.31,Very Good,I,SI2,EX,VG,1.01,GIA,58.7,61.0,Faint,Very Small,2008-12-10,299.0,5.700443573390687,-1.171182981502945
Round,0.3,Very Good,I,SI1,EX,EX,1.0,GIA,62.4,56.0,None,None,2008-12-17,303.0,5.713732805509369,-1.2039728043259361
Round,0.3,Very Good,I,SI1,EX,EX,1.0,GIA,62.6,58.0,Medium Blue,None,2008-12-17,303.0,5.713732805509369,-1.2039728043259361
Round,0.31,Very Good,H,SI2,EX,EX,1.01,GIA,62.9,55.0,Medium Blue,None,2008-12-17,304.0,5.717027701406222,-1.171182981502945
Round,0.26,Ideal,H,SI2,VG,EX,1.01,GIA,61.6,55.0,None,None,2008-12-10,306.0,5.723585101952381,-1.3470736479666092
Princess,0.26,Very Good,I,VVS2,VG,VG,1.04,GIA,72.3,75.0,Faint,None,2008-12-10,306.0,5.723585101952381,-1.3470736479666092
Round,0.26,Ideal,J,VS1,EX,VG,1.01,GIA,61.7,55.0,Faint,None,2008-12-10,306.0,5.723585101952381,-1.3470736479666092
Round,0.26,Ideal,J,VS1,EX,EX,1.01,GIA,61.6,55.0,None,None,2008-12-10,306.0,5.723585101952381,-1.3470736479666092
