Improve,Department,Condition,Combination
5.5,Claims,Flex,ClaimsFlex
5.5,Claims,Flex,ClaimsFlex
7.1,Claims,Flex,ClaimsFlex
-2.1,Claims,Flex,ClaimsFlex
4.2,Claims,Flex,ClaimsFlex
-0.9,Claims,Flex,ClaimsFlex
8.9,Claims,Flex,ClaimsFlex
3.5,Claims,Flex,ClaimsFlex
6.9,Claims,Flex,ClaimsFlex
3.3,Claims,Flex,ClaimsFlex
5.7,Claims,Flex,ClaimsFlex
-3.7,Claims,FourDay,ClaimsFourDay
8.1,Claims,FourDay,ClaimsFourDay
6.6,Claims,FourDay,ClaimsFourDay
5.3,Claims,FourDay,ClaimsFourDay
-0.1,Claims,FourDay,ClaimsFourDay
-0.6,Claims,FourDay,ClaimsFourDay
6.3,Claims,FourDay,ClaimsFourDay
0.9,Claims,FourDay,ClaimsFourDay
5.7,Claims,FourDay,ClaimsFourDay
2.9,Claims,FourDay,ClaimsFourDay
3.0,Claims,FourDay,ClaimsFourDay
5.3,Claims,Regular,ClaimsRegular
11.5,Claims,Regular,ClaimsRegular
5.9,Claims,Regular,ClaimsRegular
5.2,Claims,Regular,ClaimsRegular
4.0,Claims,Regular,ClaimsRegular
-1.7,Claims,Regular,ClaimsRegular
6.4,Claims,Regular,ClaimsRegular
1.8,Claims,Regular,ClaimsRegular
2.9,Claims,Regular,ClaimsRegular
0.6,Claims,Regular,ClaimsRegular
4.3,Claims,Regular,ClaimsRegular
19.5,DP,Flex,DPFlex
17.9,DP,Flex,DPFlex
19.7,DP,Flex,DPFlex
17.5,DP,Flex,DPFlex
16.4,DP,Flex,DPFlex
14.4,DP,Flex,DPFlex
19.3,DP,Flex,DPFlex
12.7,DP,Flex,DPFlex
21.2,DP,Flex,DPFlex
10.6,DP,Flex,DPFlex
16.6,DP,Flex,DPFlex
-1.1,DP,FourDay,DPFourDay
-7.2,DP,FourDay,DPFourDay
-5.9,DP,FourDay,DPFourDay
-4.3,DP,FourDay,DPFourDay
-2.1,DP,FourDay,DPFourDay
-2.0,DP,FourDay,DPFourDay
-4.0,DP,FourDay,DPFourDay
-5.1,DP,FourDay,DPFourDay
-9.0,DP,FourDay,DPFourDay
-6.2,DP,FourDay,DPFourDay
-5.3,DP,FourDay,DPFourDay
-0.3,DP,Regular,DPRegular
4.1,DP,Regular,DPRegular
1.4,DP,Regular,DPRegular
4.0,DP,Regular,DPRegular
4.5,DP,Regular,DPRegular
-2.3,DP,Regular,DPRegular
6.7,DP,Regular,DPRegular
4.4,DP,Regular,DPRegular
-1.6,DP,Regular,DPRegular
1.5,DP,Regular,DPRegular
2.0,DP,Regular,DPRegular
0.4,Invest,Flex,InvestFlex
-3.0,Invest,Flex,InvestFlex
-7.2,Invest,Flex,InvestFlex
-6.8,Invest,Flex,InvestFlex
-4.2,Invest,Flex,InvestFlex
-8.2,Invest,Flex,InvestFlex
-5.0,Invest,Flex,InvestFlex
-11.4,Invest,Flex,InvestFlex
-6.6,Invest,Flex,InvestFlex
-5.9,Invest,Flex,InvestFlex
-4.3,Invest,Flex,InvestFlex
21.5,Invest,FourDay,InvestFourDay
19.3,Invest,FourDay,InvestFourDay
16.1,Invest,FourDay,InvestFourDay
10.0,Invest,FourDay,InvestFourDay
14.7,Invest,FourDay,InvestFourDay
17.5,Invest,FourDay,InvestFourDay
17.2,Invest,FourDay,InvestFourDay
13.4,Invest,FourDay,InvestFourDay
16.0,Invest,FourDay,InvestFourDay
17.5,Invest,FourDay,InvestFourDay
22.4,Invest,FourDay,InvestFourDay
6.7,Invest,Regular,InvestRegular
7.0,Invest,Regular,InvestRegular
8.4,Invest,Regular,InvestRegular
11.1,Invest,Regular,InvestRegular
9.5,Invest,Regular,InvestRegular
10.7,Invest,Regular,InvestRegular
13.3,Invest,Regular,InvestRegular
7.3,Invest,Regular,InvestRegular
10.0,Invest,Regular,InvestRegular
8.4,Invest,Regular,InvestRegular
10.8,Invest,Regular,InvestRegular
