TotalComp,WideIndustry,Company,CEO,CityofBirth,StateofBirth,Age,Undergrad,UGDegree,UGDate,AgeOfUnder,Graduate,GradDegree,MBA?,MasterPhd?,G_date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,Other,StGains,Compfor5Yrs,StockOwned,Sales,Profits,ReturnOver5Yrs,Industry,IndustryCode,Log 10 Tot Comp,Log 10 Sales
600300.0,Aerospacedefense,Teledyne,Mr. William P Rutledge,Pittston,PA,52.0,Lafayette C,BS,63.0,21.0,George Washingt,MS,0.0,1.0,67.0,25.0,8.0,3.0,600000.0,¥,300.0,,2560750.0,0.004,2492.0,72.8,-9.0,Aerospacedefense,11.0,5.778368343355873,3.396548037987132
1487600.0,Aerospacedefense,Boeing,Mr. Frank A Shrontz,Boise,ID,62.0,U of Idaho,LLB,54.0,22.0,Harvard,MBA,1.0,1.0,58.0,26.0,36.0,8.0,796935.0,624000,66669.0,,7857540.0,0.004,25438.0,1244.0,10.0,Aerospacedefense,11.0,6.172486169686934,4.405482962986272
1508180.0,Aerospacedefense,Northrop,Mr. KentKresa,New York,NY,56.0,MIT,BS,59.0,21.0,MIT,MS,0.0,1.0,61.0,23.0,19.0,4.0,675000.0,450000,383184.0,,7719720.0,0.576,5063.0,96.0,13.0,Aerospacedefense,11.0,6.178453177304057,3.7044079273868404
4069420.0,Aerospacedefense,Martin Marietta,Mr. Norman R Augustine,Denver,CO,58.0,Princeton,BSE,57.0,21.0,Princeton,MSE,0.0,1.0,59.0,23.0,17.0,6.0,830000.0,800000,1645320.0,794103,12625100.0,0.108,9436.0,450.3,17.0,Aerospacedefense,11.0,6.609532515183647,3.9747879322135575
1088150.0,Aerospacedefense,McDonnell Douglas,Mr. John F McDonnell,Baltimore,MD,56.0,Princeton,BS,60.0,22.0,Princeton,MS,0.0,1.0,62.0,24.0,32.0,6.0,559477.0,495100,33569.0,,4452230.0,3.326,14487.0,396.0,7.0,Aerospacedefense,11.0,6.036688766393467,4.160978460120009
1099010.0,Aerospacedefense,GenCorp,Mr. A WilliamReynolds,Columbus,OH,60.0,Harvard,AB,55.0,21.0,Stanford U,MBA,1.0,1.0,57.0,23.0,10.0,9.0,650833.0,330000,118175.0,,4803290.0,0.098,1905.0,43.0,1.0,Aerospacedefense,11.0,6.041001644129642,3.2798949800116377
1652560.0,Aerospacedefense,Lockheed,Mr. Daniel M Tellep,Forest City,PA,62.0,U of Cal Berkel,BSM,54.0,22.0,U of Cal Berkel,MSEE,0.0,1.0,55.0,23.0,39.0,5.0,762500.0,650000,240064.0,,6614390.0,0.016,13071.0,422.0,11.0,Aerospacedefense,11.0,6.218157236506159,4.116308814655416
7285420.0,Aerospacedefense,General Electric,Mr. John F Welch Jr,Peabody,MA,58.0,U of Massachuse,BS,57.0,21.0,U of Illinois,PhD,0.0,1.0,60.0,24.0,34.0,13.0,1750000.0,2.2e+006,441046.0,2.89438e+006,31373600.0,0.021,60562.0,5177.0,21.0,Aerospacedefense,11.0,6.86245459363855,4.782200208873481
2271460.0,Aerospacedefense,Textron,Mr. James F Hardymon,Maysville,KY,59.0,U of Kentucky,BS,56.0,21.0,U of Kentucky,MS,0.0,1.0,58.0,23.0,4.0,2.0,725000.0,950000,596461.0,,6408090.0,0.015,9078.0,379.1,19.0,Aerospacedefense,11.0,6.356305093370661,3.95799017840683
14899200.0,Aerospacedefense,General Dynamics,Mr. James R Mellor,Detroit,MI,64.0,U of Michigan,BS,52.0,22.0,U of Michigan,MS,0.0,1.0,53.0,23.0,13.0,1.0,670000.0,1.35e+006,12879200.0,,,0.89,3187.0,885.0,24.0,Aerospacedefense,11.0,7.173162949961737,3.5033820634737323
