Company,CEO,CityofBirth,StateofBirth,Age,Undergrad,UGDegree,UGDate,AgeOfUnder,Graduate,GradDegree,MBA?,MasterPhd?,G_Date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,Other,StGains,TotalComp,Compfor5Yrs,StockOwned,Sales,Profits,ReturnOver5Yrs,Industry,Industry Code,WideIndustry,Log10TotalComp
Raychem,Mr. Robert J Saldich,New York,NY,60.0,Rice U,BS,56.0,22.0,Harvard,MBA,1.0,1.0,61.0,27.0,30.0,4.0,497289.0,110000,,,607289.0,2858160.0,0.045,1394.0,9.0,4.0,Computerscommunications-major systems,16.0,ComputersComm,5.783395414693176
International Busine,Mr. Louis V Gerstner Jr,Mineola,NY,52.0,Dartmouth,BA,63.0,21.0,Harvard,MBA,1.0,1.0,65.0,23.0,1.0,1.0,1500000.0,1.125e+006,5084730.0,,7709730.0,,0.005,62716.0,-7987.0,-9.0,Computerscommunications-major systems,16.0,ComputersComm,6.887039169028474
Compaq Computer,Mr. EckhardPfeiffer,Germany,,52.0,Nuremberg Busin,BA,63.0,21.0,SMU,MBA,1.0,1.0,83.0,41.0,11.0,3.0,1000000.0,1.5e+006,,,2500000.0,9649150.0,0.001,7191.0,462.2,22.0,Computerscommunications-major systems,16.0,ComputersComm,6.3979400086720375
Sun Microsystems,Mr. Scott G McNealy,Columbus,IN,39.0,Harvard,BA,76.0,21.0,Stanford U,MBA,1.0,1.0,80.0,25.0,12.0,10.0,400000.0,251304,1200.0,1.46125e+006,2113750.0,6905570.0,1.836,4493.0,188.2,11.0,Computerscommunications-major systems,16.0,ComputersComm,6.325053620605798
Silicon Graphics,Mr. Edward R McCracken,Fairfield,IA,50.0,Iowa State,BSE,66.0,22.0,Stanford U,MBA,1.0,1.0,68.0,24.0,10.0,10.0,636043.0,310000,,3.01488e+006,3960920.0,10512200.0,0.389,1262.0,114.7,44.0,Computerscommunications-major systems,16.0,ComputersComm,6.59779607090482
Tandem Computers,Mr. James G Treybig,Clarendon,TX,53.0,Rice U,BS,63.0,22.0,Stanford U,MBA,1.0,1.0,68.0,27.0,19.0,19.0,661810.0,136785,9197.0,,807792.0,3788060.0,0.628,2023.0,-510.3,-4.0,Computerscommunications-major systems,16.0,ComputersComm,5.9072995478027
Digital Equipment,Mr. Robert B Palmer,Gorman,TX,53.0,Texas Tech U,BS,62.0,21.0,Texas Tech U,MS,0.0,1.0,65.0,24.0,9.0,2.0,738469.0,,9000.0,,747469.0,,0.009,13637.0,-92.3,-21.0,Computerscommunications-major systems,16.0,ComputersComm,5.873593185748153
Unisys,Mr. James A Unruh,Goodrich,ND,53.0,Jamestown C,BSB,63.0,22.0,U of Denver,MBA,1.0,1.0,64.0,23.0,14.0,4.0,772500.0,800000,42160.0,234375,1849040.0,5693460.0,0.032,7743.0,361.6,-9.0,Computerscommunications-major systems,16.0,ComputersComm,6.266946306287012
Hewlett-Packard,Mr. Lewis E Platt,JohnsonCity,NY,53.0,Cornell,BSM,64.0,23.0,U of Pennsylvan,MBA,1.0,1.0,66.0,25.0,28.0,2.0,818750.0,53988,1365970.0,462527,2701230.0,,0.015,21426.0,1284.0,11.0,Computerscommunications-major systems,16.0,ComputersComm,6.431561564371893
Harris Corp,Mr. John T Hartley,Jacksonville,FL,64.0,Auburn U,BS,55.0,25.0,,none,0.0,0.0,,,38.0,8.0,567500.0,560780,423795.0,706768,2258840.0,7321290.0,0.315,3179.0,119.6,15.0,Computerscommunications-major systems,16.0,ComputersComm,6.353885469708309
