Return,Variance,Code
0.01078,0.00521,A_ONE
0.00859,0.00621,A_ONE
0.00976,0.00809,A_ONE
0.01357,0.01009,A_ONE
0.01814,0.01137,A_ONE
0.00731,0.00407,A_ONE
0.01467,0.0023,A_ONE
0.00807,0.00428,A_ONE
0.01022,0.00497,A_ONE
0.0099,0.00522,A_ONE
0.01186,0.00621,A_ONE
0.01108,0.00762,A_ONE
0.01654,0.01348,A_ONE
0.01164,0.00554,A_ONE
0.00505,0.00725,A_ONE
0.01178,0.0051,A_ONE
0.01429,0.00379,A_ONE
0.01419,0.00444,A_ONE
0.01393,0.00777,A_ONE
0.01388,0.00249,A_ONE
0.01364,0.00471,A_ONE
0.01714,0.0077,A_ONE
0.01437,0.00396,A_ONE
0.01862,0.01058,A_ONE
0.0121,0.00315,B_TWO
0.0139,0.00333,B_TWO
0.00954,0.00299,B_TWO
0.01182,0.00365,B_TWO
0.01603,0.00679,B_TWO
0.01182,0.00365,B_TWO
0.01143,0.00444,B_TWO
0.0139,0.00333,B_TWO
0.0074,0.00442,B_TWO
0.0108,0.00707,B_TWO
0.01093,0.00401,B_TWO
0.01542,0.00543,B_TWO
0.01424,0.00219,B_TWO
0.01099,0.00206,B_TWO
0.01758,0.00809,B_TWO
0.00747,0.00442,B_TWO
0.00924,0.00364,B_TWO
0.01446,0.00449,B_TWO
0.01062,0.00368,B_TWO
0.00876,0.00331,B_TWO
0.01208,0.00463,B_TWO
0.01764,0.00653,B_TWO
0.01248,0.00379,B_TWO
0.00968,0.00394,B_TWO
0.01093,0.00401,B_TWO
0.01264,0.00365,B_TWO
0.00997,0.00344,B_TWO
0.0121,0.00315,B_TWO
0.01147,0.00462,B_TWO
0.01182,0.00323,B_TWO
0.01603,0.00679,B_TWO
0.00959,0.00353,B_TWO
0.01566,0.0035,B_TWO
0.01047,0.00266,B_TWO
0.01327,0.00299,B_TWO
0.01173,0.00546,B_TWO
0.01575,0.00409,B_TWO
0.01513,0.0059,B_TWO
0.01148,0.00317,B_TWO
0.01034,0.00336,B_TWO
0.01506,0.0079,B_TWO
0.01352,0.00485,B_TWO
0.00967,0.00388,B_TWO
0.01144,0.00269,B_TWO
0.0164,0.00453,B_TWO
0.011,0.00377,B_TWO
0.01539,0.00434,B_TWO
0.01627,0.00675,B_TWO
0.01625,0.00527,B_TWO
0.01231,0.00558,B_TWO
0.01586,0.00459,C_THREE
0.01176,0.00283,C_THREE
0.01247,0.00377,C_THREE
0.01029,0.00349,C_THREE
0.01076,0.00365,C_THREE
0.01355,0.00339,C_THREE
0.01421,0.00373,C_THREE
0.01213,0.00237,C_THREE
0.00973,0.00343,C_THREE
0.01473,0.00402,C_THREE
0.01195,0.00428,C_THREE
0.01215,0.0028,C_THREE
0.0132,0.00406,C_THREE
0.01154,0.00342,C_THREE
0.01441,0.00361,C_THREE
0.01172,0.00304,C_THREE
0.01442,0.00346,C_THREE
0.01067,0.00297,C_THREE
0.01399,0.00322,C_THREE
0.01557,0.00316,C_THREE
0.0129,0.00257,C_THREE
0.01414,0.00198,C_THREE
0.01096,0.00262,C_THREE
0.01269,0.00246,C_THREE
0.01395,0.00416,C_THREE
0.01353,0.0043,C_THREE
0.01153,0.00502,C_THREE
0.01421,0.00376,C_THREE
0.01048,0.00348,C_THREE
0.01408,0.00304,C_THREE
0.01262,0.00422,C_THREE
0.01673,0.00612,C_THREE
0.01009,0.003,C_THREE
0.01237,0.00334,C_THREE
0.01096,0.00348,C_THREE
0.01305,0.00439,C_THREE
0.01139,0.00262,C_THREE
0.01224,0.00239,C_THREE
0.0114,0.00435,C_THREE
0.0114,0.00221,C_THREE
0.01147,0.00297,C_THREE
0.00969,0.00302,C_THREE
0.01249,0.00551,C_THREE
0.01454,0.00418,C_THREE
0.01097,0.00387,C_THREE
0.01291,0.00353,C_THREE
0.00938,0.00233,C_THREE
0.01349,0.00294,C_THREE
0.01334,0.00254,C_THREE
0.01011,0.00233,C_THREE
0.00588,0.03161,D_SHORT
0.01309,0.02043,D_SHORT
0.00828,0.02815,D_SHORT
-0.00427,0.02349,D_SHORT
0.01406,0.01459,D_SHORT
0.00258,0.01969,D_SHORT
0.0009,0.03202,D_SHORT
0.01054,0.01507,D_SHORT
0.02069,0.03919,D_SHORT
0.00437,0.01507,D_SHORT
0.00935,0.01616,D_SHORT
0.02354,0.01341,D_SHORT
0.00515,0.02986,D_SHORT
0.01195,0.02336,D_SHORT
0.01622,0.02285,D_SHORT
0.00511,0.02267,D_SHORT
0.00536,0.01887,D_SHORT
0.01861,0.01308,D_SHORT
0.0137,0.01162,D_SHORT
0.00822,0.02856,D_SHORT
0.01514,0.01687,D_SHORT
0.01054,0.01507,D_SHORT
0.00389,0.02016,D_SHORT
0.00196,0.0186,D_SHORT
0.00297,0.03731,D_SHORT
0.01797,0.02773,D_SHORT
0.00973,0.02644,D_SHORT
0.02651,0.04281,D_SHORT
0.0028,0.02381,D_SHORT
0.0185,0.01105,D_SHORT
0.00032,0.01525,D_SHORT
0.01195,0.02336,D_SHORT
0.00859,0.02876,D_SHORT
0.01408,0.02833,D_SHORT
0.01514,0.01687,D_SHORT
0.00472,0.01483,D_SHORT
0.00913,0.01452,D_SHORT
0.00779,0.02598,D_SHORT
0.01527,0.03353,D_SHORT
0.0243,0.01337,D_SHORT
