Day,Month,Year,Price,RelChange,Time,RiskFree
2.0,1.0,1987.0,66.875,0.0132576,87.0028,66.875
5.0,1.0,1987.0,68.5,0.0242991,87.0111,66.8875725
6.0,1.0,1987.0,68.75,0.00364964,87.0139,66.90014736363001
7.0,1.0,1987.0,69.125,0.00545455,87.0167,66.91272459133438
8.0,1.0,1987.0,68.125,-0.0144666,87.0194,66.92530418355756
9.0,1.0,1987.0,68.75,0.00917431,87.0222,66.93788614074407
12.0,1.0,1987.0,68.625,-0.00181818,87.0306,66.95047046333853
13.0,1.0,1987.0,68.0,-0.00910747,87.0333,66.96305715178565
14.0,1.0,1987.0,67.5,-0.00735294,87.0361,66.97564620653019
15.0,1.0,1987.0,68.5,0.0148148,87.0389,66.98823762801702
16.0,1.0,1987.0,68.75,0.00364964,87.0417,67.00083141669108
19.0,1.0,1987.0,70.0,0.0181818,87.05,67.01342757299743
20.0,1.0,1987.0,71.125,0.0160714,87.0528,67.02602609738116
21.0,1.0,1987.0,70.75,-0.00527241,87.0556,67.03862699028747
22.0,1.0,1987.0,72.375,0.0229682,87.0583,67.05123025216164
23.0,1.0,1987.0,70.125,-0.0310881,87.0611,67.06383588344906
26.0,1.0,1987.0,70.0,-0.00178253,87.0694,67.07644388459515
27.0,1.0,1987.0,71.625,0.0232143,87.0722,67.08905425604546
28.0,1.0,1987.0,72.0,0.0052356,87.075,67.1016669982456
29.0,1.0,1987.0,75.25,0.0451389,87.0778,67.11428211164129
30.0,1.0,1987.0,75.25,0.0,87.0806,67.12689959667829
2.0,2.0,1987.0,77.875,0.0348837,87.0861,67.13951945380246
3.0,2.0,1987.0,76.5,-0.0176565,87.0889,67.15214168345979
4.0,2.0,1987.0,78.375,0.0245098,87.0917,67.16476628609628
5.0,2.0,1987.0,80.0,0.0207337,87.0944,67.17739326215808
6.0,2.0,1987.0,76.125,-0.0328125,87.0972,67.19002261209137
9.0,2.0,1987.0,76.125,0.0,87.1056,67.20265433634245
10.0,2.0,1987.0,75.625,-0.00656815,87.1083,67.21528843535769
11.0,2.0,1987.0,75.125,-0.00661157,87.1111,67.22792490958355
12.0,2.0,1987.0,75.125,0.0,87.1139,67.24056375946655
13.0,2.0,1987.0,76.0,0.0116473,87.1167,67.25320498545334
17.0,2.0,1987.0,77.75,0.0230263,87.1278,67.2658485879906
18.0,2.0,1987.0,77.25,-0.00643087,87.1306,67.27849456752516
19.0,2.0,1987.0,77.5,0.00323625,87.1333,67.29114292450386
20.0,2.0,1987.0,76.75,-0.00967742,87.1361,67.30379365937367
23.0,2.0,1987.0,76.625,-0.00162866,87.1444,67.31644677258163
24.0,2.0,1987.0,76.875,0.00326264,87.1472,67.32910226457489
25.0,2.0,1987.0,75.0,-0.0243902,87.15,67.34176013580063
26.0,2.0,1987.0,74.375,-0.00833333,87.1528,67.35442038670617
27.0,2.0,1987.0,74.625,0.00336135,87.1556,67.36708301773888
2.0,3.0,1987.0,74.75,0.00167504,87.1694,67.37974802934622
3.0,3.0,1987.0,75.625,0.0117057,87.1722,67.39241542197574
4.0,3.0,1987.0,79.5,0.0512397,87.175,67.40508519607508
5.0,3.0,1987.0,78.0,-0.0188679,87.1778,67.41775735209194
6.0,3.0,1987.0,77.5,-0.00641026,87.1806,67.43043189047414
9.0,3.0,1987.0,78.5,0.0129032,87.1889,67.44310881166956
10.0,3.0,1987.0,79.0,0.00636943,87.1917,67.45578811612616
11.0,3.0,1987.0,78.25,-0.00949367,87.1944,67.468469804292
12.0,3.0,1987.0,78.0,-0.00319489,87.1972,67.48115387661521
13.0,3.0,1987.0,77.875,-0.00160256,87.2,67.49384033354401
16.0,3.0,1987.0,77.0,-0.011236,87.2083,67.50652917552672
17.0,3.0,1987.0,77.625,0.00811688,87.2111,67.51922040301173
18.0,3.0,1987.0,77.375,-0.00322061,87.2139,67.5319140164475
19.0,3.0,1987.0,77.75,0.00484653,87.2167,67.5446100162826
20.0,3.0,1987.0,78.125,0.00482315,87.2194,67.55730840296567
23.0,3.0,1987.0,79.25,0.0144,87.2278,67.57000917694543
24.0,3.0,1987.0,79.375,0.00157729,87.2306,67.5827123386707
