Age,LifeCost
52.0,759.0
28.0,424.0
42.0,157.0
51.0,616.0
42.0,655.0
44.0,559.0
46.0,651.0
49.0,519.0
51.0,358.0
25.0,456.0
33.0,97.0
59.0,478.0
35.0,129.0
44.0,661.0
30.0,245.0
37.0,602.0
32.0,557.0
41.0,215.0
29.0,331.0
48.0,545.0
61.0,395.0
38.0,577.0
32.0,345.0
33.0,367.0
24.0,189.0
43.0,716.0
43.0,238.0
50.0,867.0
55.0,475.0
56.0,369.0
68.0,245.0
47.0,585.0
32.0,472.0
65.0,535.0
22.0,174.0
52.0,751.0
39.0,579.0
43.0,666.0
35.0,596.0
61.0,251.0
51.0,341.0
27.0,77.0
28.0,225.0
51.0,590.0
53.0,330.0
47.0,736.0
50.0,601.0
40.0,555.0
40.0,775.0
52.0,745.0
46.0,630.0
58.0,139.0
44.0,521.0
55.0,647.0
29.0,543.0
44.0,699.0
53.0,602.0
54.0,493.0
45.0,731.0
38.0,267.0
49.0,689.0
,
