MngrRating,Salary,YearsExp,Origin
8.5,93.0,7.0,External
4.1,59.0,10.0,Internal
5.8,75.0,6.0,External
4.8,69.0,8.0,External
8.3,77.0,17.0,Internal
7.0,76.0,5.0,Internal
7.3,88.0,4.0,External
7.7,83.0,9.0,External
9.1,100.0,7.0,External
7.1,86.0,4.0,External
2.6,53.0,14.0,Internal
8.6,78.0,9.0,Internal
7.8,69.0,19.0,Internal
6.0,87.0,11.0,Internal
4.8,67.0,5.0,Internal
4.9,76.0,0.0,External
5.8,63.0,15.0,Internal
4.6,69.0,10.0,Internal
4.6,62.0,4.0,Internal
5.7,75.0,5.0,External
5.9,74.0,6.0,Internal
6.8,74.0,7.0,Internal
7.7,91.0,3.0,External
7.6,63.0,13.0,Internal
3.7,58.0,8.0,Internal
8.0,79.0,15.0,Internal
7.4,64.0,5.0,External
5.2,73.0,6.0,External
7.0,77.0,6.0,External
8.9,70.0,10.0,Internal
5.4,66.0,14.0,Internal
3.1,51.0,6.0,Internal
5.8,76.0,5.0,External
8.8,89.0,10.0,External
6.6,85.0,5.0,Internal
6.9,61.0,12.0,Internal
7.8,87.0,10.0,Internal
5.3,68.0,7.0,Internal
6.2,73.0,9.0,Internal
8.1,80.0,16.0,Internal
7.6,81.0,5.0,External
5.4,65.0,11.0,Internal
5.7,74.0,5.0,External
1.8,55.0,6.0,Internal
6.5,88.0,3.0,External
6.3,64.0,8.0,External
5.0,59.0,8.0,Internal
3.6,69.0,3.0,Internal
8.2,82.0,11.0,External
6.3,84.0,4.0,Internal
5.1,76.0,11.0,Internal
6.1,82.0,16.0,Internal
3.4,59.0,7.0,Internal
6.0,61.0,11.0,Internal
6.6,64.0,16.0,Internal
4.7,59.0,7.0,Internal
5.3,68.0,7.0,External
5.0,68.0,6.0,External
4.8,67.0,16.0,Internal
9.1,91.0,7.0,External
5.7,68.0,16.0,Internal
4.6,53.0,10.0,Internal
4.4,68.0,7.0,External
6.6,81.0,5.0,Internal
5.6,67.0,14.0,Internal
4.0,62.0,7.0,Internal
6.3,85.0,6.0,External
5.4,84.0,5.0,External
6.2,57.0,6.0,Internal
4.1,61.0,15.0,Internal
3.8,62.0,4.0,External
5.0,59.0,11.0,Internal
6.1,67.0,12.0,Internal
3.9,53.0,9.0,Internal
4.8,74.0,5.0,External
5.4,61.0,5.0,External
5.5,70.0,10.0,Internal
7.6,82.0,4.0,Internal
5.9,70.0,8.0,External
4.5,62.0,4.0,External
4.7,71.0,3.0,External
6.7,89.0,6.0,External
5.0,74.0,8.0,External
4.2,67.0,7.0,External
2.7,72.0,7.0,Internal
7.4,66.0,12.0,Internal
6.8,65.0,11.0,Internal
5.3,57.0,21.0,Internal
6.7,81.0,5.0,External
6.2,75.0,6.0,External
7.2,80.0,8.0,External
3.9,70.0,8.0,Internal
6.7,81.0,7.0,External
7.5,76.0,8.0,External
5.0,67.0,16.0,Internal
6.5,74.0,10.0,Internal
8.5,103.0,2.0,External
5.2,68.0,11.0,Internal
4.9,76.0,3.0,External
6.1,64.0,10.0,Internal
4.6,57.0,5.0,Internal
3.1,48.0,10.0,Internal
5.2,66.0,5.0,Internal
4.5,63.0,13.0,Internal
5.7,76.0,5.0,External
5.7,74.0,7.0,External
6.0,59.0,15.0,Internal
4.7,60.0,9.0,Internal
7.6,73.0,15.0,Internal
5.2,77.0,4.0,External
7.9,63.0,17.0,Internal
4.8,71.0,7.0,External
4.2,65.0,8.0,Internal
7.3,76.0,4.0,External
7.0,81.0,6.0,External
7.0,73.0,11.0,Internal
9.0,85.0,7.0,External
9.0,90.0,9.0,Internal
6.1,72.0,5.0,External
5.8,68.0,9.0,Internal
7.1,81.0,5.0,External
5.0,67.0,8.0,External
5.2,84.0,5.0,External
4.5,63.0,7.0,Internal
6.0,78.0,6.0,External
5.8,66.0,7.0,Internal
3.7,61.0,7.0,Internal
8.1,98.0,4.0,External
4.7,61.0,5.0,Internal
4.3,61.0,13.0,Internal
3.9,55.0,9.0,Internal
7.1,75.0,5.0,External
5.5,62.0,10.0,Internal
6.1,69.0,6.0,Internal
6.0,59.0,5.0,Internal
4.6,55.0,12.0,Internal
3.9,58.0,4.0,Internal
5.5,73.0,5.0,Internal
5.4,85.0,3.0,External
7.3,91.0,2.0,External
5.6,79.0,6.0,External
4.6,61.0,9.0,Internal
6.2,74.0,5.0,Internal
7.5,71.0,12.0,Internal
6.3,73.0,14.0,Internal
7.2,69.0,7.0,Internal
6.2,79.0,11.0,Internal
6.0,76.0,6.0,External
7.7,89.0,3.0,External
5.3,73.0,7.0,External
