Division,District,Sales
BW,1.0,370.0
BW,2.0,396.0
BW,3.0,390.0
BW,4.0,372.0
BW,5.0,210.0
BW,6.0,415.0
BW,7.0,330.0
BW,8.0,430.0
BW,9.0,298.0
BW,10.0,525.0
BW,11.0,240.0
BW,12.0,112.0
BW,13.0,152.0
BW,14.0,214.0
BW,15.0,151.0
BW,16.0,284.0
BW,17.0,356.0
BW,18.0,265.0
BW,19.0,219.0
BW,20.0,234.0
GL,1.0,428.0
GL,2.0,430.0
GL,3.0,369.0
GL,4.0,385.0
GL,5.0,239.0
GL,6.0,418.0
GL,7.0,313.0
GL,8.0,464.0
GL,9.0,289.0
GL,10.0,547.0
GL,11.0,257.0
GL,12.0,119.0
GL,13.0,175.0
GL,14.0,183.0
GL,15.0,149.0
GL,16.0,314.0
GL,17.0,373.0
GL,18.0,324.0
GL,19.0,184.0
GL,20.0,273.0
