Support,Date
47.6,1.0
47.6,2.0
48.5,3.0
48.3,4.0
47.9,5.0
47.1,6.0
46.1,7.0
45.0,8.0
45.7,9.0
43.2,10.0
44.6,11.0
46.0,12.0
45.2,13.0
47.1,14.0
45.1,15.0
45.5,16.0
43.7,17.0
44.0,18.0
45.5,19.0
40.7,20.0
41.3,21.0
40.2,22.0
41.5,23.0
36.6,24.0
36.7,25.0
37.2,26.0
37.0,27.0
37.8,28.0
36.5,29.0
38.1,30.0
36.0,31.0
34.0,32.0
30.0,33.0
30.0,34.0
34.0,35.0
36.0,36.0
36.0,37.0
35.0,38.0
37.0,39.0
34.0,40.0
37.0,41.0
44.0,42.0
44.4,43.0
44.7,44.0
41.0,45.0
39.0,46.0
37.1,47.0
37.0,48.0
38.6,49.0
38.8,50.0
39.0,51.0
40.0,52.0
40.0,53.0
40.1,54.0
40.2,55.0
40.0,56.0
39.0,57.0
