Process,Primer Thickness,Sequence Order,AbsDeviation
a,1.52,1.0,0.32000000000000006
a,1.76,2.0,0.56
a,1.09,3.0,0.10999999999999988
a,1.6,4.0,0.40000000000000013
a,1.35,5.0,0.15000000000000013
a,1.48,6.0,0.28
a,1.44,7.0,0.24
a,1.57,8.0,0.3700000000000001
a,1.33,9.0,0.13000000000000012
a,1.57,10.0,0.3700000000000001
a,1.25,11.0,0.050000000000000044
a,1.21,12.0,0.010000000000000009
a,1.15,13.0,0.050000000000000044
a,1.31,14.0,0.1100000000000001
a,1.31,15.0,0.1100000000000001
a,1.46,16.0,0.26
a,1.29,17.0,0.09000000000000008
a,1.31,18.0,0.1100000000000001
a,1.24,19.0,0.040000000000000036
a,1.34,20.0,0.14000000000000012
a,1.49,21.0,0.29000000000000004
a,1.33,22.0,0.13000000000000012
a,1.41,23.0,0.20999999999999996
a,1.34,24.0,0.14000000000000012
a,1.23,25.0,0.030000000000000027
a,1.38,26.0,0.17999999999999994
a,1.0,27.0,0.19999999999999996
a,1.21,28.0,0.010000000000000009
a,1.12,29.0,0.07999999999999985
a,1.44,30.0,0.24
a,1.49,31.0,0.29000000000000004
a,1.16,32.0,0.040000000000000036
a,1.46,33.0,0.26
a,1.48,34.0,0.28
a,1.16,35.0,0.040000000000000036
a,1.08,36.0,0.11999999999999988
a,1.5,37.0,0.30000000000000004
a,1.1,38.0,0.09999999999999987
a,1.01,39.0,0.18999999999999995
a,1.31,40.0,0.1100000000000001
a,1.4,41.0,0.19999999999999996
a,1.52,42.0,0.32000000000000006
a,1.14,43.0,0.06000000000000005
a,1.35,44.0,0.15000000000000013
a,1.53,45.0,0.33000000000000007
a,1.26,46.0,0.06000000000000005
a,1.46,47.0,0.26
a,1.24,48.0,0.040000000000000036
a,1.53,49.0,0.33000000000000007
a,1.48,50.0,0.28
b,1.29,1.0,0.09000000000000008
b,1.34,2.0,0.14000000000000012
b,1.08,3.0,0.11999999999999988
b,1.19,4.0,0.010000000000000009
b,1.15,5.0,0.050000000000000044
b,1.28,6.0,0.08000000000000007
b,1.04,7.0,0.15999999999999992
b,1.02,8.0,0.17999999999999994
b,1.31,9.0,0.1100000000000001
b,1.24,10.0,0.040000000000000036
b,1.06,11.0,0.1399999999999999
b,1.26,12.0,0.06000000000000005
b,1.26,13.0,0.06000000000000005
b,1.55,14.0,0.3500000000000001
b,1.23,15.0,0.030000000000000027
b,1.22,16.0,0.020000000000000018
b,1.24,17.0,0.040000000000000036
b,1.41,18.0,0.20999999999999996
b,1.05,19.0,0.1499999999999999
b,0.96,20.0,0.24
b,1.22,21.0,0.020000000000000018
b,1.23,22.0,0.030000000000000027
b,1.16,23.0,0.040000000000000036
b,1.13,24.0,0.07000000000000006
b,1.41,25.0,0.20999999999999996
b,1.38,26.0,0.17999999999999994
b,1.48,27.0,0.28
b,1.14,28.0,0.06000000000000005
b,1.05,29.0,0.1499999999999999
b,1.15,30.0,0.050000000000000044
b,1.23,31.0,0.030000000000000027
b,1.01,32.0,0.18999999999999995
b,1.1,33.0,0.09999999999999987
b,1.13,34.0,0.07000000000000006
b,1.12,35.0,0.07999999999999985
b,1.24,36.0,0.040000000000000036
b,1.06,37.0,0.1399999999999999
b,1.26,38.0,0.06000000000000005
b,1.42,39.0,0.21999999999999997
b,1.13,40.0,0.07000000000000006
b,1.11,41.0,0.08999999999999986
b,0.93,42.0,0.2699999999999999
b,1.14,43.0,0.06000000000000005
b,1.31,44.0,0.1100000000000001
b,1.14,45.0,0.06000000000000005
b,1.11,46.0,0.08999999999999986
b,1.31,47.0,0.1100000000000001
b,0.99,48.0,0.20999999999999996
b,0.92,49.0,0.2799999999999999
b,1.31,50.0,0.1100000000000001
b,1.08,51.0,0.11999999999999988
b,1.17,52.0,0.030000000000000027
b,1.28,53.0,0.08000000000000007
b,1.04,54.0,0.15999999999999992
b,1.56,55.0,0.3600000000000001
b,1.13,56.0,0.07000000000000006
b,1.01,57.0,0.18999999999999995
b,1.2,58.0,0.0
b,1.52,59.0,0.32000000000000006
b,1.36,60.0,0.16000000000000014
