Manager,Time for Run,Run Size
a,252.0,204.0
a,215.0,103.0
a,238.0,143.0
a,261.0,210.0
a,297.0,334.0
a,236.0,102.0
a,282.0,261.0
a,264.0,118.0
a,254.0,198.0
a,223.0,87.0
a,228.0,75.0
a,254.0,167.0
a,219.0,133.0
a,261.0,160.0
a,281.0,345.0
a,304.0,211.0
a,296.0,280.0
a,298.0,244.0
a,302.0,280.0
a,296.0,284.0
b,229.0,297.0
b,208.0,96.0
b,188.0,238.0
b,191.0,144.0
b,209.0,154.0
b,228.0,325.0
b,224.0,206.0
b,214.0,170.0
b,236.0,232.0
b,205.0,286.0
b,226.0,329.0
b,216.0,311.0
b,230.0,310.0
b,237.0,252.0
b,238.0,278.0
b,212.0,225.0
b,216.0,167.0
b,203.0,157.0
b,195.0,110.0
b,252.0,298.0
c,195.0,175.0
c,215.0,189.0
c,243.0,344.0
c,162.0,88.0
c,185.0,114.0
c,231.0,338.0
c,234.0,271.0
c,166.0,173.0
c,253.0,284.0
c,196.0,277.0
c,220.0,337.0
c,168.0,58.0
c,207.0,146.0
c,225.0,277.0
c,169.0,123.0
c,215.0,227.0
c,147.0,63.0
c,230.0,337.0
c,208.0,146.0
c,172.0,68.0
