Ave Cost,Units,Goal SD,Weight,Stamp,Chisel
20.09,180.0,0.1,0.43,10.0,15.0
16.51,500.0,0.5,0.45,10.0,8.0
21.31,200.0,0.1,0.385,8.0,10.0
24.5,100.0,0.1,0.325,12.0,11.0
18.99,300.0,0.1,0.48,7.0,13.0
22.35,700.0,0.1,0.48,15.0,15.0
22.21,500.0,0.5,0.27,12.0,11.0
18.17,1600.0,0.5,0.52,10.0,11.0
17.27,800.0,0.1,0.345,11.0,9.0
16.9,150.0,0.1,0.4,8.0,14.0
23.41,190.0,0.1,0.31,13.0,18.0
17.38,120.0,0.5,0.255,10.0,5.0
18.91,200.0,0.5,0.39,10.0,9.0
23.69,130.0,0.1,0.46,13.0,15.0
18.34,190.0,0.5,0.275,11.0,10.0
19.0,260.0,0.5,0.41,12.0,13.0
12.36,300.0,1.0,0.3,6.0,5.0
19.24,400.0,0.5,0.47,13.0,14.0
20.17,240.0,0.5,0.44,13.0,15.0
16.02,150.0,1.0,0.345,5.0,11.0
23.53,100.0,0.5,0.39,10.0,13.0
18.42,130.0,0.1,0.345,5.0,11.0
20.74,400.0,0.5,0.47,15.0,12.0
10.45,200.0,0.5,0.46,5.0,6.0
22.83,160.0,0.5,0.335,14.0,10.0
23.34,100.0,0.5,0.33,13.0,11.0
17.66,160.0,0.5,0.34,8.0,10.0
21.36,290.0,0.5,0.25,16.0,14.0
26.66,110.0,0.1,0.32,11.0,9.0
14.64,180.0,0.1,0.35,6.0,12.0
17.01,600.0,0.5,0.365,12.0,11.0
30.46,290.0,0.1,0.37,21.0,21.0
21.87,180.0,0.1,0.48,12.0,11.0
15.17,1300.0,0.5,0.22,7.0,3.0
14.68,190.0,1.0,0.345,7.0,9.0
24.51,200.0,0.1,0.29,14.0,12.0
22.03,110.0,0.5,0.32,13.0,13.0
29.06,140.0,1.0,0.28,18.0,10.0
23.52,220.0,0.1,0.255,12.0,12.0
19.01,130.0,0.5,0.385,10.0,10.0
27.99,170.0,1.0,0.44,15.0,17.0
18.14,600.0,0.5,0.42,6.0,3.0
23.04,180.0,0.1,0.43,12.0,17.0
34.54,120.0,0.1,0.34,16.0,13.0
16.05,200.0,1.0,0.4,9.0,9.0
16.04,600.0,0.5,0.305,7.0,11.0
23.55,180.0,0.5,0.47,12.0,13.0
18.73,300.0,0.1,0.205,8.0,9.0
16.14,250.0,0.5,0.33,8.0,9.0
18.21,170.0,0.5,0.36,9.0,12.0
17.32,300.0,0.1,0.42,6.0,7.0
18.51,400.0,0.5,0.225,13.0,9.0
17.67,400.0,0.5,0.37,9.0,7.0
20.59,500.0,1.0,0.41,10.0,9.0
20.08,150.0,0.5,0.42,13.0,10.0
16.24,500.0,0.1,0.44,9.0,13.0
21.35,150.0,0.1,0.245,8.0,12.0
21.09,160.0,0.1,0.5,11.0,9.0
19.08,500.0,0.1,0.43,8.0,10.0
18.71,400.0,1.0,0.36,11.0,13.0
24.92,210.0,0.1,0.37,9.0,11.0
22.97,100.0,0.5,0.305,7.0,8.0
24.42,170.0,1.0,0.305,17.0,11.0
12.94,190.0,0.5,0.3,6.0,9.0
21.76,110.0,0.5,0.42,10.0,13.0
28.72,110.0,0.5,0.28,14.0,11.0
20.82,240.0,0.1,0.57,14.0,14.0
17.53,700.0,0.1,0.46,15.0,18.0
31.58,150.0,0.1,0.34,15.0,12.0
19.69,600.0,0.1,0.37,15.0,13.0
15.89,250.0,0.5,0.44,7.0,8.0
18.22,170.0,0.5,0.39,6.0,7.0
22.34,280.0,0.5,0.39,18.0,16.0
19.18,150.0,0.1,0.315,8.0,11.0
16.99,120.0,0.1,0.44,7.0,10.0
21.44,180.0,1.0,0.52,17.0,18.0
21.59,150.0,0.5,0.43,9.0,11.0
21.36,170.0,0.5,0.47,10.0,10.0
22.37,110.0,0.1,0.36,7.0,13.0
19.74,400.0,0.1,0.335,14.0,20.0
14.78,800.0,0.1,0.305,7.0,10.0
17.74,300.0,0.5,0.345,11.0,10.0
21.47,120.0,0.5,0.385,9.0,10.0
15.66,220.0,0.5,0.335,5.0,7.0
13.51,400.0,0.1,0.345,11.0,18.0
31.57,120.0,1.0,0.42,17.0,12.0
25.83,400.0,0.1,0.385,19.0,20.0
35.18,120.0,0.5,0.42,7.0,10.0
25.25,120.0,0.1,0.345,15.0,18.0
21.82,3200.0,0.5,0.275,17.0,11.0
24.71,180.0,0.5,0.295,15.0,9.0
20.83,220.0,0.5,0.28,11.0,6.0
14.75,400.0,0.1,0.385,4.0,8.0
22.92,130.0,1.0,0.45,9.0,14.0
22.94,140.0,0.5,0.33,11.0,7.0
17.56,400.0,0.5,0.385,8.0,13.0
16.84,300.0,0.5,0.42,6.0,12.0
53.52,20.0,0.1,0.4,6.0,7.0
32.53,110.0,0.5,0.28,10.0,7.0
24.1,180.0,0.1,0.315,10.0,10.0
23.4,190.0,0.1,0.42,14.0,15.0
21.85,180.0,0.1,0.44,10.0,15.0
16.96,120.0,0.5,0.41,11.0,10.0
25.04,260.0,0.1,0.265,12.0,10.0
19.52,1200.0,0.5,0.31,13.0,12.0
18.2,170.0,0.1,0.22,6.0,3.0
19.04,1000.0,0.5,0.44,14.0,15.0
20.24,500.0,0.1,0.41,14.0,16.0
20.51,300.0,0.5,0.43,11.0,12.0
15.89,100.0,0.5,0.375,7.0,5.0
17.36,500.0,0.5,0.34,13.0,14.0
17.77,170.0,0.5,0.51,8.0,6.0
17.21,1300.0,0.5,0.45,11.0,11.0
11.06,2100.0,0.5,0.305,6.0,10.0
15.74,230.0,0.1,0.37,5.0,9.0
22.12,150.0,0.5,0.315,8.0,8.0
23.07,190.0,0.5,0.43,14.0,12.0
16.61,180.0,1.0,0.48,10.0,9.0
23.8,220.0,0.1,0.5,13.0,13.0
20.92,180.0,0.1,0.37,12.0,12.0
22.48,190.0,0.5,0.39,13.0,12.0
19.96,200.0,0.5,0.32,11.0,11.0
17.58,190.0,1.0,0.305,8.0,9.0
18.54,800.0,0.5,0.23,10.0,11.0
12.98,190.0,0.5,0.325,5.0,10.0
18.4,150.0,0.5,0.31,10.0,12.0
19.55,130.0,0.5,0.31,9.0,5.0
15.58,400.0,0.1,0.385,5.0,10.0
17.93,230.0,0.5,0.375,12.0,13.0
14.04,2400.0,1.0,0.23,10.0,8.0
27.05,100.0,1.0,0.43,13.0,14.0
18.39,280.0,0.5,0.325,14.0,15.0
12.42,900.0,0.1,0.33,5.0,10.0
17.66,400.0,0.5,0.5,9.0,11.0
20.74,200.0,0.1,0.5,15.0,14.0
25.21,120.0,0.5,0.28,13.0,10.0
21.92,500.0,0.1,0.44,13.0,12.0
17.4,150.0,0.5,0.395,11.0,8.0
23.65,160.0,0.5,0.335,9.0,10.0
10.65,800.0,0.5,0.365,7.0,10.0
24.75,190.0,0.1,0.26,13.0,13.0
16.0,160.0,0.5,0.365,6.0,7.0
16.51,500.0,0.1,0.46,7.0,9.0
18.63,210.0,0.5,0.32,7.0,14.0
25.29,180.0,0.1,0.38,13.0,13.0
17.34,180.0,0.5,0.365,9.0,8.0
16.2,900.0,0.5,0.345,14.0,12.0
