Time_mins,Time_secs,SEX,AGE,Finish_Time
15.0,23.0,M,21.0,15.383333333333333
15.0,27.0,M,21.0,15.45
15.0,33.0,M,20.0,15.55
15.0,42.0,M,19.0,15.7
15.0,48.0,M,19.0,15.8
15.0,55.0,M,21.0,15.916666666666666
16.0,21.0,M,22.0,16.35
16.0,32.0,M,40.0,16.533333333333335
16.0,34.0,M,20.0,16.566666666666666
16.0,36.0,M,18.0,16.6
16.0,37.0,M,25.0,16.616666666666667
16.0,39.0,M,16.0,16.65
16.0,40.0,M,20.0,16.666666666666668
16.0,45.0,M,43.0,16.75
16.0,52.0,M,17.0,16.866666666666667
17.0,8.0,M,16.0,17.133333333333333
17.0,12.0,M,17.0,17.2
17.0,18.0,M,18.0,17.3
17.0,19.0,M,38.0,17.316666666666666
17.0,29.0,M,18.0,17.483333333333334
17.0,30.0,M,16.0,17.5
17.0,35.0,M,15.0,17.583333333333332
17.0,44.0,M,29.0,17.733333333333334
17.0,52.0,M,19.0,17.866666666666667
17.0,57.0,M,14.0,17.95
17.0,58.0,M,24.0,17.966666666666665
17.0,58.0,M,39.0,17.966666666666665
17.0,59.0,M,21.0,17.983333333333334
18.0,2.0,M,18.0,18.033333333333335
18.0,12.0,M,39.0,18.2
18.0,18.0,M,16.0,18.3
18.0,21.0,M,17.0,18.35
18.0,22.0,M,16.0,18.366666666666667
18.0,22.0,F,37.0,18.366666666666667
18.0,25.0,M,50.0,18.416666666666668
18.0,32.0,F,17.0,18.533333333333335
18.0,33.0,M,43.0,18.55
18.0,37.0,M,28.0,18.616666666666667
18.0,39.0,M,42.0,18.65
18.0,45.0,M,21.0,18.75
18.0,48.0,M,35.0,18.8
18.0,50.0,M,20.0,18.833333333333332
19.0,4.0,M,16.0,19.066666666666666
19.0,8.0,M,48.0,19.133333333333333
19.0,8.0,M,26.0,19.133333333333333
19.0,9.0,M,19.0,19.15
19.0,9.0,M,14.0,19.15
19.0,11.0,M,44.0,19.183333333333334
19.0,14.0,M,17.0,19.233333333333334
19.0,17.0,M,17.0,19.283333333333335
19.0,22.0,M,31.0,19.366666666666667
19.0,22.0,M,17.0,19.366666666666667
19.0,29.0,M,18.0,19.483333333333334
19.0,32.0,M,16.0,19.533333333333335
19.0,33.0,M,16.0,19.55
19.0,41.0,M,17.0,19.683333333333334
19.0,43.0,M,16.0,19.716666666666665
19.0,49.0,M,17.0,19.816666666666666
19.0,50.0,M,35.0,19.833333333333332
19.0,52.0,M,20.0,19.866666666666667
19.0,55.0,M,50.0,19.916666666666668
19.0,56.0,M,15.0,19.933333333333334
20.0,3.0,M,17.0,20.05
20.0,7.0,M,27.0,20.116666666666667
20.0,11.0,M,41.0,20.183333333333334
20.0,14.0,M,16.0,20.233333333333334
20.0,14.0,F,20.0,20.233333333333334
20.0,21.0,M,51.0,20.35
20.0,21.0,M,17.0,20.35
20.0,21.0,M,39.0,20.35
20.0,22.0,M,54.0,20.366666666666667
20.0,25.0,M,48.0,20.416666666666668
20.0,26.0,F,29.0,20.433333333333334
20.0,26.0,M,49.0,20.433333333333334
20.0,32.0,M,14.0,20.533333333333335
20.0,36.0,M,37.0,20.6
20.0,38.0,M,14.0,20.633333333333333
20.0,38.0,M,48.0,20.633333333333333
20.0,39.0,M,37.0,20.65
20.0,39.0,M,16.0,20.65
20.0,41.0,M,38.0,20.683333333333334
20.0,42.0,M,10.0,20.7
20.0,46.0,M,35.0,20.766666666666666
20.0,49.0,M,15.0,20.816666666666666
20.0,49.0,M,30.0,20.816666666666666
20.0,51.0,F,15.0,20.85
20.0,57.0,M,24.0,20.95
21.0,0.0,M,37.0,21.0
21.0,1.0,M,17.0,21.016666666666666
21.0,2.0,M,39.0,21.033333333333335
21.0,11.0,F,17.0,21.183333333333334
21.0,12.0,M,56.0,21.2
21.0,13.0,M,32.0,21.216666666666665
21.0,14.0,M,11.0,21.233333333333334
21.0,17.0,M,42.0,21.283333333333335
21.0,18.0,M,48.0,21.3
21.0,19.0,M,16.0,21.316666666666666
21.0,19.0,F,13.0,21.316666666666666
21.0,19.0,M,32.0,21.316666666666666
21.0,20.0,M,22.0,21.333333333333332
21.0,21.0,M,43.0,21.35
21.0,24.0,M,38.0,21.4
21.0,25.0,F,27.0,21.416666666666668
21.0,29.0,M,50.0,21.483333333333334
21.0,31.0,M,32.0,21.516666666666666
21.0,33.0,F,15.0,21.55
21.0,34.0,M,42.0,21.566666666666666
21.0,35.0,M,34.0,21.583333333333332
21.0,36.0,M,45.0,21.6
21.0,40.0,F,36.0,21.666666666666668
21.0,44.0,M,42.0,21.733333333333334
21.0,50.0,M,56.0,21.833333333333332
21.0,53.0,F,20.0,21.883333333333333
21.0,55.0,M,44.0,21.916666666666668
21.0,55.0,M,18.0,21.916666666666668
21.0,58.0,M,43.0,21.966666666666665
22.0,0.0,M,16.0,22.0
22.0,2.0,M,22.0,22.033333333333335
22.0,4.0,M,63.0,22.066666666666666
22.0,5.0,M,32.0,22.083333333333332
22.0,7.0,M,14.0,22.116666666666667
22.0,10.0,F,32.0,22.166666666666668
22.0,11.0,M,43.0,22.183333333333334
22.0,13.0,M,47.0,22.216666666666665
22.0,16.0,M,21.0,22.266666666666666
22.0,20.0,M,47.0,22.333333333333332
22.0,21.0,F,20.0,22.35
22.0,23.0,M,13.0,22.383333333333333
22.0,25.0,M,40.0,22.416666666666668
22.0,26.0,M,26.0,22.433333333333334
22.0,29.0,F,20.0,22.483333333333334
22.0,31.0,F,16.0,22.516666666666666
22.0,32.0,M,61.0,22.533333333333335
22.0,33.0,F,16.0,22.55
22.0,45.0,M,55.0,22.75
22.0,49.0,M,60.0,22.816666666666666
22.0,49.0,M,49.0,22.816666666666666
22.0,50.0,M,41.0,22.833333333333332
22.0,50.0,M,52.0,22.833333333333332
22.0,50.0,M,49.0,22.833333333333332
22.0,51.0,M,48.0,22.85
22.0,51.0,F,31.0,22.85
22.0,51.0,M,41.0,22.85
22.0,54.0,M,65.0,22.9
22.0,56.0,M,40.0,22.933333333333334
22.0,57.0,M,43.0,22.95
22.0,58.0,M,21.0,22.966666666666665
23.0,0.0,M,12.0,23.0
23.0,1.0,M,42.0,23.016666666666666
23.0,2.0,M,24.0,23.033333333333335
23.0,4.0,F,17.0,23.066666666666666
23.0,6.0,F,12.0,23.1
23.0,7.0,M,29.0,23.116666666666667
23.0,14.0,F,48.0,23.233333333333334
23.0,22.0,M,42.0,23.366666666666667
23.0,22.0,M,37.0,23.366666666666667
23.0,25.0,M,61.0,23.416666666666668
23.0,29.0,F,36.0,23.483333333333334
23.0,29.0,M,45.0,23.483333333333334
23.0,29.0,M,49.0,23.483333333333334
23.0,30.0,M,39.0,23.5
23.0,32.0,M,43.0,23.533333333333335
23.0,33.0,M,42.0,23.55
23.0,35.0,M,61.0,23.583333333333332
23.0,44.0,M,52.0,23.733333333333334
23.0,45.0,M,40.0,23.75
23.0,46.0,M,31.0,23.766666666666666
23.0,49.0,M,47.0,23.816666666666666
23.0,53.0,M,35.0,23.883333333333333
23.0,54.0,M,50.0,23.9
23.0,54.0,M,50.0,23.9
23.0,54.0,M,46.0,23.9
23.0,55.0,M,42.0,23.916666666666668
24.0,0.0,M,33.0,24.0
24.0,1.0,M,52.0,24.016666666666666
24.0,1.0,F,17.0,24.016666666666666
24.0,5.0,M,12.0,24.083333333333332
24.0,6.0,F,18.0,24.1
24.0,7.0,M,48.0,24.116666666666667
24.0,8.0,M,28.0,24.133333333333333
24.0,9.0,M,51.0,24.15
24.0,13.0,M,48.0,24.216666666666665
24.0,17.0,M,23.0,24.283333333333335
24.0,18.0,F,35.0,24.3
24.0,20.0,F,57.0,24.333333333333332
24.0,23.0,M,50.0,24.383333333333333
24.0,24.0,F,25.0,24.4
24.0,34.0,F,45.0,24.566666666666666
24.0,35.0,M,49.0,24.583333333333332
24.0,37.0,M,14.0,24.616666666666667
24.0,38.0,M,19.0,24.633333333333333
24.0,44.0,M,33.0,24.733333333333334
24.0,45.0,M,15.0,24.75
24.0,46.0,M,23.0,24.766666666666666
24.0,46.0,M,11.0,24.766666666666666
24.0,47.0,M,46.0,24.783333333333335
24.0,52.0,M,40.0,24.866666666666667
24.0,52.0,M,17.0,24.866666666666667
24.0,53.0,F,42.0,24.883333333333333
24.0,54.0,M,36.0,24.9
24.0,55.0,M,68.0,24.916666666666668
24.0,56.0,F,35.0,24.933333333333334
24.0,57.0,M,38.0,24.95
24.0,57.0,M,46.0,24.95
24.0,58.0,M,56.0,24.966666666666665
25.0,3.0,F,38.0,25.05
25.0,4.0,M,51.0,25.066666666666666
25.0,5.0,F,46.0,25.083333333333332
25.0,7.0,F,44.0,25.116666666666667
25.0,9.0,F,41.0,25.15
25.0,10.0,M,49.0,25.166666666666668
25.0,15.0,M,23.0,25.25
25.0,16.0,M,22.0,25.266666666666666
25.0,17.0,F,38.0,25.283333333333335
25.0,17.0,M,11.0,25.283333333333335
25.0,18.0,M,54.0,25.3
25.0,19.0,M,43.0,25.316666666666666
25.0,21.0,M,65.0,25.35
25.0,22.0,F,34.0,25.366666666666667
25.0,22.0,F,39.0,25.366666666666667
25.0,25.0,F,37.0,25.416666666666668
25.0,26.0,F,38.0,25.433333333333334
25.0,29.0,M,33.0,25.483333333333334
25.0,30.0,F,46.0,25.5
25.0,31.0,F,14.0,25.516666666666666
25.0,32.0,F,17.0,25.533333333333335
25.0,33.0,M,11.0,25.55
25.0,33.0,F,28.0,25.55
25.0,35.0,F,37.0,25.583333333333332
25.0,39.0,F,48.0,25.65
25.0,39.0,M,43.0,25.65
25.0,40.0,F,17.0,25.666666666666668
25.0,41.0,M,47.0,25.683333333333334
25.0,42.0,M,19.0,25.7
25.0,46.0,F,40.0,25.766666666666666
25.0,50.0,M,16.0,25.833333333333332
25.0,56.0,F,20.0,25.933333333333334
25.0,57.0,F,13.0,25.95
25.0,57.0,F,30.0,25.95
25.0,59.0,F,41.0,25.983333333333334
26.0,0.0,M,42.0,26.0
26.0,3.0,M,39.0,26.05
26.0,4.0,F,40.0,26.066666666666666
26.0,7.0,M,39.0,26.116666666666667
26.0,8.0,F,54.0,26.133333333333333
26.0,10.0,M,42.0,26.166666666666668
26.0,10.0,M,54.0,26.166666666666668
26.0,11.0,M,56.0,26.183333333333334
26.0,13.0,F,39.0,26.216666666666665
26.0,14.0,M,11.0,26.233333333333334
26.0,15.0,M,53.0,26.25
26.0,16.0,M,26.0,26.266666666666666
26.0,22.0,M,55.0,26.366666666666667
26.0,26.0,F,30.0,26.433333333333334
26.0,29.0,M,48.0,26.483333333333334
26.0,30.0,F,33.0,26.5
26.0,31.0,M,52.0,26.516666666666666
26.0,33.0,F,13.0,26.55
26.0,34.0,M,54.0,26.566666666666666
26.0,37.0,F,42.0,26.616666666666667
26.0,39.0,M,43.0,26.65
