Die 1,Die 2,Die 3,Die 4,Average 1 (n=1),Average 1 & 2 (n=2),"Average 1,2 & 3 (n=3)","Average 1,2,3 & 4 (n=4)"
6.0,6.0,1.0,5.0,6.0,6.0,4.333333333333333,4.5
6.0,6.0,6.0,3.0,6.0,6.0,6.0,5.25
4.0,5.0,2.0,6.0,4.0,4.5,3.6666666666666665,4.25
3.0,1.0,6.0,5.0,3.0,2.0,3.3333333333333335,3.75
1.0,5.0,3.0,6.0,1.0,3.0,3.0,3.75
3.0,5.0,1.0,2.0,3.0,4.0,3.0,2.75
4.0,1.0,5.0,4.0,4.0,2.5,3.3333333333333335,3.5
5.0,2.0,5.0,6.0,5.0,3.5,4.0,4.5
6.0,5.0,4.0,1.0,6.0,5.5,5.0,4.0
1.0,2.0,2.0,5.0,1.0,1.5,1.6666666666666667,2.5
4.0,1.0,4.0,1.0,4.0,2.5,3.0,2.5
1.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0
4.0,5.0,3.0,5.0,4.0,4.5,4.0,4.25
1.0,4.0,1.0,6.0,1.0,2.5,2.0,3.0
3.0,5.0,5.0,2.0,3.0,4.0,4.333333333333333,3.75
2.0,2.0,6.0,1.0,2.0,2.0,3.3333333333333335,2.75
5.0,3.0,5.0,4.0,5.0,4.0,4.333333333333333,4.25
2.0,6.0,2.0,6.0,2.0,4.0,3.3333333333333335,4.0
1.0,6.0,1.0,1.0,1.0,3.5,2.6666666666666665,2.25
3.0,1.0,4.0,2.0,3.0,2.0,2.6666666666666665,2.5
6.0,4.0,4.0,4.0,6.0,5.0,4.666666666666667,4.5
5.0,2.0,2.0,2.0,5.0,3.5,3.0,2.75
5.0,5.0,6.0,5.0,5.0,5.0,5.333333333333333,5.25
4.0,6.0,3.0,3.0,4.0,5.0,4.333333333333333,4.0
5.0,1.0,2.0,6.0,5.0,3.0,2.6666666666666665,3.5
4.0,6.0,6.0,5.0,4.0,5.0,5.333333333333333,5.25
6.0,2.0,6.0,2.0,6.0,4.0,4.666666666666667,4.0
6.0,3.0,3.0,3.0,6.0,4.5,4.0,3.75
4.0,2.0,1.0,3.0,4.0,3.0,2.3333333333333335,2.5
4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.5
2.0,6.0,1.0,1.0,2.0,4.0,3.0,2.5
5.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0
2.0,1.0,5.0,2.0,2.0,1.5,2.6666666666666665,2.5
5.0,6.0,6.0,3.0,5.0,5.5,5.666666666666667,5.0
4.0,2.0,5.0,4.0,4.0,3.0,3.6666666666666665,3.75
4.0,2.0,5.0,5.0,4.0,3.0,3.6666666666666665,4.0
5.0,3.0,3.0,6.0,5.0,4.0,3.6666666666666665,4.25
1.0,3.0,3.0,3.0,1.0,2.0,2.3333333333333335,2.5
5.0,6.0,6.0,6.0,5.0,5.5,5.666666666666667,5.75
5.0,6.0,3.0,6.0,5.0,5.5,4.666666666666667,5.0
4.0,3.0,2.0,4.0,4.0,3.5,3.0,3.25
2.0,4.0,2.0,3.0,2.0,3.0,2.6666666666666665,2.75
6.0,2.0,2.0,4.0,6.0,4.0,3.3333333333333335,3.5
6.0,3.0,3.0,4.0,6.0,4.5,4.0,4.0
2.0,5.0,5.0,1.0,2.0,3.5,4.0,3.25
5.0,3.0,2.0,4.0,5.0,4.0,3.3333333333333335,3.5
3.0,4.0,5.0,3.0,3.0,3.5,4.0,3.75
2.0,1.0,3.0,6.0,2.0,1.5,2.0,3.0
4.0,3.0,6.0,2.0,4.0,3.5,4.333333333333333,3.75
6.0,3.0,3.0,1.0,6.0,4.5,4.0,3.25
2.0,4.0,2.0,1.0,2.0,3.0,2.6666666666666665,2.25
5.0,4.0,5.0,5.0,5.0,4.5,4.666666666666667,4.75
3.0,6.0,1.0,5.0,3.0,4.5,3.3333333333333335,3.75
4.0,6.0,5.0,4.0,4.0,5.0,5.0,4.75
6.0,4.0,3.0,6.0,6.0,5.0,4.333333333333333,4.75
2.0,5.0,2.0,4.0,2.0,3.5,3.0,3.25
