Salary,Sex,Position,YearsExper,SexCodes,Mid-Pos?
148.0,male,7.0,16.7,1.0,0.0
165.0,male,7.0,6.7,1.0,0.0
145.0,male,5.0,14.8,1.0,1.0
139.0,female,7.0,13.9,0.0,0.0
142.0,female,6.0,6.4,0.0,1.0
144.0,male,5.0,9.1,1.0,1.0
128.0,female,3.0,8.5,0.0,0.0
143.0,male,6.0,18.2,1.0,1.0
157.0,male,7.0,13.0,1.0,0.0
150.0,male,7.0,21.6,1.0,0.0
115.0,male,2.0,5.9,1.0,0.0
133.0,female,3.0,9.1,0.0,0.0
128.0,male,4.0,4.7,1.0,1.0
154.0,male,6.0,11.5,1.0,1.0
121.0,female,3.0,8.5,0.0,0.0
150.0,male,8.0,22.4,1.0,0.0
133.0,male,3.0,7.0,1.0,0.0
149.0,male,5.0,12.2,1.0,1.0
145.0,male,4.0,11.8,1.0,1.0
145.0,male,7.0,12.0,1.0,0.0
149.0,male,6.0,5.7,1.0,1.0
151.0,male,6.0,8.0,1.0,1.0
148.0,female,5.0,10.0,0.0,1.0
142.0,male,7.0,26.1,1.0,0.0
127.0,male,4.0,11.2,1.0,1.0
146.0,female,5.0,7.7,0.0,1.0
134.0,female,2.0,8.1,0.0,0.0
139.0,male,5.0,11.4,1.0,1.0
145.0,male,6.0,10.2,1.0,1.0
110.0,male,2.0,2.4,1.0,0.0
125.0,male,3.0,14.5,1.0,0.0
148.0,male,8.0,22.2,1.0,0.0
135.0,female,4.0,5.1,0.0,1.0
159.0,male,7.0,11.2,1.0,0.0
153.0,female,4.0,5.9,0.0,1.0
131.0,female,2.0,2.4,0.0,0.0
142.0,female,6.0,6.6,0.0,1.0
132.0,male,6.0,11.0,1.0,1.0
153.0,male,5.0,8.9,1.0,1.0
160.0,male,7.0,8.1,1.0,0.0
148.0,male,7.0,17.0,1.0,0.0
155.0,male,6.0,6.3,1.0,1.0
164.0,male,6.0,9.5,1.0,1.0
140.0,female,5.0,1.7,0.0,1.0
134.0,male,4.0,9.3,1.0,1.0
132.0,male,5.0,20.3,1.0,1.0
151.0,female,5.0,6.1,0.0,1.0
124.0,female,2.0,7.6,0.0,0.0
164.0,male,9.0,20.0,1.0,0.0
139.0,male,4.0,12.200000000000001,1.0,1.0
158.0,male,8.0,11.200000000000001,1.0,0.0
137.0,female,3.0,5.4,0.0,0.0
143.0,male,4.0,14.200000000000001,1.0,1.0
142.0,male,5.0,11.700000000000001,1.0,1.0
129.0,female,4.0,11.0,0.0,1.0
142.0,female,4.0,4.1000000000000005,0.0,1.0
140.0,male,5.0,6.0,1.0,1.0
137.0,male,5.0,18.6,1.0,1.0
145.0,male,5.0,15.4,1.0,1.0
133.0,male,4.0,7.2,1.0,1.0
146.0,female,6.0,5.5,0.0,1.0
130.0,male,3.0,6.1000000000000005,1.0,0.0
162.0,female,8.0,18.6,0.0,0.0
142.0,male,3.0,5.0,1.0,0.0
137.0,female,4.0,5.800000000000001,0.0,1.0
129.0,female,3.0,7.4,0.0,0.0
132.0,male,3.0,11.9,1.0,0.0
123.0,male,3.0,5.300000000000001,1.0,0.0
138.0,male,5.0,4.3,1.0,1.0
143.0,male,7.0,10.5,1.0,0.0
153.0,male,7.0,6.5,1.0,0.0
153.0,female,5.0,7.7,0.0,1.0
164.0,male,7.0,9.700000000000001,1.0,0.0
147.0,male,3.0,7.6000000000000005,1.0,0.0
135.0,female,4.0,4.6000000000000005,0.0,1.0
153.0,male,7.0,16.2,1.0,0.0
134.0,female,3.0,3.3000000000000003,0.0,0.0
166.0,female,7.0,6.300000000000001,0.0,0.0
128.0,male,2.0,7.7,1.0,0.0
147.0,male,6.0,3.9000000000000004,1.0,1.0
138.0,female,3.0,9.9,0.0,0.0
152.0,male,5.0,5.6000000000000005,1.0,1.0
135.0,female,4.0,7.1000000000000005,0.0,1.0
143.0,female,4.0,12.600000000000001,0.0,1.0
136.0,male,7.0,16.0,1.0,0.0
153.0,male,6.0,4.800000000000001,1.0,1.0
149.0,male,6.0,13.100000000000001,1.0,1.0
139.0,female,3.0,10.9,0.0,0.0
146.0,female,4.0,4.800000000000001,0.0,1.0
133.0,female,3.0,3.6,0.0,0.0
141.0,male,5.0,8.9,1.0,1.0
159.0,female,7.0,12.9,0.0,0.0
151.0,male,5.0,12.5,1.0,1.0
162.0,female,7.0,9.600000000000001,0.0,0.0
137.0,female,3.0,6.300000000000001,0.0,0.0
155.0,male,7.0,14.200000000000001,1.0,0.0
135.0,male,4.0,7.0,1.0,1.0
145.0,female,5.0,4.3,0.0,1.0
127.0,female,3.0,2.3000000000000003,0.0,0.0
139.0,male,4.0,9.4,1.0,1.0
120.0,female,2.0,7.800000000000001,0.0,0.0
150.0,male,7.0,14.8,1.0,0.0
131.0,male,4.0,11.700000000000001,1.0,1.0
164.0,male,9.0,16.7,1.0,0.0
149.0,male,6.0,7.5,1.0,1.0
145.0,male,5.0,13.4,1.0,1.0
132.0,male,3.0,12.0,1.0,0.0
119.0,male,3.0,11.3,1.0,0.0
138.0,male,6.0,16.900000000000002,1.0,1.0
126.0,male,3.0,10.8,1.0,0.0
147.0,female,6.0,11.0,0.0,1.0
137.0,female,5.0,9.9,0.0,1.0
137.0,male,3.0,9.4,1.0,0.0
138.0,male,4.0,3.4000000000000004,1.0,1.0
124.0,female,2.0,2.9000000000000004,0.0,0.0
153.0,male,6.0,15.9,1.0,1.0
163.0,female,6.0,9.200000000000001,0.0,1.0
128.0,male,3.0,7.300000000000001,1.0,0.0
144.0,male,5.0,9.3,1.0,1.0
134.0,male,3.0,6.7,1.0,0.0
142.0,male,5.0,5.1000000000000005,1.0,1.0
133.0,male,4.0,13.4,1.0,1.0
146.0,female,5.0,12.600000000000001,0.0,1.0
162.0,male,8.0,14.0,1.0,0.0
171.0,male,7.0,11.0,1.0,0.0
135.0,female,3.0,7.2,0.0,0.0
133.0,male,4.0,15.100000000000001,1.0,1.0
154.0,male,7.0,16.5,1.0,0.0
149.0,female,5.0,4.1000000000000005,0.0,1.0
153.0,male,8.0,15.700000000000001,1.0,0.0
125.0,male,4.0,8.3,1.0,1.0
157.0,male,7.0,11.0,1.0,0.0
120.0,male,3.0,11.0,1.0,0.0
145.0,male,6.0,13.5,1.0,1.0
141.0,male,5.0,10.3,1.0,1.0
150.0,female,6.0,5.2,0.0,1.0
144.0,male,5.0,7.300000000000001,1.0,1.0
138.0,female,4.0,7.7,0.0,1.0
122.0,female,1.0,2.6,0.0,0.0
155.0,male,8.0,16.2,1.0,0.0
128.0,male,3.0,6.6000000000000005,1.0,0.0
145.0,male,6.0,22.700000000000003,1.0,1.0
138.0,female,4.0,8.3,0.0,1.0
