Day,Week,Shaft Diameter
1.0,1.0,813.3
1.0,1.0,815.3
1.0,1.0,815.9
1.0,1.0,814.9
1.0,1.0,816.1
2.0,1.0,814.5
2.0,1.0,815.2
2.0,1.0,816.4
2.0,1.0,815.3
2.0,1.0,814.1
3.0,1.0,816.1
3.0,1.0,814.2
3.0,1.0,815.0
3.0,1.0,815.2
3.0,1.0,815.4
4.0,1.0,816.6
4.0,1.0,816.8
4.0,1.0,815.8
4.0,1.0,814.8
4.0,1.0,814.4
5.0,1.0,815.0
5.0,1.0,815.6
5.0,1.0,816.4
5.0,1.0,814.6
5.0,1.0,814.5
6.0,2.0,815.4
6.0,2.0,816.0
6.0,2.0,816.2
6.0,2.0,814.9
6.0,2.0,813.6
7.0,2.0,813.3
7.0,2.0,814.4
7.0,2.0,814.5
7.0,2.0,815.5
7.0,2.0,815.0
8.0,2.0,814.0
8.0,2.0,814.4
8.0,2.0,815.0
8.0,2.0,815.9
8.0,2.0,815.2
9.0,2.0,815.6
9.0,2.0,814.8
9.0,2.0,814.0
9.0,2.0,815.5
9.0,2.0,815.6
10.0,2.0,815.4
10.0,2.0,815.2
10.0,2.0,814.2
10.0,2.0,816.2
10.0,2.0,814.7
11.0,3.0,812.4
11.0,3.0,815.9
11.0,3.0,816.2
11.0,3.0,815.3
11.0,3.0,815.3
12.0,3.0,815.9
12.0,3.0,815.7
12.0,3.0,814.3
12.0,3.0,815.3
12.0,3.0,815.3
13.0,3.0,815.2
13.0,3.0,814.8
13.0,3.0,815.8
13.0,3.0,814.8
13.0,3.0,814.6
14.0,3.0,813.9
14.0,3.0,816.5
14.0,3.0,815.9
14.0,3.0,815.1
14.0,3.0,813.8
15.0,3.0,814.0
15.0,3.0,815.2
15.0,3.0,815.3
15.0,3.0,813.5
15.0,3.0,815.8
16.0,4.0,814.4
16.0,4.0,816.4
16.0,4.0,816.6
16.0,4.0,813.6
16.0,4.0,814.5
17.0,4.0,814.4
17.0,4.0,814.3
17.0,4.0,815.2
17.0,4.0,814.2
17.0,4.0,815.3
18.0,4.0,815.2
18.0,4.0,813.6
18.0,4.0,814.5
18.0,4.0,815.8
18.0,4.0,814.7
19.0,4.0,815.1
19.0,4.0,815.5
19.0,4.0,816.0
19.0,4.0,813.1
19.0,4.0,813.6
20.0,4.0,815.5
20.0,4.0,814.1
20.0,4.0,815.5
20.0,4.0,816.4
20.0,4.0,814.2
21.0,5.0,815.7
21.0,5.0,815.2
21.0,5.0,816.2
