Time,Risk-free Rate,VW Return,Inflation,Sears,K-Mart,Penney,Mcdonalds,Citicorp,Disney,Dun&Brads,Marriott,Fluor,IBM,Centex,Exxon,Amoco,Imperial_Oil,Schlumberger,Halliburton,Can_Pacific,Delta,United,Dow,GTE,GM,Kodak,JPMorgan,Oil Port,Retail Port,Mixed Portfolio
1976.0,0.004681260337231526,0.12648402930580074,0.0024050974403417567,0.0756,0.0112,0.0831,0.0664,0.0932,0.193,0.0833,0.0153,0.0274,0.1494,0.25,0.0254,0.0147,0.0618,0.0148,0.0598,0.1731,0.0497,-0.0264,0.1828,0.0985,0.1041,0.0648,0.1402,0.02005,0.07935,0.12215
1976.0833333333333,0.003372313607814986,0.0037992616124323773,0.002399441372287853,0.0364,0.0571,0.0162,0.008,-0.0271,0.0068,0.0364,0.0902,-0.0267,-0.0014,0.15,-0.0289,0.0046,0.0562,-0.0519,-0.0411,0.1066,0.07,0.019,0.0231,-0.0063,0.0448,-0.0408,-0.0869,-0.01215,0.0263,-0.021050000000000003
1976.1666666666667,0.004017029273693709,0.02885705121351436,0.0023943987063858416,0.0734,0.014,0.082,0.0199,0.1272,0.0146,-0.1102,-0.0033,-0.0438,0.0249,0.133,0.0775,0.105,-0.0202,0.0728,0.0188,0.0074,0.0237,-0.1518,-0.0257,-0.0367,0.0645,0.0995,0.0837,0.09125,0.0777,0.0741
1976.25,0.00419417902289161,-0.011129701025678309,0.0041798941987934695,-0.0782,0.0034,-0.0515,-0.0352,-0.0107,-0.107,-0.0354,-0.0567,-0.0324,-0.0329,0.0096,0.004,0.0264,-0.0412,-0.0367,-0.0017,0.0662,-0.0462,-0.0105,-0.0012,-0.0095,0.0125,-0.0989,-0.0125,0.0152,-0.06485,0.0
1976.3333333333333,0.003744227539164106,-0.008428088022026594,0.005944982946452029,-0.0721,-0.0184,-0.058,-0.0968,-0.0468,-0.0115,-0.0406,-0.1353,0.0558,0.0197,-0.1333,0.0852,0.0375,0.0572,0.0564,0.1073,-0.0345,0.0794,0.1234,-0.0814,-0.0115,-0.018,-0.0501,-0.0169,0.06135,-0.06505,-0.01745
1976.4166666666667,0.004347997063064373,0.046133791173852315,0.005319192877259117,-0.0077,-0.0035,-0.0095,0.0493,0.0978,0.0565,0.0773,0.1478,0.2169,0.0784,-0.0413,0.0372,0.0125,-0.0256,0.0951,0.1464,0.0804,0.0028,0.0571,-0.0177,0.0248,-0.0018,-0.0111,0.0873,0.024849999999999997,-0.0086,0.04275
1976.5,0.004655866703875251,-0.007750053186639521,0.005879956715479066,-0.0386,0.0352,-0.0537,-0.0295,-0.0381,-0.1258,-0.0538,-0.1364,-0.0145,-0.0167,-0.0345,0.0155,0.0272,-0.0526,0.0331,-0.0354,0.0068,-0.0281,-0.009,-0.0259,0.0386,-0.0037,-0.0437,-0.0677,0.02135,-0.04615,-0.035699999999999996
1976.5833333333333,0.0042081730339336085,-7.146941109210367e-05,0.0046761420688488054,0.1008,0.0566,0.0585,-0.0396,-0.0432,-0.005,-0.0419,-0.0702,0.0324,0.0138,-0.0119,0.0085,-0.0106,-0.0076,0.0389,0.0613,-0.0268,-0.1116,-0.0809,-0.0425,0.0977,0.007,-0.0064,-0.0641,-0.0010499999999999997,0.07965,-0.028550000000000002
1976.6666666666667,0.004367825543301465,0.025077345640564883,0.004072222108425398,-0.0257,0.0419,0.0072,0.0115,-0.0454,-0.0273,0.085,0.0755,-0.1269,0.0283,0.0511,0.0496,0.0936,-0.0226,0.0731,0.0423,-0.0207,0.0654,0.0199,-0.0056,0.0129,0.081,-0.0515,-0.0169,0.0716,-0.009250000000000001,0.03205
1976.75,0.004083973798093956,-0.021595131134640923,0.004055698995882445,0.0132,0.0155,-0.013,-0.0358,-0.0397,-0.0339,0.0184,-0.0263,-0.0559,-0.0342,0.0115,-0.0541,-0.0158,-0.0751,-0.0362,-0.0535,-0.0563,-0.0859,-0.039,-0.0197,0.0085,0.0068,-0.0222,0.0328,-0.03495,0.00010000000000000026,0.0198
