DATE,VW,SP500,IBM,PACGE,WALMART,Sequence Number
780228.0,-0.0113,-0.0248,-0.0428,0.0213,0.0197,1.0
780331.0,0.0326,0.0249,-0.0627,0.0329,-0.0294,2.0
780428.0,0.0826,0.0854,0.1295,-0.0155,0.24,3.0
780531.0,0.0208,0.0042,-0.0183,0.0157,0.0323,4.0
780630.0,-0.0124,-0.0176,-0.0039,0.0068,-0.0238,5.0
780731.0,0.0574,0.0539,0.0923,0.0157,0.0481,6.0
780831.0,0.0393,0.0259,0.049,0.0,0.1122,7.0
780929.0,-0.0063,-0.0073,-0.051,-0.0035,0.0204,8.0
781031.0,-0.106,-0.0916,-0.046,-0.0635,-0.1802,9.0
781130.0,0.0336,0.0166,0.0308,0.0339,0.011,10.0
781229.0,0.0165,0.0149,0.1076,-0.0037,-0.0085,11.0
790131.0,0.0477,0.0397,0.0343,0.1067,-0.0055,12.0
790228.0,-0.0273,-0.0365,-0.0172,-0.0152,0.0221,13.0
790330.0,0.0644,0.0552,0.0517,0.0033,0.0519,14.0
790430.0,0.0077,0.0017,-0.004,-0.0632,0.0464,15.0
790531.0,-0.0136,-0.0263,-0.0217,0.0562,0.0049,16.0
790629.0,0.0461,0.0387,-0.0345,0.0034,-0.0069,17.0
790731.0,0.014,0.0087,-0.0494,0.0,0.0297,18.0
790831.0,0.0645,0.0531,0.0159,0.0489,0.3202,19.0
790928.0,0.0015,0.0,-0.0321,-0.0421,-0.0693,20.0
791031.0,-0.0706,-0.0686,-0.0793,0.0,-0.0745,21.0
791130.0,0.0632,0.0426,0.0599,0.0333,0.1864,22.0
791231.0,0.0259,0.0168,-0.0134,0.0155,-0.005,23.0
800131.0,0.0651,0.0576,0.066,-0.0707,0.0252,24.0
800229.0,0.0029,-0.0044,-0.0622,0.0234,-0.1018,25.0
800331.0,-0.1159,-0.1018,-0.1221,-0.0274,-0.1063,26.0
800430.0,0.0506,0.0411,-0.0157,0.1333,0.1404,27.0
800530.0,0.0587,0.0466,0.0248,0.016,0.0539,28.0
800630.0,0.0364,0.027,0.061,0.0432,0.1234,29.0
800731.0,0.0683,0.065,0.1106,-0.0259,0.1433,30.0
800829.0,0.0203,0.0058,0.017,-0.0213,0.102,31.0
800930.0,0.0282,0.0252,-0.021,-0.037,0.0363,32.0
801031.0,0.0188,0.016,0.039,-0.0116,0.01,33.0
801128.0,0.1068,0.1024,0.0354,-0.0282,0.1139,34.0
801231.0,-0.035,-0.0339,-0.0037,0.025,0.0773,35.0
810130.0,-0.0418,-0.0457,-0.0516,0.0122,-0.0083,36.0
810227.0,0.0168,0.0133,0.0114,-0.006,0.0542,37.0
810331.0,0.0443,0.036,-0.0292,0.0451,0.1562,38.0
810430.0,-0.016,-0.0235,-0.0601,-0.018,0.0582,39.0
810529.0,0.0112,-0.0017,0.0168,0.0183,0.0032,40.0
810630.0,-0.0076,-0.0104,-0.0149,0.0805,-0.0177,41.0
810731.0,-0.0012,-0.0022,-0.0302,0.0343,-0.0263,42.0
810831.0,-0.0546,-0.0621,-0.0025,0.011,-0.0354,43.0
810930.0,-0.0622,-0.0538,-0.0181,0.0133,0.0597,44.0
811030.0,0.0575,0.0492,-0.0485,-0.05,0.053,45.0
811130.0,0.0472,0.0366,0.075,0.0117,0.1038,46.0
811231.0,-0.0284,-0.0301,0.0436,0.0025,-0.0299,47.0
820129.0,-0.0251,-0.0175,0.1187,0.0238,-0.0029,48.0
820226.0,-0.0519,-0.0606,-0.014,0.0465,-0.0207,49.0
820331.0,-0.0092,-0.0102,-0.0343,-0.0031,0.1046,50.0
820430.0,0.0419,0.04,0.0753,0.069,0.1366,51.0
820528.0,-0.0277,-0.0392,-0.0294,0.0484,-0.0601,52.0
820630.0,-0.0225,-0.0203,-0.0142,0.0051,0.0837,53.0
820730.0,-0.0204,-0.023,0.0825,-0.0211,0.0307,54.0
820831.0,0.1249,0.116,0.0874,0.1452,0.153,55.0
820930.0,0.0125,0.0076,0.0408,0.047,0.1315,56.0
821029.0,0.1164,0.1104,0.0886,-0.0046,0.1056,57.0
821130.0,0.0472,0.0361,0.0937,0.0046,0.207,58.0
821231.0,0.016,0.0152,0.1127,0.0645,0.0537,59.0
830131.0,0.0382,0.0331,0.0273,0.0711,-0.0576,60.0
830228.0,0.0279,0.019,0.01,0.0208,0.0479,61.0
830331.0,0.0339,0.0331,0.0278,0.0203,0.1766,62.0
830429.0,0.0733,0.0749,0.1499,0.049,0.0648,63.0
830531.0,0.0072,-0.0124,-0.041,0.0117,0.1663,64.0
830630.0,0.0388,0.0352,0.0809,-0.0677,0.0897,65.0
830729.0,-0.0299,-0.033,0.001,0.0085,0.0479,66.0
830831.0,0.01,0.0113,0.0006,0.042,-0.0388,67.0
830930.0,0.0166,0.0102,0.0617,0.0177,0.0381,68.0
831031.0,-0.0213,-0.0152,-0.001,0.0569,-0.0398,69.0
831130.0,0.0275,0.0174,-0.0665,0.0231,0.0732,70.0
831230.0,-0.0084,-0.0088,0.0394,-0.0812,-0.0734,71.0
840131.0,-0.0098,-0.0092,-0.0646,0.0084,-0.0897,72.0
840229.0,-0.0366,-0.0389,-0.0256,-0.075,-0.0951,73.0
840330.0,0.0161,0.0135,0.034,-0.0432,0.0367,74.0
840430.0,0.0049,0.0055,-0.0022,0.0291,0.0677,75.0
840531.0,-0.0516,-0.0594,-0.0444,0.0189,0.0458,76.0
840629.0,0.0224,0.0175,-0.0186,0.0504,0.1125,77.0
840731.0,-0.0176,-0.0165,0.0473,0.0,-0.0121,78.0
840831.0,0.1129,0.1063,0.1273,0.0182,0.0841,79.0
840928.0,0.002,-0.0035,0.004,0.0843,-0.0283,80.0
841031.0,0.0016,-0.0001,0.0119,0.0339,-0.0175,81.0
841130.0,-0.0098,-0.0151,-0.0231,0.0984,-0.0534,82.0
841231.0,0.0241,0.0224,0.0113,0.0033,-0.0488,83.0
850131.0,0.0802,0.0741,0.1076,0.0229,0.2013,84.0
850228.0,0.0164,0.0087,-0.0094,0.0373,0.0,85.0
850329.0,0.0,-0.0029,-0.0522,0.0391,-0.0177,86.0
850430.0,-0.0031,-0.0046,-0.0039,0.0426,0.0504,87.0
850531.0,0.0587,0.0541,0.0255,0.068,0.1173,88.0
850628.0,0.0165,0.0121,-0.0379,0.0234,0.0443,89.0
850731.0,-0.0029,-0.0049,0.0616,-0.0701,-0.0938,90.0
850830.0,-0.0042,-0.012,-0.0278,0.0274,0.0469,91.0
850930.0,-0.0375,-0.0347,-0.0217,-0.0355,-0.0773,92.0
851031.0,0.0438,0.0425,0.0484,0.0497,0.11,93.0
851129.0,0.0685,0.0651,0.0845,0.0541,0.1179,94.0
851231.0,0.0441,0.0451,0.1127,0.0492,0.0771,95.0
860131.0,0.0067,0.0024,-0.0257,0.025,0.0078,96.0
860228.0,0.0728,0.0715,0.0031,0.1098,0.0584,97.0
860331.0,0.0553,0.0528,0.0041,0.0147,0.1593,98.0
860430.0,-0.013,-0.0142,0.0314,-0.0663,0.0286,99.0
860530.0,0.0515,0.0502,-0.0178,0.0947,0.1821,100.0
860630.0,0.0146,0.0141,-0.0386,0.01,0.0844,101.0
860731.0,-0.0558,-0.0587,-0.0956,0.1038,-0.1036,102.0
860829.0,0.0722,0.0712,0.0555,0.0792,0.0117,103.0
860930.0,-0.0785,-0.0854,-0.0306,-0.1017,-0.1064,104.0
861031.0,0.0526,0.0547,-0.0809,0.0313,0.0685,105.0
861128.0,0.0179,0.0215,0.0372,0.0303,0.0613,106.0
861231.0,-0.026,-0.0283,-0.0561,-0.0302,-0.0227,107.0
870130.0,0.1292,0.1318,0.0729,0.1083,0.043,108.0
870227.0,0.042,0.0369,0.092,-0.0279,0.1289,109.0
870331.0,0.0252,0.0264,0.0762,-0.0582,0.0513,110.0
870430.0,-0.0153,-0.0115,0.0666,-0.1192,-0.0152,111.0
870529.0,0.0063,0.006,0.0061,-0.0235,0.0331,112.0
870630.0,0.0475,0.0479,0.0156,-0.007,0.157,113.0
870731.0,0.0471,0.0482,-0.0092,-0.0435,0.1017,114.0
870831.0,0.0358,0.035,0.0526,0.0584,0.0881,115.0
870930.0,-0.0206,-0.0242,-0.1047,-0.0439,-0.0648,116.0
871030.0,-0.2183,-0.2176,-0.1874,-0.0724,-0.2706,117.0
871130.0,-0.075,-0.0854,-0.0869,-0.0071,-0.1312,118.0
871231.0,0.0687,0.0729,0.0429,-0.044,0.0846,119.0
