WillReturn?,Sex,DaysStay,SexDummy,Satisfaction,LongStay?
Yes,Female,7.0,0.0,1.0,Yes
Yes,Male,2.0,1.0,1.0,No
No,Male,5.0,1.0,0.0,No
No,Female,1.0,0.0,0.0,No
No,Male,4.0,1.0,0.0,No
Yes,Female,2.0,0.0,1.0,No
No,Male,1.0,1.0,0.0,No
Yes,Female,1.0,0.0,1.0,No
No,Male,6.0,1.0,0.0,Yes
Yes,Male,2.0,1.0,1.0,No
No,Male,8.0,1.0,0.0,Yes
No,Male,2.0,1.0,0.0,No
Yes,Male,8.0,1.0,1.0,Yes
No,Female,5.0,0.0,0.0,No
No,Male,2.0,1.0,0.0,No
Yes,Male,3.0,1.0,1.0,No
Yes,Male,8.0,1.0,1.0,Yes
No,Female,5.0,0.0,0.0,No
No,Female,5.0,0.0,0.0,No
No,Male,2.0,1.0,0.0,No
Yes,Male,2.0,1.0,1.0,No
Yes,Male,6.0,1.0,1.0,Yes
Yes,Male,4.0,1.0,1.0,No
Yes,Female,6.0,0.0,1.0,Yes
No,Male,2.0,1.0,0.0,No
Yes,Male,4.0,1.0,1.0,No
Yes,Male,6.0,1.0,1.0,Yes
Yes,Female,3.0,0.0,1.0,No
Yes,Male,2.0,1.0,1.0,No
No,Female,8.0,0.0,0.0,Yes
Yes,Male,3.0,1.0,1.0,No
No,Male,3.0,1.0,0.0,No
No,Male,2.0,1.0,0.0,No
Yes,Male,5.0,1.0,1.0,No
Yes,Male,2.0,1.0,1.0,No
Yes,Male,6.0,1.0,1.0,Yes
No,Male,1.0,1.0,0.0,No
Yes,Male,6.0,1.0,1.0,Yes
Yes,Male,4.0,1.0,1.0,No
Yes,Female,2.0,0.0,1.0,No
No,Male,1.0,1.0,0.0,No
Yes,Female,3.0,0.0,1.0,No
Yes,Male,1.0,1.0,1.0,No
No,Male,10.0,1.0,0.0,Yes
Yes,Male,6.0,1.0,1.0,Yes
No,Male,3.0,1.0,0.0,No
No,Male,2.0,1.0,0.0,No
Yes,Male,2.0,1.0,1.0,No
Yes,Male,6.0,1.0,1.0,Yes
Yes,Male,8.0,1.0,1.0,Yes
Yes,Male,2.0,1.0,1.0,No
No,Female,1.0,0.0,0.0,No
Yes,Male,5.0,1.0,1.0,No
No,Male,3.0,1.0,0.0,No
No,Female,3.0,0.0,0.0,No
Yes,Male,4.0,1.0,1.0,No
Yes,Male,11.0,1.0,1.0,Yes
Yes,Male,1.0,1.0,1.0,No
No,Female,5.0,0.0,0.0,No
Yes,Male,2.0,1.0,1.0,No
Yes,Male,5.0,1.0,1.0,No
Yes,Male,6.0,1.0,1.0,Yes
No,Female,3.0,0.0,0.0,No
No,Male,4.0,1.0,0.0,No
No,Female,3.0,0.0,0.0,No
No,Female,1.0,0.0,0.0,No
Yes,Female,5.0,0.0,1.0,No
No,Female,3.0,0.0,0.0,No
Yes,Male,5.0,1.0,1.0,No
Yes,Male,6.0,1.0,1.0,Yes
Yes,Male,3.0,1.0,1.0,No
No,Female,1.0,0.0,0.0,No
Yes,Male,11.0,1.0,1.0,Yes
No,Male,1.0,1.0,0.0,No
No,Female,4.0,0.0,0.0,No
No,Male,6.0,1.0,0.0,Yes
Yes,Male,4.0,1.0,1.0,No
Yes,Female,2.0,0.0,1.0,No
Yes,Male,2.0,1.0,1.0,No
No,Male,1.0,1.0,0.0,No
Yes,Male,10.0,1.0,1.0,Yes
Yes,Male,4.0,1.0,1.0,No
No,Male,2.0,1.0,0.0,No
Yes,Female,3.0,0.0,1.0,No
Yes,Male,6.0,1.0,1.0,Yes
Yes,Male,5.0,1.0,1.0,No
Yes,Male,4.0,1.0,1.0,No
Yes,Male,2.0,1.0,1.0,No
Yes,Male,5.0,1.0,1.0,No
No,Male,3.0,1.0,0.0,No
Yes,Male,7.0,1.0,1.0,Yes
Yes,Male,1.0,1.0,1.0,No
Yes,Male,4.0,1.0,1.0,No
No,Female,1.0,0.0,0.0,No
Yes,Female,12.0,0.0,1.0,Yes
Yes,Male,2.0,1.0,1.0,No
Yes,Female,3.0,0.0,1.0,No
