Service Time,Training Program
5.4,AAA
1.3,AAA
2.5,AAA
3.0,AAA
1.4,AAA
2.4,AAA
1.2,AAA
2.6,AAA
1.5,AAA
1.1,AAA
1.2,AAA
1.2,AAA
1.2,AAA
2.2,AAA
1.0,AAA
2.2,AAA
1.8,AAA
2.1,AAA
6.2,AAA
2.1,AAA
3.5,AAA
1.6,AAA
1.5,AAA
1.2,AAA
1.6,AAA
1.4,AAA
1.0,AAA
4.3,AAA
1.4,AAA
4.1,AAA
4.2,AAA
1.5,AAA
1.2,AAA
1.0,AAA
2.8,AAA
2.4,AAA
3.9,AAA
2.2,AAA
1.3,AAA
7.6,AAA
2.3,AAA
1.8,AAA
1.1,AAA
2.1,AAA
1.5,AAA
3.4,AAA
1.4,AAA
1.9,AAA
2.6,AAA
3.0,AAA
1.5,AAA
3.3,AAA
0.7,AAA
1.1,AAA
0.9,AAA
2.0,AAA
1.2,AAA
2.0,AAA
1.2,AAA
1.2,AAA
1.6,AAA
2.9,AAA
5.5,AAA
4.0,AAA
1.4,AAA
3.1,AAA
1.2,AAA
9.6,AAA
1.4,AAA
1.2,AAA
10.7,AAA
1.6,AAA
1.8,AAA
1.2,AAA
1.5,AAA
7.1,Other
2.2,Other
3.4,Other
1.7,Other
2.2,Other
1.6,Other
1.9,Other
1.8,Other
1.5,Other
2.5,Other
4.5,Other
5.8,Other
1.9,Other
2.2,Other
1.7,Other
1.2,Other
4.6,Other
1.7,Other
2.7,Other
1.9,Other
2.6,Other
1.9,Other
5.2,Other
1.1,Other
3.9,Other
2.8,Other
2.1,Other
1.5,Other
1.6,Other
3.4,Other
2.6,Other
5.2,Other
3.3,Other
2.8,Other
2.1,Other
1.6,Other
2.2,Other
1.5,Other
1.2,Other
1.6,Other
1.6,Other
3.5,Other
1.9,Other
3.4,Other
1.9,Other
2.2,Other
3.1,Other
1.2,Other
1.9,Other
1.5,Other
2.2,Other
1.9,Other
1.5,Other
2.8,Other
2.5,Other
1.5,Other
10.8,Other
1.5,Other
3.1,Other
2.2,Other
3.1,Other
2.3,Other
3.3,Other
1.1,Other
2.6,Other
4.4,Other
3.0,Other
1.7,Other
2.6,Other
1.3,Other
1.8,Other
3.0,Other
2.0,Other
1.9,Other
1.0,Other
