Date,Price,Apple Daily Return,Market Return,Equal-Weighted Return,Apple Daily Percentage Change
3250627200.0,83.8,-0.012258,-0.001356,-0.000159,-1.2258
3250713600.0,85.66,0.022196,0.000607,0.000591,2.2196000000000002
3250800000.0,85.05,-0.007121,-0.007247,-0.009809,-0.7121
3251059200.0,85.47,0.004938,0.002557,0.001731,0.49379999999999996
3251145600.0,92.57,0.08307,-1.8e-05,0.000262,8.307
3251232000.0,97.0,0.047856,0.002094,0.001338,4.7856000000000005
3251318400.0,95.8,-0.012371,0.007298,0.00776,-1.2371
3251404800.0,94.62,-0.012317,0.006144,0.006821,-1.2317
3251750400.0,97.1,0.02621,0.000329,0.000561,2.621
3251836800.0,94.95,-0.022142,-0.000606,-0.000106,-2.2142
3251923200.0,89.07,-0.061927,-0.00478,-0.007338,-6.1927
3252009600.0,88.5,-0.006399,0.004369,0.005339,-0.6399
3252268800.0,86.79,-0.019322,-0.005419,-0.004337,-1.9322
3252355200.0,85.7,-0.012559,0.005237,0.0062,-1.2559
3252441600.0,86.7,0.011669,0.008694,0.006918,1.1669
3252528000.0,86.25,-0.00519,-0.010806,-0.007872,-0.519
3252614400.0,85.38,-0.010087,0.000139,0.003034,-1.0087000000000002
3252873600.0,85.94,0.006559,0.000128,0.003428,0.6558999999999999
3252960000.0,85.55,-0.004538,0.005736,0.005123,-0.45380000000000004
3253046400.0,85.73,0.002104,0.006309,0.00352,0.2104
3253132800.0,84.74,-0.011548,0.006272,0.006416,-1.1547999999999998
3253219200.0,84.75,0.000118,0.001217,0.002299,0.0118
3253478400.0,83.94,-0.009557,-0.00057,-0.001074,-0.9557
3253564800.0,84.15,0.002502,0.001549,0.003197,0.2502
3253651200.0,86.15,0.023767,0.002245,0.003716,2.3767
3253737600.0,86.18,0.000348,-0.000457,0.001075,0.0348
3253824000.0,83.27,-0.033767,-0.006879,-0.004901,-3.3767
3254083200.0,84.88,0.019335,-0.00391,-0.002915,1.9335000000000002
3254169600.0,84.63,-0.002945,0.008057,0.005359,-0.29450000000000004
3254256000.0,85.3,0.007917,0.00726,0.004639,0.7917000000000001
3254342400.0,85.21,-0.001055,0.001731,0.001444,-0.1055
3254428800.0,84.83,-0.00446,0.000477,0.00264,-0.44600000000000006
3254774400.0,85.9,0.012613,0.003606,0.005982,1.2612999999999999
3254860800.0,89.2,0.038417,-0.000274,0.001667,3.8417
3254947200.0,89.51,0.003475,-0.000362,0.002277,0.3475
3255033600.0,89.07,-0.004916,-0.002576,6.8e-05,-0.49160000000000004
3255292800.0,88.65,-0.004715,-0.001326,-0.00108,-0.4715
3255379200.0,83.93,-0.053243,-0.034103,-0.031232,-5.3243
3255465600.0,84.61,0.008102,0.004685,0.003802,0.8102
3255552000.0,87.06,0.028956,-0.00285,-0.004932,2.8956
3255638400.0,85.41,-0.018952,-0.012476,-0.011435,-1.8952
3255897600.0,86.3199,0.010653,-0.012014,-0.017184,1.0653
3255984000.0,88.19,0.021665,0.016743,0.017683,2.1665
3256070400.0,87.72,-0.005329,-0.001346,6.4e-05,-0.5329
3256156800.0,88.0,0.003192,0.007243,0.005598,0.3192
3256243200.0,87.97,-0.000341,0.001628,0.001708,-0.0341
3256502400.0,89.87,0.021598,0.003146,0.004002,2.1597999999999997
3256588800.0,88.4,-0.016357,-0.020152,-0.017483,-1.6357
3256675200.0,90.0,0.0181,0.005427,0.00228,1.81
3256761600.0,89.57,-0.004778,0.004783,0.006076,-0.4778
3256848000.0,89.59,0.000223,-0.003609,-0.003144,0.0223
3257107200.0,91.13,0.017189,0.011054,0.007394,1.7188999999999999
3257193600.0,91.48,0.003841,0.006793,0.005634,0.3841
3257280000.0,93.87,0.026126,0.016755,0.012048,2.6126
3257366400.0,93.96,0.000959,-0.000142,0.002375,0.0959
3257452800.0,93.52,-0.004683,0.001714,0.002268,-0.46829999999999994
3257712000.0,95.85,0.024914,0.000552,5e-05,2.4914
3257798400.0,95.46,-0.004069,-0.005695,-0.004883,-0.4069
3257884800.0,93.24,-0.023256,-0.006998,-0.004442,-2.3255999999999997
3257971200.0,93.75,0.00547,0.003514,0.00198,0.547
3258057600.0,92.91,-0.00896,-0.000367,0.002461,-0.8959999999999999
3258316800.0,93.65,0.007965,0.003036,0.002025,0.7965
3258403200.0,94.5,0.009076,0.008919,0.006778,0.9076000000000001
3258489600.0,94.27,-0.002434,0.001489,0.001204,-0.2434
3258576000.0,94.68,0.004349,0.003627,0.003187,0.43489999999999995
3258921600.0,93.65,-0.010879,0.000587,0.000858,-1.0878999999999999
3259008000.0,94.25,0.006407,0.002692,0.002476,0.6407
3259094400.0,92.59,-0.017613,-0.005862,-0.004224,-1.7613
3259180800.0,92.19,-0.00432,0.006381,0.00578,-0.432
3259267200.0,90.24,-0.021152,0.003734,0.005191,-2.1152
3259526400.0,91.43,0.013187,0.010487,0.009227,1.3187
3259612800.0,90.35,-0.011812,0.001029,-0.000892,-1.1812
3259699200.0,90.4,0.000553,0.000314,-0.000862,0.0553
3259785600.0,90.27,-0.001438,-0.0028,-0.004174,-0.1438
3259872000.0,90.97,0.007755,0.009335,0.00788,0.7755
3260131200.0,93.51,0.027921,-0.001728,-0.000693,2.7921
3260217600.0,93.24,-0.002887,-0.000743,-0.001111,-0.28869999999999996
3260304000.0,95.348,0.022608,0.009474,0.005081,2.2608
3260390400.0,98.84,0.036624,-0.000575,-9e-05,3.6624
3260476800.0,99.92,0.010927,-0.000787,-0.001686,1.0927
3260736000.0,99.8,-0.001201,-0.009285,-0.008639,-0.1201
3260822400.0,99.47,-0.003307,0.001748,-0.000804,-0.3307
3260908800.0,100.39,0.009249,0.008281,0.00914,0.9249
3260995200.0,100.4,0.0001,0.003888,0.001993,0.01
3261081600.0,100.81,0.004084,0.002887,0.00265,0.4084
3261340800.0,103.92,0.03085,0.002603,0.000893,3.085
3261427200.0,105.06,0.01097,-0.001402,-0.002055,1.097
3261513600.0,106.88,0.017323,0.003685,0.003003,1.7323000000000002
3261600000.0,107.34,0.004304,-0.013744,-0.013007,0.43039999999999995
3261686400.0,108.74,0.013043,0.010358,0.008263,1.3043
3261945600.0,109.36,0.005702,-0.0027,-0.004631,0.5701999999999999
3262032000.0,107.52,-0.016825,-0.001858,-0.006056,-1.6824999999999999
3262118400.0,107.34,-0.001674,0.007334,0.002548,-0.1674
3262204800.0,109.44,0.019564,-0.000504,-0.002035,1.9564000000000001
3262291200.0,110.02,0.0053,0.006784,0.005646,0.53
3262550400.0,111.98,0.017815,0.003246,0.00599,1.7815
3262636800.0,113.54,0.013931,0.000937,0.004045,1.3931
3262723200.0,112.89,-0.005725,-0.000939,-0.000894,-0.5725
3262809600.0,110.69,-0.019488,-0.011322,-0.011304,-1.9487999999999999
3262896000.0,113.62,0.02647,0.006379,0.006418,2.6470000000000002
3263241600.0,114.35,0.006425,0.003061,0.004874,0.6425000000000001
3263328000.0,118.77,0.038653,0.008236,0.004318,3.8653
3263414400.0,121.191,0.020384,0.001608,0.004507,2.0383999999999998
3263500800.0,118.4,-0.02303,0.005132,0.005396,-2.303
3263760000.0,121.33,0.024747,0.002108,0.002545,2.4747000000000003
3263846400.0,122.67,0.011044,-0.005316,-0.00357,1.1044
3263932800.0,123.64,0.007907,-0.009361,-0.007294,0.7907000000000001
3264019200.0,124.069,0.00347,-0.018107,-0.01422,0.347
3264105600.0,124.49,0.003393,0.010776,0.006328,0.33930000000000005
3264364800.0,120.19,-0.034541,0.001117,0.000193,-3.4541000000000004
3264451200.0,120.38,0.001581,-0.010829,-0.010319,0.1581
3264537600.0,117.5,-0.023924,0.014168,0.008852,-2.3924000000000003
3264624000.0,118.75,0.010638,0.005361,0.004925,1.0638
3264710400.0,120.5,0.014737,0.007417,0.007951,1.4737
3264969600.0,125.09,0.038091,-0.000898,0.000237,3.8091
3265056000.0,123.66,-0.011432,0.001778,0.002899,-1.1432
3265142400.0,121.55,-0.017063,-0.012711,-0.008315,-1.7063
3265228800.0,123.9,0.019334,0.005389,0.002338,1.9334
3265315200.0,123.0,-0.007264,-0.010741,-0.005932,-0.7263999999999999
3265574400.0,122.34,-0.005366,-0.004826,-0.006476,-0.5366
3265660800.0,119.65,-0.021988,-0.004023,-0.003078,-2.1988
3265747200.0,121.89,0.018721,0.009352,0.008031,1.8721
3265833600.0,120.56,-0.010911,0.000737,0.002357,-1.0911
3265920000.0,122.04,0.012276,-0.000728,0.000124,1.2276
3266179200.0,121.26,-0.006391,0.01141,0.008541,-0.6391
3266265600.0,127.17,0.048738,0.003445,0.002199,4.873799999999999
3266438400.0,132.75,0.043878,0.001211,0.001641,4.3878
3266524800.0,132.3,-0.00339,0.004461,0.003896,-0.33899999999999997
3266784000.0,130.33009,-0.01489,0.001557,0.002156,-1.489
3266870400.0,132.35001,0.015498,-0.01359,-0.010451,1.5498
3266956800.0,132.39,0.000302,0.005066,0.002479,0.0302
3267043200.0,134.0699,0.012689,0.017507,0.010693,1.2689000000000001
3267129600.0,137.73,0.0273,0.003172,0.001082,2.73
3267388800.0,138.10001,0.002686,-0.003051,-0.004465,0.2686
3267475200.0,138.9099,0.005865,-8.7e-05,6e-05,0.5865
3267561600.0,138.12,-0.005686,-0.001547,-0.003549,-0.5686
3267648000.0,140.0,0.013611,0.004876,0.005587,1.3611
3267734400.0,143.75,0.026786,-0.011674,-0.009234,2.6786
3267993600.0,143.7,-0.000348,0.003035,-0.000493,-0.0348
3268080000.0,134.88989,-0.061309,-0.020115,-0.019044,-6.1309000000000005
3268166400.0,137.25999,0.017571,0.002673,-0.002476,1.7570999999999999
3268252800.0,146.0,0.063675,-0.023867,-0.021884,6.3675
3268339200.0,143.85001,-0.014726,-0.014742,-0.010659,-1.4726
3268598400.0,141.42999,-0.016823,0.0093,0.004439,-1.6823000000000001
3268684800.0,131.75999,-0.068373,-0.010135,-0.003866,-6.8373
3268771200.0,135.0,0.02459,0.004121,-0.005684,2.459
3268857600.0,136.49001,0.011037,0.00597,0.004093,1.1037
3268944000.0,131.8499,-0.033996,-0.025937,-0.022608,-3.3996
3269203200.0,135.25,0.025788,0.018014,0.000292,2.5787999999999998
3269289600.0,135.03011,-0.001626,0.006584,0.005444,-0.1626
3269376000.0,134.00999,-0.007555,0.015618,0.01773,-0.7555000000000001
3269462400.0,126.39,-0.056861,-0.026897,-0.015539,-5.686100000000001
3269548800.0,125.0,-0.010998,-0.000482,-0.000983,-1.0998
3269808000.0,127.79,0.02232,-0.000566,-0.001632,2.2319999999999998
3269894400.0,124.03,-0.029423,-0.019061,-0.017482,-2.9423
