Weight (carats),Price (Singapore dollars)
0.17,355.0
0.16,328.0
0.17,350.0
0.18,325.0
0.25,642.0
0.16,342.0
0.15,322.0
0.19,485.0
0.21,483.0
0.15,323.0
0.18,462.0
0.28,823.0
0.16,336.0
0.2,498.0
0.23,595.0
0.29,860.0
0.12,223.0
0.26,663.0
0.25,750.0
0.27,720.0
0.18,468.0
0.16,345.0
0.17,352.0
0.16,332.0
0.17,353.0
0.18,438.0
0.17,318.0
0.18,419.0
0.17,346.0
0.15,315.0
0.17,350.0
0.32,918.0
0.32,919.0
0.15,298.0
0.16,339.0
0.16,338.0
0.23,595.0
0.23,553.0
0.17,345.0
0.33,945.0
0.25,655.0
0.35,1086.0
0.18,443.0
0.25,678.0
0.25,675.0
0.15,287.0
0.26,693.0
0.15,316.0
