Date,Cases,Deaths,Day of year,Week of year,Percent Change
2014-03-22,49.0,29.0,81.0,11.571428571428571,
2014-03-24,86.0,59.0,83.0,11.857142857142858,0.37755102040816324
2014-03-25,86.0,60.0,84.0,12.0,0.0
2014-03-26,86.0,62.0,85.0,12.142857142857142,0.0
2014-03-27,111.0,72.0,86.0,12.285714285714286,0.29069767441860467
2014-03-28,120.0,76.0,87.0,12.428571428571429,0.08108108108108109
2014-03-29,114.0,71.0,88.0,12.571428571428571,-0.05
2014-03-31,130.0,82.0,90.0,12.857142857142858,0.07017543859649122
2014-04-01,135.0,88.0,91.0,13.0,0.038461538461538464
2014-04-07,172.0,105.0,97.0,13.857142857142858,0.04567901234567901
2014-04-09,179.0,111.0,99.0,14.142857142857142,0.020348837209302327
2014-04-10,183.0,113.0,100.0,14.285714285714286,0.0223463687150838
2014-04-11,184.0,114.0,101.0,14.428571428571429,0.00546448087431694
2014-04-14,194.0,121.0,104.0,14.857142857142858,0.018115942028985508
2014-04-16,224.0,135.0,106.0,15.142857142857142,0.07731958762886598
2014-04-17,230.0,142.0,107.0,15.285714285714286,0.026785714285714284
2014-04-20,235.0,149.0,110.0,15.714285714285714,0.007246376811594203
2014-04-21,242.0,147.0,111.0,15.857142857142858,0.029787234042553193
2014-04-23,252.0,152.0,113.0,16.142857142857142,0.02066115702479339
2014-04-24,253.0,152.0,114.0,16.285714285714285,0.003968253968253968
2014-04-30,233.0,155.0,120.0,17.142857142857142,-0.013175230566534914
2014-05-01,237.0,158.0,121.0,17.285714285714285,0.017167381974248927
2014-05-02,239.0,160.0,122.0,17.428571428571427,0.008438818565400843
2014-05-03,244.0,166.0,123.0,17.571428571428573,0.02092050209205021
2014-05-07,249.0,169.0,127.0,18.142857142857142,0.005122950819672131
2014-05-10,245.0,168.0,130.0,18.571428571428573,-0.00535475234270415
2014-05-12,260.0,182.0,132.0,18.857142857142858,0.030612244897959183
2014-05-18,265.0,187.0,138.0,19.714285714285715,0.0032051282051282055
2014-05-23,270.0,185.0,143.0,20.428571428571427,0.0037735849056603774
2014-05-27,309.0,202.0,147.0,21.0,0.03611111111111111
2014-05-28,319.0,209.0,148.0,21.142857142857142,0.032362459546925564
2014-05-29,354.0,211.0,149.0,21.285714285714285,0.109717868338558
2014-06-01,383.0,211.0,152.0,21.714285714285715,0.027306967984934084
2014-06-03,436.0,233.0,154.0,22.0,0.06919060052219321
2014-06-05,445.0,244.0,156.0,22.285714285714285,0.010321100917431193
2014-06-05,438.0,233.0,156.0,22.285714285714285,
2014-06-06,453.0,245.0,157.0,22.428571428571427,0.03424657534246575
2014-06-10,474.0,252.0,161.0,23.0,0.011589403973509934
2014-06-15,522.0,333.0,166.0,23.714285714285715,0.020253164556962026
2014-06-16,526.0,334.0,167.0,23.857142857142858,0.007662835249042145
2014-06-17,528.0,337.0,168.0,24.0,0.0038022813688212928
2014-06-20,581.0,328.0,171.0,24.428571428571427,0.03345959595959596
2014-06-22,599.0,338.0,173.0,24.714285714285715,0.01549053356282272
2014-06-30,759.0,467.0,181.0,25.857142857142858,0.0333889816360601
2014-07-02,779.0,481.0,183.0,26.142857142857142,0.013175230566534914
2014-07-06,844.0,518.0,187.0,26.714285714285715,0.02086007702182285
2014-07-08,888.0,539.0,189.0,27.0,0.026066350710900472
2014-07-12,964.0,603.0,193.0,27.571428571428573,0.021396396396396396
2014-07-14,982.0,613.0,195.0,27.857142857142858,0.00933609958506224
