Observed,Expected,ExpectedStandardized
5.17,4.293189472056253,-2.9075271454220735
5.18,4.726301318630793,-2.683482698635655
5.31,4.994082725209856,-2.54496204266378
5.32,5.191488266548063,-2.4428461212188086
5.4,5.349284512483606,-2.3612196939917305
5.51,5.48149649055182,-2.2928277538517756
5.6,5.595743364161847,-2.233728983412969
5.61,5.6966430072620495,-2.1815346024508186
5.62,5.787213604845707,-2.1346833339130655
5.79,5.869540151586333,-2.0920966308103477
5.79,5.945125485688518,-2.052997089899554
5.8,6.015089906846926,-2.0168051913007474
5.81,6.080291694732233,-1.9830769554841017
5.86,6.141403460910096,-1.9514644471822675
5.9,6.198962474874485,-1.9216897422343069
5.96,6.253404955375192,-1.8935271890233274
5.98,6.305090105285842,-1.8667909754785152
6.01,6.354317372593126,-1.841326200137235
6.21,6.401339112044138,-1.8170023224009013
6.26,6.446370047524734,-1.7937082677408447
6.46,6.489594461142508,-1.7713487088572606
6.48,6.531171736134391,-1.7498411983882753
6.51,6.571240687384009,-1.729113928776435
6.55,6.609922985334371,-1.7091039611127483
6.56,6.647325892559947,-1.6897558095351954
6.56,6.68354447267069,-1.6710202985846672
6.56,6.718663389472802,-1.6528536325170067
6.61,6.752758384606555,-1.6352166309356782
6.61,6.785897500443577,-1.6180740961991715
6.63,6.818142099350927,-1.601394286165843
6.64,6.84954771882881,-1.5851484718396904
6.65,6.880164793347614,-1.5693105639712357
6.66,6.91003926714593,-1.5538567960632106
6.69,6.939213117239842,-1.5387654538230586
6.76,6.967724802033384,-1.5240166431012108
6.76,6.995609647921187,-1.5095920899053838
6.8,7.022900183926285,-1.4954749672957748
6.81,7.049626432563889,-1.4816497449241264
6.81,7.075816163650833,-1.4681020577406272
6.96,7.101495116604142,-1.454818591001076
7.0,7.126687195825916,-1.4417869791962246
7.11,7.151414643005985,-1.4289957169213292
7.11,7.175698189550641,-1.4164340800262893
7.15,7.199557191836037,-1.4040920556504046
7.16,7.223009751565778,-1.3919602799625952
7.24,7.246072823166015,-1.380029982606987
7.26,7.26876230986413,-1.3682929370023664
7.26,7.291093149857623,-1.3567414157678688
7.32,7.313079393779542,-1.3453681506508872
7.35,7.334734274498364,-1.3341662964202867
7.36,7.356070270148342,-1.3231293982614316
7.36,7.377099161166155,-1.3122513622716978
7.37,7.397832082007628,-1.301526428707926
7.44,7.418279568131331,-1.290949147682274
7.45,7.438451598761533,-1.2805143570413662
7.46,7.45835763587921,-1.2702171621966345
7.46,7.478006659834979,-1.2600529177020987
7.46,7.497407201930574,-1.2500172104002982
7.46,7.516567374274521,-1.2401058439782464
7.46,7.535494897182253,-1.2303148247936204
7.51,7.55419712436008,-1.22064034884735
7.58,7.572681066085506,-1.2110787897926663
7.6,7.590953410572988,-1.2016266878828097
7.61,7.609020543693635,-1.1922807397702235
7.61,7.626888567199341,-1.1830377890793942
7.62,7.644563315585976,-1.1738948176836874
7.71,7.662050371716305,-1.1648489376237698
7.71,7.6793550813109634,-1.1558973836115718
